等级,冲击伤害系数,元素反应伤害成长,玩家反应伤害成长,玩家反应护盾成长
0,1,17.165605,17.165605,91.1791
1,1,17.165605,17.165605,91.1791
2,1,18.535048,18.535048,98.707667
3,1,19.904854,19.904854,106.23622
4,1.1,21.274903,21.274903,113.764771
5,1.2,22.6454,22.6454,121.293322
6,1.3,24.649613,24.649613,128.821878
7,1.4,26.640643,26.640643,136.350422
8,1.6,28.868587,28.868587,143.878978
9,1.8,31.367679,31.367679,151.407522
10,2,34.143343,34.143343,158.936078
11,2.2,37.201,37.201,169.991484
12,2.4,40.66,40.66,181.076253
13,2.6,44.446668,44.446668,192.190362
14,2.9,48.563519,48.563519,204.048207
15,3.2,53.74848,53.74848,215.938996
16,3.5,59.081897,59.081897,227.86275
17,3.8,64.420047,64.420047,247.685944
18,4.2,69.724455,69.724455,267.542105
19,4.6,75.123137,75.123137,287.431209
20,5,80.584775,80.584775,303.826417
21,5.4,86.112028,86.112028,320.225217
22,5.8,91.703742,91.703742,336.627633
23,6.2,97.244628,97.244628,352.319267
24,6.7,102.812644,102.812644,368.010913
25,7.2,108.409563,108.409563,383.702548
26,7.7,113.201694,113.201694,394.432358
27,8.2,118.102906,118.102906,405.18147
28,8.8,122.979318,122.979318,415.949907
29,9.4,129.72733,129.72733,426.737645
30,10,136.29291,136.29291,437.544709
31,10.6,142.67085,142.67085,450.600004
32,11.2,149.029029,149.029029,463.700301
33,11.8,155.416987,155.416987,476.845577
34,12.5,161.825495,161.825495,491.127512
35,13.2,169.106313,169.106313,502.554564
36,13.9,176.518077,176.518077,514.012104
37,14.6,184.072741,184.072741,531.409589
38,15.4,191.709518,191.709518,549.979601
39,16.2,199.556908,199.556908,568.58488
40,17,207.382042,207.382042,584.99652
41,17.8,215.3989,215.3989,605.670375
42,18.6,224.165667,224.165667,626.386206
43,19.4,233.50216,233.50216,646.052333
44,20.3,243.350573,243.350573,665.755638
45,21.2,256.063067,256.063067,685.496096
46,22.1,268.543493,268.543493,700.839402
47,23,281.526075,281.526075,723.333147
48,24,295.013648,295.013648,745.865265
49,25,309.067188,309.067188,768.435731
50,26,323.601597,323.601597,786.791945
51,27,336.757542,336.757542,809.538812
52,28,350.530312,350.530312,832.329057
53,29,364.482705,364.482705,855.162654
54,30.1,378.619181,378.619181,878.039628
55,31.2,398.600417,398.600417,899.484802
56,32.3,416.398254,416.398254,919.362018
57,33.4,434.386996,434.386996,946.039586
58,34.6,452.566797,452.951051,974.764223
59,35.8,471.426268,472.606217,1003.578617
60,37,490.481663,492.88489,1030.077002
61,38.2,509.50428,513.568543,1056.634974
62,39.4,532.771793,539.103198,1085.246306
63,40.6,556.393323,565.510563,1113.924427
64,41.9,580.103031,592.538753,1149.25872
65,43.2,607.894973,624.443427,1178.064819
66,44.5,630.20133,651.470148,1200.223743
67,45.8,652.866818,679.49683,1227.660294
68,47.2,675.186325,707.79406,1257.242987
69,48.6,697.782682,736.671422,1284.917392
70,50,720.170325,765.640231,1314.75288
71,51.4,742.454652,794.773403,1342.665216
72,52.8,765.205477,824.677397,1372.752485
73,54.2,784.374617,851.157781,1396.320986
74,55.7,803.401172,877.74209,1427.312436
75,57.2,830.920776,914.229123,1458.374528
76,58.7,854.403332,946.746752,1482.335772
77,60.2,877.759777,979.411386,1511.910837
78,61.8,900.117232,1011.223022,1541.549377
79,63.4,923.766661,1044.791746,1569.153701
80,65,946.370258,1077.443668,1596.814298
