EntityId,类型,[分支掉落]1类型,[分支掉落]1分支掉落池id,[分支掉落]2类型,[分支掉落]2分支掉落池id,[分支掉落]3类型,[分支掉落]3分支掉落池id,[分支掉落]4类型,[分支掉落]4分支掉落池id,[分支掉落]5类型,[分支掉落]5分支掉落池id,[分支掉落]6类型,[分支掉落]6分支掉落池id,[分支掉落]7类型,[分支掉落]7分支掉落池id,掉落上限,每日掉落上限
70220001,2,test_1,0,test_2,0,,,,,,,,,,,1,
70220013,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70220014,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70520001,2,Ore_Dig,101,,,,,,,,,,,,,1,
70520002,2,Ore_Mithril,103,,,,,,,,,,,,,1,
70520003,2,Ore_Crystal,104,,,,,,,,,,,,,1,
70510001,2,Water_Bloom,110,,,,,,,,,,,,,1,
70510003,2,ElectricRock_Destroy,111,,,,,,,,,,,,,1,
70510005,2,ElectricRock_Destroy,111,,,,,,,,,,,,,1,
70900237,2,ElectricRock_Destroy,111,,,,,,,,,,,,,1,
70510006,2,FireFlower_Destroy,112,,,,,,,,,,,,,1,
70510007,2,KapokFlower_Destroy,113,,,,,,,,,,,,,1,
70510009,2,Gather_Dandelion,110,,,,,,,,,,,,,1,
70216666,2,Chest_DropTest,999,,,,,,,,,,,,,10,
70900240,2,ElementRock1,111,ElementRock2,111,,,,,,,,,,,1,
28050201,1,MoraDrop,150,MoraDrop_Die,151,,,,,,,,,,,30,
28050202,1,MoraDrop,150,MoraDrop_Die,152,,,,,,,,,,,30,
28050203,1,MoraDrop,150,MoraDrop_Die,153,,,,,,,,,,,30,
28050211,1,MoraDrop,155,MoraDrop_Die,156,,,,,,,,,,,30,
28050212,1,MoraDrop,155,MoraDrop_Die,157,,,,,,,,,,,30,
28050213,1,MoraDrop,155,MoraDrop_Die,158,,,,,,,,,,,30,
70900277,2,ElementBall,998,,,,,,,,,,,,,1,
70900278,2,ElementBall,998,,,,,,,,,,,,,1,
70900279,2,ElementBall,998,,,,,,,,,,,,,1,
70900280,2,ElementBall,998,,,,,,,,,,,,,1,
70900283,2,ElementBall,998,,,,,,,,,,,,,1,
70300080,2,MonsterMeat,140,,,,,,,,,,,,,1,
70510012,2,ElementRock1,101,ElementRock2,103,,,,,,,,,,,3,
70520018,2,Ore_Crystal,102,,,,,,,,,,,,,1,
70350027,2,DropIce,998,,,,,,,,,,,,,1,
70900209,2,ElementBall,998,,,,,,,,,,,,,100,
70520019,2,Ore_Crystal,105,,,,,,,,,,,,,1,
70710131,2,ElementBall,995,,,,,,,,,,,,,9999,
70710132,2,ElementBall,996,,,,,,,,,,,,,9999,
70590025,2,Dulins_Blood,106,,,,,,,,,,,,,9999,
70220026,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70590027,2,Ore_MoonMeteor,107,,,,,,,,,,,,,1,
70220048,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70220050,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70220051,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
26010102,1,Dulins_Blood,106,,,,,,,,,,,,,1,
20010902,1,Dulins_Blood,106,,,,,,,,,,,,,1,
70360127,2,Dulins_Blood,106,,,,,,,,,,,,,9999,
20010802,1,Dulins_Blood,106,,,,,,,,,,,,,1,
21011403,1,Dulins_Blood,106,,,,,,,,,,,,,1,
70220058,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70220059,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70220060,2,WoodenObject_Broken,130,,,,,,,,,,,,,1,
70950093,2,Rewardcrate,130,,,,,,,,,,,,,1,
70590036,2,Ore_Thundercrystal,100,,,,,,,,,,,,,1,
70290151,2,Lots,154,,,,,,,,,,,,,1,
70290304,2,WoodenObject_Broken,159,Ore_Dig,160,,,,,,,,,,,9999,
70540032,2,Ore_Crystal,115,LightBall,114,,,,,,,,,,,2,
70540031,2,Ore_Crystal,116,LightBall,114,,,,,,,,,,,2,
70520038,2,LightBall,114,,,,,,,,,,,,,2,
42401020,2,LightBall,117,,,,,,,,,,,,,2,
70290353,2,LightBall,117,,,,,,,,,,,,,9999,
28020605,1,LightBall,118,,,,,,,,,,,,,1,
70330254,2,TumbleWeed,119,,,,,,,,,,,,,1,
