环境动物编号	区域ID	实体类型	获得物品1ID	获得物品1数量	获得物品2ID	获得物品2数量	获得物品3ID	获得物品3数量	逃跑距离	逃跑时间	存活时间	不在指定天气下存在
70590006	999	19	100072	1					4	1	60	雨,雷雨,雪
28010101	999	2	100073	1								
28010102	999	2	100073	1								
28010103	999	2	100073	1								
70590007	999	19	100072	1					4	1	60	雨,雷雨,雪
70590008	999	19	100082	1					3	3	30	雨,雷雨,雪
28010201	999	2	100083	1								
28010202	999	2	100083	1								
28010203	999	2	100083	1								
28010301	999	2	100081	1								
28010302	999	2	100081	1								
28010303	999	2	100081	1								
28050101	999	2	100085	1								
28040101	999	2	100084	1								
28040102	999	2	100084	1								
28040103	999	2	100084	1								
28050102	999	2	100085	1								
28010204	999	2	100090	1								
28010205	999	2	100090	1								
28010206	999	2	100090	1								
28050103	999	2	100085	1								
28040104	999	2	100846	1								
28040105	999	2	100825	1								
28040106	999	2	100824	1								
28040107	999	2	100823	1								
28010104	999	2	100073	1								
28010105	999	2	100073	1								
28010106	999	2	101518	1								
28010207	999	2	100083	1								
70590038	999	19	100072	1					4	1	60	雨,雷雨,雪
70590039	999	19	100072	1					4	1	60	雨,雷雨,雪
70590040	999	19	100082	1					3	3	30	雨,雷雨,雪
28050104	999	2	100085	1								
28010401	999	2	100095	1								
28010403	999	2	100095	1								
28010402	999	2	100095	1								
28040108	999	2	101669	1								
28050105	999	2	101689	1								
28050301	999	2	100082	1	101713	1						
28050106	999	2	100085	1								
28010304	999	2	100081	1								
28010208	999	2	100083	1								
28050401	004	2	101225	1								
28010404	999	2	100095	1								
