环境类型	[小动物权重]1小动物编号	[小动物权重]1实体类型	[小动物权重]1权重	[小动物权重]1存活时间	[小动物权重]2小动物编号	[小动物权重]2实体类型	[小动物权重]2权重	[小动物权重]2存活时间	[小动物权重]3小动物编号	[小动物权重]3实体类型	[小动物权重]3权重	[小动物权重]3存活时间	[小动物权重]4小动物编号	[小动物权重]4实体类型	[小动物权重]4权重	[小动物权重]4存活时间
1	70590006	19	100													
2	70590008	19	200	18:24,0:6	70590006	19	400		70590007	19	400					
3	28010101	2	100		28010102	2	100		28010301	2	100		28010302	2	100	
4	28010201	2	100		28010202	2	100		28010203	2	100					
5	28010101	2	100		28010102	2	100		28010103	2	100					
6	70590006	19	100		70590007	19	100									
7																
8	28010201	2	100		70590008	19	100	18:24,0:6								
9	70590008	19	100	18:24,0:6												
10	70590008	19	800	18:24,0:6	70590006	19	100		70590007	19	100					
11	70590038	19	100													
12	70590039	19	100													
13	70590040	19	100	18:24,0:6												
14	28010104	2	100		28010105	2	100									
15	28010207	2	100													
