AffixID,开启天赋配置,[增加属性]1类型,[增加属性]1值,[增加属性]2类型,[增加属性]2值,[增加属性]3类型,[增加属性]3值,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,ID,词缀等级
1113010,Weapon_Sword_DamageUpToEnemy,,,,,,,0.12,,,,,,,,111301,0
1113011,Weapon_Sword_DamageUpToEnemy,,,,,,,0.15,,,,,,,,111301,1
1113012,Weapon_Sword_DamageUpToEnemy,,,,,,,0.18,,,,,,,,111301,2
1113013,Weapon_Sword_DamageUpToEnemy,,,,,,,0.21,,,,,,,,111301,3
1113014,Weapon_Sword_DamageUpToEnemy,,,,,,,0.24,,,,,,,,111301,4
1113020,Weapon_Sword_FullHPCriticUp,,,,,,,0.14,,,,,,,,111302,0
1113021,Weapon_Sword_FullHPCriticUp,,,,,,,0.175,,,,,,,,111302,1
1113022,Weapon_Sword_FullHPCriticUp,,,,,,,0.21,,,,,,,,111302,2
1113023,Weapon_Sword_FullHPCriticUp,,,,,,,0.245,,,,,,,,111302,3
1113024,Weapon_Sword_FullHPCriticUp,,,,,,,0.28,,,,,,,,111302,4
1113030,Weapon_Sword_OnGainEnergyHealHP,,,,,,,0.01,1,,,,,,,111303,0
1113031,Weapon_Sword_OnGainEnergyHealHP,,,,,,,0.0125,1,,,,,,,111303,1
1113032,Weapon_Sword_OnGainEnergyHealHP,,,,,,,0.015,1,,,,,,,111303,2
1113033,Weapon_Sword_OnGainEnergyHealHP,,,,,,,0.0175,1,,,,,,,111303,3
1113034,Weapon_Sword_OnGainEnergyHealHP,,,,,,,0.02,1,,,,,,,111303,4
1113040,Weapon_Sword_AttacktUpAfterReaction,,,,,,,0.2,12,,,,,,,111304,0
1113041,Weapon_Sword_AttacktUpAfterReaction,,,,,,,0.25,12,,,,,,,111304,1
1113042,Weapon_Sword_AttacktUpAfterReaction,,,,,,,0.3,12,,,,,,,111304,2
1113043,Weapon_Sword_AttacktUpAfterReaction,,,,,,,0.35,12,,,,,,,111304,3
1113044,Weapon_Sword_AttacktUpAfterReaction,,,,,,,0.4,12,,,,,,,111304,4
1113050,Weapon_Sword_ExtraDamageWhenCDReady,,,,,,,0.5,2.4,15,,,,,,111305,0
1113051,Weapon_Sword_ExtraDamageWhenCDReady,,,,,,,0.5,2.8,14,,,,,,111305,1
1113052,Weapon_Sword_ExtraDamageWhenCDReady,,,,,,,0.5,3.2,13,,,,,,111305,2
1113053,Weapon_Sword_ExtraDamageWhenCDReady,,,,,,,0.5,3.6,12,,,,,,111305,3
1113054,Weapon_Sword_ExtraDamageWhenCDReady,,,,,,,0.5,4,11,,,,,,111305,4
1113060,Weapon_Sword_MoveSpeedAfterULT,,,,,,,0.12,15,,,,,,,111306,0
1113061,Weapon_Sword_MoveSpeedAfterULT,,,,,,,0.15,15,,,,,,,111306,1
1113062,Weapon_Sword_MoveSpeedAfterULT,,,,,,,0.18,15,,,,,,,111306,2
1113063,Weapon_Sword_MoveSpeedAfterULT,,,,,,,0.21,15,,,,,,,111306,3
1113064,Weapon_Sword_MoveSpeedAfterULT,,,,,,,0.24,15,,,,,,,111306,4
1114010,Weapon_Sword_GenerateBallWhenCritic,,,,,,,0.6,12,,,,,,,111401,0
1114011,Weapon_Sword_GenerateBallWhenCritic,,,,,,,0.7,10.5,,,,,,,111401,1
1114012,Weapon_Sword_GenerateBallWhenCritic,,,,,,,0.8,9,,,,,,,111401,2
1114013,Weapon_Sword_GenerateBallWhenCritic,,,,,,,0.9,7.5,,,,,,,111401,3
1114014,Weapon_Sword_GenerateBallWhenCritic,,,,,,,1,6,,,,,,,111401,4
1114020,Weapon_Sword_MusicBlast,,,,,,,1,1,,,,,,,111402,0
1114021,Weapon_Sword_MusicBlast,,,,,,,1,1.25,,,,,,,111402,1
1114022,Weapon_Sword_MusicBlast,,,,,,,1,1.5,,,,,,,111402,2
1114023,Weapon_Sword_MusicBlast,,,,,,,1,1.75,,,,,,,111402,3
1114024,Weapon_Sword_MusicBlast,,,,,,,1,2,,,,,,,111402,4
1114030,Weapon_Sword_ResetCDWhenSkillHit,,,,,,,0.4,30,,,,,,,111403,0
1114031,Weapon_Sword_ResetCDWhenSkillHit,,,,,,,0.5,26,,,,,,,111403,1
1114032,Weapon_Sword_ResetCDWhenSkillHit,,,,,,,0.6,22,,,,,,,111403,2
1114033,Weapon_Sword_ResetCDWhenSkillHit,,,,,,,0.7,19,,,,,,,111403,3
1114034,Weapon_Sword_ResetCDWhenSkillHit,,,,,,,0.8,16,,,,,,,111403,4
1114040,Weapon_Sword_CritUpWhenHitNoCrit,,,,,,,0.08,,,,,,,,111404,0
1114041,Weapon_Sword_CritUpWhenHitNoCrit,,,,,,,0.1,,,,,,,,111404,1
1114042,Weapon_Sword_CritUpWhenHitNoCrit,,,,,,,0.12,,,,,,,,111404,2
1114043,Weapon_Sword_CritUpWhenHitNoCrit,,,,,,,0.14,,,,,,,,111404,3
1114044,Weapon_Sword_CritUpWhenHitNoCrit,,,,,,,0.16,,,,,,,,111404,4
1114050,Weapon_Sword_DamageUpToWindEnemy,,,,,,,0.2,,,,,,,,111405,0
1114051,Weapon_Sword_DamageUpToWindEnemy,,,,,,,0.24,,,,,,,,111405,1
1114052,Weapon_Sword_DamageUpToWindEnemy,,,,,,,0.28,,,,,,,,111405,2
