ID	DisplayID	SeriesID	Display参数
1	1101003	10101	1
2	1101004	10101	1
3	1101005	10101	1
4	1101006	10101	1
5	1101007	10101	1
6	1101008	10101	1
7	1101009	10101	1
8	1101010	10101	1
9	1101011	10101	1
10	1101012	10101	1
11	1101013	10101	1
12	1101014	10101	1
13	1101015	10101	3
14	1101016	10101	3
15	1101017	10101	1
16	1101018	10101	1
17	10201001	10201	1
18	10201002	10201	1
19	10201003	10201	1
20	10201004	10201	1
21	10201005	10201	1
22	10201006	10201	1
23	10201007	10201	1
24	10201008	10201	1
25	10401001	10401	1
26	10401002	10401	1
27	10401003	10401	1
28	10401004	10401	1
29	10401005	10401	1
30	10401006	10401	1
31	10401007	10401	1
32	10901001	10901	1
33	10901002	10901	1
34	10901003	10901	1
36	10901005	10901	1
37	10901006	10901	1
39	10901008	10901	1
40	10901013	10901	1
41	11001101	11001	1
42	11001102	11001	1
43	11001103	11001	1
44	11001108	11001	1
45	11001109	11001	1
46	1101035	10101	1
47	1101036	10101	1
48	1101037	10101	1
49	1101038	10101	1
50	1101039	10101	1
51	1101040	10101	1
52	1101041	10101	1
53	1101042	10101	1
54	1101043	10101	1
55	1101044	10101	1
56	1101046	10101	1
57	1101047	10101	1
58	11301001	11301	2
59	11301002	11301	2
60	11301003	11301	1
61	11301004	11301	1
62	11301005	11301	1
63	11301006	11301	1
64	11301007	11301	1
65	11301008	11301	1
66	11301009	11301	1
67	11301010	11301	1
68	11301013	11301	1
69	11301014	11301	1
70	11302001	11302	1
71	11302002	11302	1
72	11302003	11302	1
73	11302004	11302	1
74	11302005	11302	1
75	11302006	11302	1
76	11302007	11302	1
77	11302008	11302	1
78	11303001	11303	1
79	11303002	11303	1
80	11303003	11303	1
81	11303004	11303	1
82	11303005	11303	1
83	11303006	11303	1
84	11303007	11303	1
85	11303008	11303	1
86	11303009	11303	1
87	11303010	11303	1
88	11303011	11303	1
89	11301011	11301	1
90	11302009	11302	1
91	11303012	11303	1
92	11401001	11401	1
93	11401002	11401	1
94	11401003	11401	1
95	11402001	11402	1
96	11402002	11402	1
97	11402003	11402	1
98	11403001	11403	1
99	11403002	11403	1
100	11403003	11403	1
101	11404001	11404	1
102	11404002	11404	1
103	11404003	11404	1
104	11301101	11301	2
105	11301102	11301	2
106	11301103	11301	1
107	11301104	11301	1
108	11301105	11301	1
109	11301106	11301	1
110	11301107	11301	1
111	11301108	11301	1
112	11301109	11301	1
113	11301110	11301	1
114	11301113	11301	1
115	11301114	11301	1
116	11302101	11302	1
117	11302102	11302	1
118	11302103	11302	1
119	11302104	11302	1
120	11302105	11302	1
121	11302106	11302	1
122	11302107	11302	1
123	11302108	11302	1
124	11303101	11303	1
125	11303102	11303	1
126	11303103	11303	1
127	11303104	11303	1
128	11303105	11303	1
129	11303106	11303	1
130	11303107	11303	1
131	11303108	11303	1
132	11303109	11303	1
133	11303110	11303	1
134	11303111	11303	1
135	11401004	11401	1
136	11402004	11402	1
137	11403004	11403	1
138	11403005	11403	1
139	11404004	11404	1
140	11404005	11404	1
141	10102003	10102	1
142	10102004	10102	1
143	10102005	10102	1
144	10102006	10102	1
146	10102007	10102	1
147	10102008	10102	1
148	10102009	10102	1
149	10102010	10102	1
150	10102011	10102	1
151	10102012	10102	1
152	10102013	10102	1
153	10102014	10102	1
156	10102015	10102	3
157	10102016	10102	3
158	10102017	10102	1
159	10102018	10102	1
160	10102035	10102	1
161	10102036	10102	1
162	10102037	10102	1
163	10102038	10102	1
164	10102039	10102	1
165	10102040	10102	1
166	10102041	10102	1
167	10102042	10102	1
168	10102043	10102	1
169	10102044	10102	1
170	10102046	10102	1
172	10102051	10102	1
173	10102052	10102	1
174	10102053	10102	1
175	10102054	10102	1
176	10102055	10102	1
177	10102056	10102	1
178	10102057	10102	1
179	10102058	10102	1
