ID,DisplayID,SeriesID,Display参数,计分类型,分数
1,1101001,10101,,1,10
2,1101002,10101,,1,10
3,1101019,10101,,1,150
4,1101020,10101,1,2,100
5,1101021,10101,1,2,100
6,1101022,10101,1,2,1
7,1101023,10101,1,2,1
8,1101003,10101,,1,100
9,1101004,10101,,1,50
10,1101005,10101,,1,50
11,1101006,10101,,1,50
12,1101007,10101,,1,100
13,1101008,10101,,1,50
14,1101009,10101,,1,100
15,1101010,10101,,1,50
16,1101011,10101,,1,50
17,1101012,10101,,1,50
18,1101013,10101,,1,50
19,1101014,10101,,1,150
20,1101015,10101,,1,50
21,1101016,10101,,1,100
22,1101017,10101,,1,50
23,10301001,10301,,1,150
24,10301014,10301,,1,60
25,10301015,10301,,1,60
26,10301016,10301,,1,60
27,10301005,10301,,1,60
28,10301006,10301,,1,60
29,10301007,10301,,1,60
30,10301017,10301,,1,60
31,10301018,10301,,1,60
32,10301022,10301,,1,60
33,10301023,10301,,1,60
34,10301024,10301,,1,60
35,1101035,10101,,1,50
36,1101036,10101,,1,100
37,1101037,10101,,1,50
38,1101038,10101,,1,50
39,1101039,10101,,1,50
40,1101040,10101,,1,50
41,1101041,10101,,1,50
42,1101042,10101,,1,50
43,1101043,10101,,1,50
44,1101044,10101,,1,50
45,1101046,10101,,1,50
46,1101047,10101,,1,50
47,11301001,11301,,1,60
48,11301002,11301,,1,60
49,11301006,11301,,1,60
50,11301007,11301,,1,60
51,11301008,11301,,1,60
52,11301012,11301,,1,200
53,11301015,11301,,1,60
54,11301017,11301,,1,60
55,11301016,11301,,1,60
56,11302001,11302,,1,60
57,11302002,11302,,1,60
58,11302005,11302,,1,60
59,11302006,11302,,1,60
60,11302010,11302,,1,200
61,11302011,11302,,1,60
62,11302012,11302,,1,60
63,11302013,11302,,1,60
64,11302014,11302,,1,60
65,11303001,11303,,1,60
66,11303005,11303,,1,60
67,11303008,11303,,1,60
68,11303009,11303,,1,60
69,11303013,11303,,1,200
70,11303014,11303,,1,60
71,11303015,11303,,1,60
72,11303016,11303,,1,60
73,11303017,11303,,1,60
74,11303018,11303,,1,60
75,11301101,11301,,1,60
76,11301102,11301,,1,60
77,11301106,11301,,1,60
78,11301107,11301,,1,60
79,11301108,11301,,1,60
80,11301112,11301,,1,200
81,11301115,11301,,1,60
82,11301117,11301,,1,60
83,11301116,11301,,1,60
84,11302101,11302,,1,60
85,11302102,11302,,1,60
86,11302105,11302,,1,60
87,11302106,11302,,1,60
88,11302110,11302,,1,200
89,11302111,11302,,1,60
90,11302112,11302,,1,60
91,11302113,11302,,1,60
92,11302114,11302,,1,60
93,11303101,11303,,1,60
94,11303105,11303,,1,60
95,11303108,11303,,1,60
96,11303109,11303,,1,60
97,11303113,11303,,1,200
98,11303114,11303,,1,60
99,11303115,11303,,1,60
100,11303116,11303,,1,60
101,11303117,11303,,1,60
102,11303118,11303,,1,60
