ID,所属城市ID,[开启条件]1类型,[开启条件]1参数,[开启条件]1参数2,[开启条件]2类型,[开启条件]2参数,[开启条件]2参数2,[开启条件]3类型,[开启条件]3参数,[开启条件]3参数2,[时长]1小时,[时长]1奖励掉落,[时长]2小时,[时长]2奖励掉落,[时长]3小时,[时长]3奖励掉落,[时长]4小时,[时长]4奖励掉落
101,1,0,14,,1,7,3,,,,4,205010100,8,205010300,12,205010500,20,205010700
102,1,0,14,,1,4,3,,,,4,205030100,8,205030300,12,205030500,20,205030700
103,1,0,16,,1,4,3,,,,4,205010100,8,205010300,12,205010500,20,205010700
104,1,0,16,,1,7,3,,,,4,205040100,8,205040300,12,205040500,20,205040700
105,1,0,18,,1,29,3,,,,4,205050100,8,205050300,12,205050500,20,205050700
106,1,0,20,,1,29,3,2,39604,,4,205020100,8,205020300,12,205020500,20,205020700
201,2,0,14,,1,72,3,,,,4,205110100,8,205110300,12,205110500,20,205110700
202,2,0,14,,1,72,3,,,,4,205020100,8,205020300,12,205020500,20,205020700
203,2,0,16,,1,72,3,,,,4,205010100,8,205010300,12,205010500,20,205010700
204,2,0,18,,1,73,3,,,,4,205050100,8,205050300,12,205050500,20,205050700
205,2,0,18,,1,74,3,,,,4,205020100,8,205020300,12,205020500,20,205020700
206,2,0,20,,1,75,3,,,,4,205060100,8,205060300,12,205060500,20,205060700
301,3,0,20,,1,234,3,,,,4,205020100,8,205020300,12,205020500,20,205020700
302,3,0,20,,1,234,3,,,,4,205070100,8,205070300,12,205070500,20,205070700
303,3,0,20,,1,234,3,,,,4,205080100,8,205080300,12,205080500,20,205080700
304,3,0,20,,1,235,3,,,,4,205020100,8,205020300,12,205020500,20,205020700
305,3,0,20,,1,235,3,,,,4,205090100,8,205090300,12,205090500,20,205090700
306,3,0,20,,1,236,3,,,,4,205100100,8,205100300,12,205100500,20,205100700
401,4,0,20,,1,462,3,,,,4,205120100,8,205120300,12,205120500,20,205120700
402,4,0,20,,1,462,3,,,,4,205130100,8,205130300,12,205130500,20,205130700
403,4,0,20,,1,463,3,,,,4,205020100,8,205020300,12,205020500,20,205020700
404,4,0,20,,1,465,3,,,,4,205140100,8,205140300,12,205140500,20,205140700
405,4,0,20,,1,471,3,,,,4,205150100,8,205150300,12,205150500,20,205150700
406,4,0,20,,1,471,3,,,,4,205160100,8,205160300,12,205160500,20,205160700
