ID,难度ID,优势元素,基础奖励,大成功奖励,分档奖励列表
1,1,1#4,3007001,3007101,3007101#3007201#3007301
2,1,1#7,3007002,3007102,3007102#3007202#3007302
3,1,1#2,3007003,3007103,3007103#3007203#3007303
4,1,2#5,3007004,3007104,3007104#3007204#3007304
5,1,4#7,3007005,3007105,3007105#3007205#3007305
6,1,4#8,3007006,3007106,3007106#3007206#3007306
7,1,5#8,3007007,3007107,3007107#3007207#3007307
8,2,1#4,3007008,3007108,3007108#3007208#3007308
9,2,1#7,3007009,3007109,3007109#3007209#3007309
10,2,1#5,3007010,3007110,3007110#3007210#3007310
11,2,1#2,3007011,3007111,3007111#3007211#3007311
12,2,4#7,3007012,3007112,3007112#3007212#3007312
13,2,4#5,3007013,3007113,3007113#3007213#3007313
14,2,4#8,3007014,3007114,3007114#3007214#3007314
15,2,2#8,3007015,3007115,3007115#3007215#3007315
16,2,7#8,3007016,3007116,3007116#3007216#3007316
17,2,2#5,3007017,3007117,3007117#3007217#3007317
18,3,1#4#7,3007018,3007118,3007118#3007218#3007318
19,3,1#5#7,3007019,3007119,3007119#3007219#3007319
20,3,1#2#5,3007020,3007120,3007120#3007220#3007320
21,3,1#2#8,3007021,3007121,3007121#3007221#3007321
22,3,4#7#8,3007022,3007122,3007122#3007222#3007322
23,3,4#2#5,3007023,3007123,3007123#3007223#3007323
24,3,4#5#8,3007024,3007124,3007124#3007224#3007324
25,3,2#7#8,3007025,3007125,3007125#3007225#3007325
26,3,7#1#8,3007026,3007126,3007126#3007226#3007326
27,3,2#4#5,3007027,3007127,3007127#3007227#3007327
