特性ID,额外功能
1001,
1002,
1003,
1004,
1011,
1012,
1041,
1042,
1043,
1044,
1045,
1051,
1052,
1053,
1054,
1055,
1095,
1096,
1097,
1098,
1099,
3001,
3002,
3003,
3004,
3005,
3006,
4001,
4002,
4003,
4004,
4005,
4006,
4007,
4008,
4009,
4010,
4011,
4012,
4013,
4014,
4016,
4017,
4018,
4019,
4020,
4022,
4023,
4024,
4901,
4902,
4903,
9001,
9002,
9003,
9004,
9005,
9101,
9102,
9200,
9201,
9202,
9203,
9204,
9205,
9206,
9207,
9208,
9301,
9302,
9303,
9901,
10016,
10020,
10023,
10025,
10026,
10029,
10030,
10031,
10032,
10033,
10034,
10036,
10037,
10038,
10039,
10042,
10043,
10045,
10047,
10048,
10050,
10051,
10052,
10055,
10056,
10057,
10058,
10059,
10060,
10062,
10063,
10064,
10065,
10067,
10070,
10071,
10072,
10073,
10074,
30001,1
30002,2
30003,3
30004,4
30005,5
30100,6
