特性组ID	特性ID1	特性ID2	特性ID3	特性ID4	特性ID5	特性ID6	特性ID7	特性ID8	特性ID9	特性ID10	特性ID11	特性ID12	特性ID13	特性ID14	特性ID15	特性ID16	特性ID17	特性ID18	特性ID19	特性ID20
10000001			1051																	
10000002	1003	1044	1051																	
10000003	1001	1042	1051																	
10000005		1043	1051	1011																
10000006	1001	1042	1054																	
10000007		1044	1051	1011																
10000014	1001	1044	1054																	
10000015	1001	1041	1051																	
10000016	1001	1041	1052			10016														
10000020	1001	1043	1052			10020														
10000021	1001	1044	1055																	
10000022	1001	1043	1055	1012																
10000023	1002	1044	1053			10023														
10000024	1002	1042	1052																	
10000025	1002	1043	1051			10025														
10000026	1002	1043	1053			10026														
10000027	1002	1042	1054																	
10000029	1001	1045	1054			10029														
10000030	1002	1041	1053	1012		10030														
10000031	1001	1044	1055			10031														
10000032	1001	1043	1051			10032														
10000033		1041	1055			10033														
10000034	1001	1044	1052			10034														
10000035	1002	1045	1051																	
10000036	1002	1043	1052			10036														
10000037	1002	1044	1055			10037														
10000038	1001	1043	1051	1095		10038														
10000039	1001	1045	1055			10039														
10000041	1001	1044	1054																	
10000042	1002	1044	1051			10042														
10000043	1001	1044	1054			10043														
10000044	1002	1044	1052																	
10000045	1001	1042	1053			10045														
10000046	1002	1044	1053																	
10000047	1003	1043	1051			10047														
10000048	1002	1044	1054			10048														
10000049	1003	1044	1055																	
10000050	1003	1041	1053			10050														
10000051	1001	1042	1052			10051														
10000052	1003	1042	1053	1012		10052														
10000053	1003	1045	1052																	
10000054	1003	1044	1054																	
10000055	1003	1043	1055			10055														
10000056	1003	1042	1055			10056														
10000057	1003	1041	1052			10057														
10000058	1003	1042	1054			10058														
10000059	1003	1043	1054			10059														
10000060	1002	1042	1055			10060														
10000062		1044	1055			10062														
10000063	1002	1042	1053			10063														
10000064	1002	1044	1053			10064														
10000065	1003	1044	1051			10065														
10000066	1003	1041	1051																	
10000067	1004	1044	1055			10067														
10000068	1004	1045	1052																	
10000069	1004	1043	1055																	
10000070	1004	1044	1051			10070														
10000071	1004	1043	1053			10071														
10000072	1004	1042	1053			10072														
10000073	1004	1045	1054	1012		10073														
10000074	1004	1044	1051			10074														
10000075		1043	1054			10075														
10000076	1004	1044	1055			10076														
10000078	1004	1041	1051			10078														
10000079	1004	1042	1052			10079														
10000080	1001	1043	1053			10080														
10000082	1002	1041	1054			10082														
21010101	4001		4902		3006															
21010152	4001				3006															
21020101	4001		4902		3006															
21020201	4001	1052	4902		3006															
21020401	4001		4902	3005	3006															
21020501	4001		4902	3005	3006															
21020701	4001	1052	4902		3006															
21020801	4001		4902	3005	3006															
20010101	4002		4902	3005	3006															
20010201	4002		4902	3005	3006															
20010302	4002		4901																	
20010301	4002		4901																	
20010401	4002		4901																	
29010101																				
29010102																				
29010103																				
29020101																				
29020102																				
29040101																				
29040102																				
29040103																				
29040104																				
29040111																				
20020101	4003																			
20020201	4003			3005																
20040101	4003			3005																
20050101																				
20010501	4002		4902	3005																
20010601	4002		4902	3005																
20010701	4002		4902	3005																
20010801	4002		4902	3005																
20010901	4002		4902	3005																
20011001	4002		4902	3005																
20011101	4002		4902	3005																
20040201	4003			3005																
20040301	4003			3005																
20040401	4003			3005																
20040501	4003			3005																
20040601	4003			3005																
20040701	4003			3005																
20011601	4003			3005																
20011701	4003			3005																
20011801	4003			3005																
20011901	4003			3005																
20011002	4002																			
20040001	4002																			
20040002	4002																			
20040003	4002																			
20040004	4002																			
20040005	4002																			
20040006	4002																			
20040007	4002																			
20040008	4002																			
20030101			4901		3006															
21010201	4001	1051	4902		3006															
21010301	4001	1051	4902		3006															
21010401	4001	1055	4901		3006															
21010501	4001	1055	4901		3006															
21010601	4001		4901		3006															
21010602	4001				3006															
21010701	4001	1051	4902		3006															
21010901	4001	1055	4901		3006															
21011001	4001	1055	4901		3006															
21011101	4001				3006															
20011202	4002		4902	3005																
20011201	4002		4902	3005																
20011301	4002		4902	3005																
20011401	4002		4902	3005																
20011501	4002		4902	3005																
20050201	4902	3005																		
20050202	4902	3005																		
20050301	4901	3005																		
20050401	4902	3005																		
20050402	4902	3005																		
20050501	4902	3005																		
20050601	4902	3005																		
20050701	4902	3005																		
20050702	4902	3005																		
20050801	4902	3005																		
20050901	4901	3005																		
20060101			4901																	
20060201			4901																	
20060301			4901																	
20060401			4901																	
20060501			4901																	
20060601			4901																	
20060701			4901																	
22010101	4004	1054	4901	3005	3006															
22010201	4004	1054	4901	3005	3006															
22010301	4004	1054	4901	3005	3006															
22010401	4004	1054	4901	3005	3006															
22020101		1051	4902	3003	3006															
22030101		1054	4901	3003	3006															
22040101	4011		4902																	
22050101	4012		4902																	
22060101	4010																			
22070101	4013		4901																	
22070201	4013		4902																	
22070301	4013		4901																	
22080101	4014		4902																	
22080201	4014		4902																	
21030101	4004	1054	4901		3006															
21030201	4004	1054	4901		3006															
21030301	4004	1054	4901		3006															
21030401	4004	1054	4901		3006															
21030501	4004	1054	4901		3006															
21040101	4001	4021	4902		3006															
21040201	4001	4021	4902		3006															
24010101	4005																			
24030101	4005																			
24030201	4005																			
24030301	4005																			
24040101	4023																			
21010801	4001				3006															
21010102	4001				3006															
23010101	4009	4902	3005		3006															
23010201	4009	4901	3005		3006															
23010301	4009	4902	3005		3006															
23010401	4009	4901	3005		3006															
23010501	4009	4902	3005		3006															
23010601	4009	4901	3005		3006															
23030101	4009				3006															
23020101	4009				3006															
25080101	4902				3006															
25090101	4902																			
28010101	9001	9005																		
28010102	9001	9005																		
28010103	9001	9005																		
28020101	9001	9003	9102																	
28020102	9001	9003	9102																	
28020103	9001	9003	9102																	
28020104	9001	9003	9102																	
28020201	9001	9003	9102																	
28010201	9001	9005																		
28010202	9001	9005																		
28010203	9001	9005																		
28010204	9001	9005																		
28010205	9001	9005																		
28010206	9001	9005																		
28010301	9001	9005																		
28010302	9001	9005																		
28010303	9001	9005																		
28010304	9001	9005																		
28010401	9001	9005																		
28020301	9001	9003	9102																	
28020302	9001	9003	9102																	
28020401	9001	9003																		
28020402	9001	9003																		
28020403	9001	9003																		
28020404	9001	9003																		
28020501	9001	9003																		
28020502	9001	9003																		
28020503	9001	9003																		
28020504	9001	9003																		
28020505	9001	9003																		
28020506	9001	9003																		
28020507	9001	9003																		
28020601	9001	9003	9102																	
28020602	9001	9003	9102																	
28020603	9001	9003	9102																	
28020604	9001	9003	9102																	
28020605	9001	9003	9102																	
28030101	9001	9002	9101																	
28030201	9001	9002	9101																	
28030202	9001	9002	9101																	
28030203	9001	9002	9101																	
28030204	9001	9002	9101																	
28030301	9001	9002	9101																	
28030302	9001	9002	9101																	
28030303	9001	9002	9101																	
28030304	9001	9002	9101																	
28030305	9001	9002	9101																	
28030313	9001	9002	9101																	
28030401	9001	9002	9101																	
28030402	9001	9002	9101																	
28030403	9001	9002	9101																	
28030404	9001	9002	9101																	
28030501	9001	9002	9101																	
28030502	9001	9002	9101																	
28030503	9001	9002	9101																	
28020203	9001																			
28040101	9001	9002																		
28040102	9001	9002																		
28040103	9001	9002																		
28040201	9001	9004	9200	9201	9301															
28040202	9001	9004	9200	9201	9301															
28040203	9001	9004	9200	9201	9301															
28040204	9001	9004	9200	9201	9301															
28040205	9001	9004	9200	9201	9302															
28040206	9001	9004	9200	9201	9303															
28040301	9001	9004	9200	9202	9302															
28040302	9001	9004	9200	9202	9302															
28040303	9001	9004	9200	9202	9302															
28040304	9001	9004	9200	9202	9303															
28040305	9001	9004	9200	9202	9302															
28040401	9001	9004	9200	9204	9301															
28040402	9001	9004	9200	9204	9301															
28040501	9001	9004	9200	9203	9303															
28040502	9001	9004	9200	9203	9303															
28040503	9001	9004	9200	9203	9303															
28040504	9001	9004	9200	9203	9303															
28040505	9001	9004	9200	9203	9302															
28040506	9001	9004	9200	9901	9302															
28040601	9001	9004	9200	9205	9301															
28040602	9001	9004	9200	9205	9301															
28040701	9001	9004	9200	9206	9301															
28040702	9001	9004	9200	9206	9301															
28040801	9001	9004	9200	9207	9301															
28040802	9001	9004	9200	9207	9301															
28040803	9001	9004	9200	9207	9303															
28040804	9001	9004	9200	9207	9302															
28040901	9001	9004	9200	9208	9301															
28040902	9001	9004	9200	9208	9301															
28050101	9001	9005																		
28050102	9001	9005																		
28050103	9001	9005																		
28050201	9001	9003																		
28050202	9001	9003																		
28050203	9001	9003																		
28050301	9001	9005																		
28060101	9001	9003	9102																	
28060201	9001	9003	9102																	
28060301	9001	9002	9101																	
28060401	9001	9003	9102																	
28060501	9001	9003	9102																	
28060601	9001	9003	9102																	
28061501	9001	9003	9102																	
28070101	9001	9004																		
28070201	9001	9004																		
28070301	9001	9004																		
25010101	4006	4901			3006															
25020101	4006	4902			3006															
25030101	4006	4901			3006															
25040101	4006	4901			3006															
25050101	4007	4901			3006															
25050201	4007	4901	4903		3006															
26010101	4008				3006															
26020101	4008				3006															
25010201	4006	4902			3006															
25010301	4006	4902			3006															
25010401	4006	4902			3006															
25010501	4006	4902			3006															
25010601	4006	4901			3006															
25010701	4006	4901			3006															
25020201	4006	4902			3006															
25030201	4006	4902			3006															
25030301	4006	4901			3006															
25060101	4006	4901			3006															
25070101	4006	4901			3006															
25110101	4022	4902	4024																	
25110201	4022	4901	4024																	
25210101	4016	4902			3006															
25210151	4017	4902			3006															
25210201	4016	4901			3006															
25210251	4017	4901			3006															
25210301	4016	4902			3006															
25210351	4017	4902			3006															
25210401	4016	4902			3006															
25210451	4017	4902			3006															
25210501	4016	4902			3006															
25210551	4017	4902			3006															
25210601	4016	4902			3006															
25310101	4016	4902			3006															
25310201	4016	4902			3006															
25310301	4016	4902			3006															
25410101	4016	4902			3006															
25410201	4016	4901			3006															
26060101			4901		3006															
26060201			4901		3006															
26060301			4901		3006															
26090101	4008	4019	4901																	
26090201	4008	4019	4901																	
26090301	4008	4019	4901																	
26090401	4008	4018	4902																	
26090501	4008	4018	4902																	
26090601	4008	4018	4902																	
26090701	4008	4020	4902																	
26090801	4008	4020	4901																	
26090901	4008	4020	4902																	
26091001	4008	4020	4901																	
26110101	4008	4901	4902																	
26120101	4008		4901																	
26120201	4008		4902																	
26120301	4008		4901																	
26120401	4008		4902																	
26100101	4015																			
26100201	4015																			
26100301	4015																			
26100401	4015																			
26100501	4015																			
30000001	30001	30002	30100																	
30000002	30002	30100																		
30000003	30003																			
30000004	30004																			
30000005	30004	30005																		
30000006	30002	30005	30100																	
