角色ID	羁绊等级	奖励RewardID
10000021	10	241001
10000029	10	241002
10000016	10	241003
10000020	10	241004
10000022	10	241005
10000003	10	241006
10000014	10	241007
10000015	10	241008
10000006	10	241009
10000043	10	241010
10000031	10	241011
10000034	10	241012
10000041	10	241013
10000032	10	241014
10000023	10	241015
10000025	10	241016
10000035	10	241017
10000042	10	241018
10000027	10	241019
10000024	10	241020
10000036	10	241021
10000039	10	241022
10000030	10	241023
10000044	10	241024
10000033	10	241025
10000037	10	241026
10000038	10	241027
10000026	10	241028
10000046	10	241029
10000045	10	241030
10000048	10	241031
10000051	10	241032
10000047	10	241033
10000049	10	241035
10000053	10	241036
10000002	10	241034
10000052	10	241037
10000054	10	241038
10000056	10	241039
10000062	10	241040
10000050	10	241041
10000055	10	241042
10000057	10	241043
10000063	10	241044
10000064	10	241045
10000058	10	241046
10000066	10	241047
10000060	10	241048
10000065	10	241049
10000059	10	241050
10000069	10	241051
10000067	10	241052
10000068	10	241053
10000071	10	241054
10000072	10	241055
10000070	10	241056
10000073	10	241057
10000074	10	241058
