ID	角色ID	开启条件1类型	开启条件1参数列表	开启条件2类型	开启条件2参数列表	完成条件1类型	完成条件1参数列表
4201	10000003					10	
4202	10000003	1	2			10	
4203	10000003	1	3			10	
4204	10000003	1	4			10	
4205	10000003	1	5			10	
4206	10000003	1	6			10	
4207	10000003	1	4			10	
4208	10000003	1	6			10	
5201	10000006					10	
5202	10000006	1	2			10	
5203	10000006	1	3			10	
5204	10000006	1	4			10	
5205	10000006	1	5			10	
5206	10000006	1	6			10	
5207	10000006	1	4			10	
5208	10000006	1	6			10	
6201	10000014					10	
6202	10000014	1	2			10	
6203	10000014	1	3			10	
6204	10000014	1	4			10	
6205	10000014	1	5			10	
6206	10000014	1	6			10	
6207	10000014	1	4			10	
6208	10000014	1	6			10	
7201	10000015					10	
7202	10000015	1	2			10	
7203	10000015	1	3			10	
7204	10000015	1	4			10	
7205	10000015	1	5			10	
7206	10000015	1	6			10	
7207	10000015	1	4			10	
7208	10000015	1	6			10	
8201	10000016					10	
8202	10000016	1	2			10	
8203	10000016	1	3			10	
8204	10000016	1	4			10	
8205	10000016	1	5			10	
8206	10000016	1	6			10	
8207	10000016	1	4			10	
8208	10000016	1	6	6	46618	10	
9201	10000020					10	
9202	10000020	1	2			10	
9203	10000020	1	3			10	
9204	10000020	1	4			10	
9205	10000020	1	5			10	
9206	10000020	1	6			10	
9207	10000020	1	6			10	
9208	10000020	1	6			10	
10201	10000021					10	
10202	10000021	1	2			10	
10203	10000021	1	3			10	
10204	10000021	1	4			10	
10205	10000021	1	5			10	
10206	10000021	1	6			10	
10207	10000021	1	4			10	
10208	10000021	1	6			10	
11201	10000022					10	
11202	10000022	1	2			10	
11203	10000022	1	3			10	
11204	10000022	1	4	6	1011306	10	
11205	10000022	1	5	6	1011306	10	
11206	10000022	1	6	6	1011306	10	
11207	10000022	1	4	6	39604	10	
11208	10000022	1	6	6	39604	10	
12201	10000023					10	
12202	10000023	1	2			10	
12203	10000023	1	3			10	
12204	10000023	1	4			10	
12205	10000023	1	5			10	
12206	10000023	1	6			10	
12207	10000023	1	4			10	
12208	10000023	1	6			10	
13201	10000025					10	
13202	10000025	1	2			10	
13203	10000025	1	3			10	
13204	10000025	1	4	6	1200309	10	
13205	10000025	1	5	6	1200309	10	
13206	10000025	1	6	6	1200309	10	
13207	10000025	1	4			10	
13208	10000025	1	6	6	1200309	10	
14201	10000024					10	
14202	10000024	1	2			10	
14203	10000024	1	3			10	
14204	10000024	1	4			10	
14205	10000024	1	5			10	
14206	10000024	1	6			10	
14207	10000024	1	4			10	
14208	10000024	1	6			10	
15201	10000027					10	
15202	10000027	1	2			10	
15203	10000027	1	3			10	
15204	10000027	1	4			10	
15205	10000027	1	5			10	
15206	10000027	1	6			10	
15207	10000027	1	4			10	
15208	10000027	1	6			10	
16201	10000026					10	
16202	10000026	1	2			10	
16203	10000026	1	3			10	
16204	10000026	1	4			10	
16205	10000026	1	5			10	
16206	10000026	1	6			10	
16207	10000026	1	4			10	
16208	10000026	1	6			10	
18201	10000029					10	
18202	10000029	1	2			10	
18203	10000029	1	3			10	
18204	10000029	1	4			10	
18205	10000029	1	5	6	1020204	10	
18206	10000029	1	6	6	1020204	10	
18207	10000029	1	4			10	
18208	10000029	1	6			10	
19201	10000031					10	
19202	10000031	1	2			10	
19203	10000031	1	3			10	
19204	10000031	1	4			10	
19205	10000031	1	5			10	
19206	10000031	1	6			10	
19207	10000031	1	4			10	
19208	10000031	1	6			10	
20201	10000032					10	
20202	10000032	1	2			10	
20203	10000032	1	3			10	
20204	10000032	1	4			10	
20205	10000032	1	5			10	
20206	10000032	1	6			10	
20207	10000032	1	4			10	
20208	10000032	1	6			10	
21201	10000034					10	
21202	10000034	1	2			10	
21203	10000034	1	3			10	
21204	10000034	1	4	6	39604	10	
21205	10000034	1	5			10	
21206	10000034	1	6			10	
21207	10000034	1	4			10	
21208	10000034	1	6			10	
22201	10000036					10	
22202	10000036	1	2			10	
22203	10000036	1	3			10	
22204	10000036	1	4			10	
22205	10000036	1	5			10	
22206	10000036	1	6			10	
22207	10000036	1	4			10	
22208	10000036	1	6			10	
1200	10000005					10	
1201	10000005					10	
1202	10000005	6	39604			10	
1203	10000005	10				10	
1204	10000005	10				10	
1205	10000005	10				10	
1206	10000005	10				10	
1207	10000005	6	30904			10	
2200	10000007					10	
2201	10000007					10	
2202	10000007	6	39604			10	
2203	10000007	10				10	
2204	10000007	10				10	
2205	10000007	10				10	
2206	10000007	10				10	
2207	10000007	6	30904			10	
32201	10000042					10	
32202	10000042	1	2			10	
32203	10000042	1	3			10	
32204	10000042	1	4			10	
32205	10000042	1	5	6	102510	10	
32206	10000042	1	6	6	102510	10	
32207	10000042	1	4			10	
32208	10000042	1	6			10	
31201	10000043					10	
31202	10000043	1	2			10	
31203	10000043	1	3			10	
31204	10000043	1	4			10	
31205	10000043	1	5			10	
31206	10000043	1	6			10	
31207	10000043	1	6			10	
31208	10000043	1	6			10	
24201	10000035					10	
24202	10000035	1	2			10	
24203	10000035	1	3			10	
24204	10000035	1	4			10	
24205	10000035	1	5			10	
24206	10000035	1	6			10	
24207	10000035	1	4			10	
24208	10000035	1	6			10	
30201	10000041					10	
30202	10000041	1	2	6	1050211	10	
30203	10000041	1	3			10	
30204	10000041	1	4			10	
30205	10000041	1	5	6	1050211	10	
30206	10000041	1	6			10	
30207	10000041	1	4			10	
30208	10000041	1	6			10	
23201	10000033					10	
23202	10000033	1	2			10	
23203	10000033	1	3			10	
23204	10000033	1	4			10	
23205	10000033	1	5			10	
23206	10000033	1	6			10	
23207	10000033	1	4			10	
23208	10000033	1	6			10	
172001	10000030					10	
172002	10000030	1	2			10	
172003	10000030	1	3			10	
172004	10000030	1	4	6	102510	10	
172005	10000030	1	5	6	102510	10	
172006	10000030	1	6	6	102510	10	
172007	10000030	1	4	6	102510	10	
172008	10000030	1	6	6	102510	6	102510
33201	10000044					10	
33202	10000044	1	2			10	
33203	10000044	1	3			10	
33204	10000044	1	4			10	
33205	10000044	1	5			10	
33206	10000044	1	6			10	
33207	10000044	1	4			10	
33208	10000044	1	6			10	
34201	10000039					10	
34202	10000039	1	2			10	
34203	10000039	1	3			10	
34204	10000039	1	4			10	
34205	10000039	1	5			10	
34206	10000039	1	6			10	
34207	10000039	1	4			10	
34208	10000039	1	6			10	
35201	10000038					10	
35202	10000038	1	2			10	
35203	10000038	1	3			10	
35204	10000038	1	4			10	
35205	10000038	1	5			10	
35206	10000038	1	6			10	
35207	10000038	1	4			10	
35208	10000038	1	6			10	
25201	10000037					10	
25202	10000037	1	2			10	
25203	10000037	1	3			10	
25204	10000037	1	4			10	
25205	10000037	1	5			10	
25206	10000037	1	6			10	
25207	10000037	1	4			10	
25208	10000037	1	6			10	
36201	10000046					10	
36202	10000046	1	2			10	
36203	10000046	1	3			10	
36204	10000046	1	4			10	
36205	10000046	1	5			10	
36206	10000046	1	6			10	
36207	10000046	1	4			10	
36208	10000046	1	6			10	
37201	10000045					10	
37202	10000045	1	2			10	
37203	10000045	1	3			10	
37204	10000045	1	4			10	
37205	10000045	1	5			10	
37206	10000045	1	6			10	
37207	10000045	1	4			10	
37208	10000045	1	6			10	
38201	10000048					10	
38202	10000048	1	2			10	
38203	10000048	1	3			10	
38204	10000048	1	4			10	
38205	10000048	1	5			10	
38206	10000048	1	6			10	
38207	10000048	1	4			10	
38208	10000048	1	6			10	
39201	10000051					10	
39202	10000051	1	2			10	
39203	10000051	1	3			10	
39204	10000051	1	4			10	
39205	10000051	1	5			10	
39206	10000051	1	6			10	
39207	10000051	1	4			10	
39208	10000051	1	6			10	
40201	10000047					10	
40202	10000047	1	2			10	
40203	10000047	1	3			10	
40204	10000047	1	4			10	
40205	10000047	1	5	6	200212	10	
40206	10000047	1	6			10	
