ID	角色ID	开启条件1类型	开启条件1参数列表	开启条件2类型	开启条件2参数列表	开启条件3类型	开启条件3参数列表	开启条件4类型	开启条件4参数列表	消失条件1类型	消失条件1参数列表	隐藏该语音时装列表	追加该语音时装列表
1002	10000005	4	3;10										
1003	10000005	4	3;10										
1004	10000005	4	3;10										
1005	10000005	6	1010115										
1006	10000005	6	38406										
1007	10000005	4	3;10										
1008	10000005	6	38406										
1009	10000005	4	3;10										
1010	10000005	6	30904										
1011	10000005	6	39604										
1012	10000005	6	38406										
1013	10000005	4	3;72										
1014	10000005	4	3;72										
1015	10000005	4	3;128										
1016	10000005	4	3;72										
1017	10000005	4	3;72										
1018	10000005	4	3;72										
1019	10000005	4	3;72										
1020	10000005	6	102510										
1021	10000005	6	101801										
1022	10000005	4	3;10										
1023	10000005	4	3;10										
1024	10000005	6	39604										
1025	10000005	6	30904										
1026	10000005	6	30904										
1027	10000005	6	46618										
1028	10000005	6	1020204										
1029	10000005	6	45406										
1030	10000005	6	1020204										
1031	10000005	4	3;10										
1032	10000005	6	38406										
1033	10000005	6	38406										
1034	10000005	4	3;128										
1035	10000005	6	101609										
1036	10000005	6	101609										
1037	10000005	6	30904										
1038	10000005	6	30904										
1039	10000005	6	30904										
1040	10000005	4	3;14										
1041	10000005	4	3;14										
1042	10000005	4	3;14										
1043	10000005	6	30904										
1044	10000005	6	30904										
1045	10000005	6	30904										
1046	10000005	4	3;114										
1047	10000005	6	30904										
1048	10000005	6	30904										
1049	10000005	4	3;128										
1050	10000005	6	38406										
1051	10000005	6	39604										
1052	10000005	6	38406										
1053	10000005	6	30904										
1054	10000005	6	30904										
1055	10000005	6	30904										
1056	10000005	6	30904										
1057	10000005	6	30904										
1058	10000005	6	30904										
1059	10000005	6	46308										
1060	10000005	6	46308										
1061	10000005	6	30904										
1062	10000005												
1063	10000005												
1064	10000005												
1065	10000005												
1066	10000005												
1067	10000005												
1068	10000005												
1069	10000005												
1070	10000005												
1126	10000005	0		0									
1127	10000005	0		0									
1128	10000005	0		0									
1071	10000005												
1072	10000005												
1073	10000005												
1074	10000005												
1075	10000005												
1076	10000005												
1077	10000005												
1078	10000005												
1079	10000005												
1129	10000005	0		0									
1130	10000005	0		0									
1131	10000005	0		0									
1080	10000005												
1081	10000005												
1082	10000005												
1083	10000005	0		0									
1084	10000005	0		0									
1085	10000005												
1086	10000005												
1087	10000005												
1088	10000005												
1089	10000005												
1090	10000005	6	200908										
1091	10000005	6	200908										
1092	10000005	6	200908										
1093	10000005	6	200908										
1094	10000005	6	200908										
1096	10000005	6	200908										
1097	10000005	6	200212										
1098	10000005	6	1200804										
1099	10000005	6	1200804										
1100	10000005	6	1200804										
1101	10000005	6	1201309										
1102	10000005	4	3;306										
1103	10000005	4	3;306										
1104	10000005	4	3;235										
1105	10000005	4	3;235										
1106	10000005	4	3;244										
1107	10000005	4	3;296										
1108	10000005	4	3;306										
1109	10000005	4	3;306										
1110	10000005	4	3;306										
1111	10000005	4	3;331										
1112	10000005	4	3;298										
1113	10000005	4	3;298										
1114	10000005	4	3;245										
1115	10000005	4	3;258										
1116	10000005	4	3;242										
1117	10000005	4	3;306										
1118	10000005	11	2021										
1119	10000005	11	2021										
1120	10000005	11	2021										
1121	10000005	11	2021										
1122	10000005	11	2021										
1123	10000005	11	2021										
1124	10000005	11	2021										
1125	10000005	6	1204209										
1132	10000005	11	3012	0									
1133	10000005	11	3012	0									
1134	10000005	11	3012	0						11	3026		
1135	10000005	11	3012	0									
1136	10000005	11	3012	0									
1137	10000005	6	7303208	0									
1138	10000005	6	7303208	0									
1139	10000005	6	1100811	0									
1140	10000005	4	3;598										
1141	10000005	4	3;598	0									
1142	10000005	4	3;598	0									
1143	10000005	4	3;598	0									
1144	10000005	4	3;598	0									
1145	10000005	4	3;598	0									
1146	10000005	4	3;598	0									
1147	10000005	4	3;598	0									
1148	10000005	4	3;598	0									
1149	10000005	4	3;598	0									
1150	10000005	4	3;4	4	3;204	4	3;306	4	3;598				
1151	10000005	4	3;128	4	3;598								
1152	10000005	4	3;501	0									
1153	10000005	4	3;501	0									
1154	10000005	4	3;598	0		0		0					
1155	10000005	6	7303208	0		0		0					
1156	10000005	6	7303208	0		0		0					
2001	10000007	4	3;10										
2002	10000007	4	3;10										
2003	10000007	4	3;10										
2004	10000007	6	1010115										
2005	10000007	6	38406										
2006	10000007	4	3;10										
2007	10000007	6	38406										
2008	10000007	4	3;10										
2009	10000007	6	30904										
2010	10000007	6	39604										
2011	10000007	6	38406										
2012	10000007	4	3;72										
2013	10000007	4	3;72										
2014	10000007	4	3;128										
2015	10000007	4	3;72										
2016	10000007	4	3;72										
2017	10000007	4	3;72										
2018	10000007	4	3;72										
2019	10000007	6	102510										
2020	10000007	6	101801										
2021	10000007	4	3;10										
2022	10000007	4	3;10										
2023	10000007	6	39604										
2024	10000007	6	30904										
2025	10000007	6	30904										
2026	10000007	6	46618										
2027	10000007	6	1020204										
2028	10000007	6	45406										
2029	10000007	6	1020204										
2030	10000007	4	3;10										
2031	10000007	6	38406										
2032	10000007	6	38406										
2033	10000007	4	3;128										
2034	10000007	6	101609										
2035	10000007	6	101609										
2036	10000007	6	30904										
2037	10000007	6	30904										
2038	10000007	6	30904										
2039	10000007	4	3;14										
2040	10000007	4	3;14										
2041	10000007	4	3;14										
2042	10000007	6	30904										
2043	10000007	6	30904										
2044	10000007	6	30904										
2045	10000007	4	3;114										
2046	10000007	6	30904										
2047	10000007	6	30904										
2048	10000007	4	3;128										
2049	10000007	6	38406										
2050	10000007	6	39604										
2051	10000007	6	38406										
2052	10000007	6	30904										
2053	10000007	6	30904										
2054	10000007	6	30904										
2055	10000007	6	30904										
2056	10000007	6	30904										
2057	10000007	6	30904										
2058	10000007	6	46308										
2059	10000007	6	46308										
2060	10000007	6	30904										
2061	10000007												
2062	10000007												
2063	10000007												
2064	10000007												
2065	10000007												
2066	10000007												
2067	10000007												
2068	10000007												
2069	10000007												
2125	10000007	0		0									
2126	10000007	0		0									
2127	10000007	0		0									
2070	10000007												
2071	10000007												
2072	10000007												
2073	10000007												
2074	10000007												
2075	10000007												
2076	10000007												
2077	10000007												
2078	10000007												
2128	10000007	0		0									
2129	10000007	0		0									
2130	10000007	0		0									
2079	10000007												
2080	10000007												
2081	10000007												
2082	10000007	0		0									
2083	10000007	0		0									
2084	10000007												
2085	10000007												
2086	10000007												
2087	10000007												
2088	10000007												
2089	10000007	6	200908										
2090	10000007	6	200908										
2091	10000007	6	200908										
2092	10000007	6	200908										
2093	10000007	6	200908										
