QTE技能ID	技能类型	触发类型	触发参数1	触发参数2	触发参数3	强度档位	张力系数	Bonus区域增幅	Bonus覆盖停留时间	Bonus覆盖变动位移	Bonus覆盖变动速度	持续时间	优先级
1000	1	1	0.3			0	1.5	0	0	0	0	10	60
1001	1	3	3	1		0	3	0	0	0	0	3	100
1002	1	3	1	1		0	3	0	0	0	0	3	100
1003	1	3	2.5	1.5		0	1.66	0	0	0	0	2	100
1004	1	3	2.5	1.5		0	2.2	0	0	0	0	3	100
1005	1	3	3	1		0	1.88	0	0	0	0	2.4	100
2000	2	1	0.3			3	0	-0.2,-0.2	0.5,0.5	30,50	60,65	10	100
2001	2	1	0.3			3	0	-0.2,-0.2	0.5,0.5	70,90	35,40	10	100
2002	2	1	0.3			3	0	-0.2,-0.2	0.5,0.5	30,50	60,65	10	100
2003	2	1	0.3			3	0	-0.25,-0.25	0.3,0.7	30,40	50,60	10	100
2004	2	1	0.35			3	0	-0.25,-0.25	0.2,0.6	35,45	55,65	10	100
2005	2	1	0.3			3	0	-0.27,-0.27	0.5,0.5	70,90	35,40	10	100
2010	2	3	3	3		1	0	0,0	0,0.25	20,40	35,40	5	60
2011	2	3	3	1		2	0	-0.2,-0.2	0,0.25	30,50	35,40	5	20
2012	2	3	3	1		2	0	-0.2,-0.2	0.5,1	70,90	35,40	5	20
2013	2	3	3	1		3	0	-0.2,-0.2	0.5,1	70,90	35,40	5	20
2014	2	3	2	2		3	0	-0.2,-0.2	0.5,0.5	70,90	35,40	5	20
2015	2	3	3	1		2	0	0,0	2,3	30,50	30,45	5	20
2016	2	3	3	3		1	0	-0.2,-0.2	0.5,1	50,60	35,40	5	20
2017	2	3	3	1		2	0	-0.2,-0.2	2,3	30,50	60,65	5	20
2018	2	3	3	2		3	0	-0.2,-0.2	2,3	30,50	60,65	5	20
2019	2	3	3	3		3	0	-0.2,-0.2	0.5,0.5	30,50	60,65	5	60
2020	2	3	2	1		1	0	0,0	0,0.25	20,40	35,40	5	60
2021	2	3	1	1		2	0	-0.2,-0.2	0,0.25	30,50	35,40	5	20
2022	2	3	2	1		2	0	-0.2,-0.2	0.5,1	70,90	35,40	5	20
2023	2	3	1	1		3	0	-0.2,-0.2	0.5,1	70,90	35,40	5	20
2024	2	3	1	1		3	0	-0.2,-0.2	0.5,1	70,90	35,40	5	20
2025	2	3	1	1		2	0	0,0	2,3	30,50	30,45	5	20
2026	2	3	2	1		1	0	-0.2,-0.2	0.5,1	50,60	35,40	5	20
2027	2	3	1	1		2	0	-0.2,-0.2	2,3	30,50	60,65	5	20
2028	2	3	1.5	1		3	0	-0.2,-0.2	2,3	30,50	60,65	5	20
2029	2	3	2	1		3	0	-0.2,-0.2	0.5,0.5	30,50	60,65	5	60
2030	2	3	3	1		2	0	0,0	2,3	30,50	30,45	5	20
2031	2	3	1	1		2	0	0,0	2,3	30,50	30,45	5	20
