ID	小游戏ID	统计类型	统计参数1	统计参数2	比较类型	统计方式	优先级
1	6001	1	fall_down_darkfloor	0	1		99
2	6001	1	get_destination_darkfloor	30	3	2	98
3	6002	1	hit_by_floor	0	3	2	97
4	6003	1	fall_down_brokenfloor	0	1		96
5	6004	1	catch_flora_count	10	2	1	95
6	6004	1	hit_by_bombflower	0	1		94
7	6005	1	hit_by_bullet	0	1		93
8	6006	1	hit_by_bubble	0	1		92
9	6006	1	get_destination_bubblegame	30	3		91
10	6007	1	hit_by_bubble	0	1		90
11	6007	1	get_destination_bubblegame	30	3		89
12	6008	1	wrong_position_memoryfloor	0	1		88
13	6008	1	get_destination_memoryfloor	30	3		87
14		2	235800008:8002;235800007:7072;235800007:7006;235800012:12002;235800012:12004;235800012:12073;235800012:12074;235800013:13001;235800013:13003		1	1	86
