ID,类型,GalleryID,配置ID,开启天数,前置引导任务,watcherID,AvatarID,参数1,参数2,参数3,FleurFairTips
1001,1,1001,1001,1,70657,1200311#1200312#1200313,10000041#10000003#10000022,1000,1800,2600,1#2#3#4
1002,1,1001,1003,4,,1200314#1200315#1200316,10000006#10000016#10000029,1200,2200,3200,1#2#3#4
1003,1,1001,1004,7,,1200317#1200318#1200319,10000043#10000020#10000031,1600,2800,4000,1#2#3#4
1004,1,1001,1005,10,,1200320#1200321#1200322,10000032#10000021#10000039,1000,2000,3000,1#2#3#4
2001,2,1001,2001,1,70654,1200323#1200324#1200325,10000015#10000031#10000021,1000,2000,3000,8
2002,2,1001,2002,4,,1200326#1200327#1200328,10000043#10000029#10000022,1000,2000,3000,7
2003,2,1001,2003,7,,1200329#1200330#1200331,10000034#10000038#10000003,1000,2000,3000,5
2004,2,1001,2004,10,,1200332#1200333#1200334,10000014#10000039#10000041,1000,2000,3000,6
3001,3,1001,1,1,70658,1200335#1200336#1200337,10000029#10000034#10000022,1000,1200,1800,
3002,3,1001,2,4,,1200338#1200339#1200340,10000020#10000006#10000016,800,1200,1800,
3003,3,1001,3,7,,1200341#1200342#1200343,10000032#10000015#10000014,1000,1400,2200,
3004,3,1001,4,10,,1200344#1200345#1200346,10000041#10000003#10000038,1000,1400,2400,
