锻造ID,解锁等级,默认显示,解锁方式,解锁参数1,解锁参数2,生效大世界等级,锻造类型,锻造产物,产物数量,随机主产物DropID,锻造时间,队列最大数量,摩拉消耗,随机产物1ID,随机产物1数量,随机产物1权重,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,显示优先级,锻造点数,天赋返回ID
11001,2,1,,,,0#1#2#3#4#5#6#7#8,1,104011,1,,3,20,5,,,,101001,2,,,,,450,400,1#2#3
11002,2,1,,,,0#1#2#3#4#5#6#7#8,1,104012,1,,6,10,10,,,,101002,3,,,,,450,2000,1#2#3
11003,5,1,,,,0#1#2#3#4#5#6#7#8,1,104013,1,,180,5,50,,,,101003,4,,,,,440,10000,1#2#3
11004,2,1,,,,0#1#2#3#4#5#6#7#8,1,104012,1,,6,10,10,,,,101006,3,,,,,450,2000,1#2#3
11005,5,1,,,,0#1#2#3#4#5#6#7#8,1,104013,1,,180,5,50,,,,101008,4,,,,,430,10000,1#2#3
12001,30,1,,,,3#4#5#6#7#8,1,,6,208001500,5,1,100,,,,101004,3,106,10,,,420,0,1#2#3
13001,5,1,,,,0#1#2#3#4#5#6#7#8,3,11406,1,,10,1,500,,,,101101,1,101003,50,101002,50,250,0,2#3
13002,5,1,,,,0#1#2#3#4#5#6#7#8,3,11407,1,,10,1,500,,,,101101,1,101003,50,101002,50,250,0,2#3
13003,5,1,,,,0#1#2#3#4#5#6#7#8,4,15406,1,,10,1,500,,,,101102,1,101003,50,101002,50,250,0,2#3
13004,5,1,,,,0#1#2#3#4#5#6#7#8,4,15407,1,,10,1,500,,,,101102,1,101003,50,101002,50,250,0,2#3
13005,5,1,,,,0#1#2#3#4#5#6#7#8,5,12406,1,,10,1,500,,,,101103,1,101003,50,101002,50,250,0,2#3
13006,5,1,,,,0#1#2#3#4#5#6#7#8,5,12407,1,,10,1,500,,,,101103,1,101003,50,101002,50,250,0,2#3
13007,5,1,,,,0#1#2#3#4#5#6#7#8,6,14406,1,,10,1,500,,,,101104,1,101003,50,101002,50,250,0,2#3
13008,5,1,,,,0#1#2#3#4#5#6#7#8,6,14407,1,,10,1,500,,,,101104,1,101003,50,101002,50,250,0,2#3
13009,5,1,,,,0#1#2#3#4#5#6#7#8,7,13402,1,,10,1,500,,,,101105,1,101003,50,101002,50,250,0,2#3
13010,5,1,,,,0#1#2#3#4#5#6#7#8,7,13403,1,,10,1,500,,,,101105,1,101003,50,101002,50,250,0,2#3
13011,10,0,2,,,0#1#2#3#4#5#6#7#8,5,12411,1,,10,1,500,,,,101103,1,101003,50,101006,50,250,0,2#3
13012,10,0,2,,,0#1#2#3#4#5#6#7#8,6,14412,1,,10,1,500,,,,101104,1,101003,50,101006,50,250,0,2#3
13013,10,0,2,,,0#1#2#3#4#5#6#7#8,7,13409,1,,10,1,500,,,,101105,1,101006,50,100619,8,250,0,2
14003,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220003,1,,30,1,50000,,,,112037,10,100058,30,101003,50,168,0,
14004,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220004,1,,30,1,50000,,,,113001,10,100024,30,101003,50,150,0,
14006,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220006,1,,10,5,500,,,,111013,1,100085,2,101001,2,150,0,
14008,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220008,1,,30,1,50000,,,,100083,20,112024,20,100054,50,150,0,
14009,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220009,1,,30,1,50000,,,,112037,10,100025,30,101003,50,169,0,
14017,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220017,1,,10,5,500,,,,100053,2,101006,2,,,150,0,
14034,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220034,1,,30,1,50000,,,,112037,10,101201,30,101003,50,167,0,
14058,10,0,2,,,0#1#2#3#4#5#6#7#8,8,220058,1,,30,1,50000,,,,112037,10,101214,30,101003,50,167,0,
15001,10,0,2,,,0#1#2#3#4#5#6#7#8,3,11414,1,,10,1,500,,,,101101,1,101008,50,101002,50,250,0,2#3
15002,10,0,2,,,0#1#2#3#4#5#6#7#8,4,15414,1,,10,1,500,,,,101102,1,101008,50,101002,50,250,0,2#3
15003,10,0,2,,,0#1#2#3#4#5#6#7#8,5,12414,1,,10,1,500,,,,101103,1,101008,50,101002,50,250,0,2#3
15004,10,0,2,,,0#1#2#3#4#5#6#7#8,6,14414,1,,10,1,500,,,,101104,1,101008,50,101002,50,250,0,2#3
15005,10,0,2,,,0#1#2#3#4#5#6#7#8,7,13414,1,,10,1,500,,,,101105,1,101008,50,101002,50,250,0,2#3
16001,10,0,2,,,0#1#2#3#4#5#6#7#8,3,11417,1,,10,1,500,,,,101111,1,101003,50,101002,50,250,0,2#3
16002,10,0,2,,,0#1#2#3#4#5#6#7#8,4,15417,1,,10,1,500,,,,101112,1,101003,50,101002,50,250,0,2#3
16003,10,0,2,,,0#1#2#3#4#5#6#7#8,5,12417,1,,10,1,500,,,,101113,1,101003,50,101002,50,250,0,2#3
16004,10,0,2,,,0#1#2#3#4#5#6#7#8,6,14417,1,,10,1,500,,,,101114,1,101003,50,101002,50,250,0,2#3
16005,10,0,2,,,0#1#2#3#4#5#6#7#8,7,13417,1,,10,1,500,,,,101115,1,101003,50,101002,50,250,0,2#3
