地城编号,房间数量,关卡类型,阶段编号,gallery编号,可选蕈兽编号,后援坑位,蕈兽group_id,出生点config_id_list,结算传送点config_id,防守物件config_id,基础分数,时间参数1,时间参数2,阵亡参数,守护参数
8101,3,1,1,28021,1#5#9#10,0,247101002,2001#2002#2003#2004,2006,,700,3300,5,100,0
8102,3,1,2,28021,1#2#5#7#9#10,1,247101002,2001#2002#2003#2004,2006,,700,3300,5,100,0
8103,3,1,3,28021,1#2#3#5#6#7#9#10,1,247101002,2001#2002#2003#2004,2006,,700,3300,5,100,0
8104,3,1,4,28021,1#2#3#4#5#6#7#8#9#10,1,247101002,2001#2002#2003#2004,2006,,700,3300,5,100,0
8105,3,1,5,28021,1#2#3#4#5#6#7#8#9#10,1,247101002,2001#2002#2003#2004,2006,,700,3300,5,100,0
8106,1,2,1,28022,1#5#9#10,0,247102002,2001#2002#2003#2004,,1012,500,0,0,100,30
8107,1,2,2,28022,1#2#5#7#9#10,1,247102002,2001#2002#2003#2004,,1012,500,0,0,100,30
8108,1,2,3,28022,1#2#3#5#6#7#9#10,1,247102002,2001#2002#2003#2004,,1012,500,0,0,100,30
8109,1,2,4,28022,1#2#3#4#5#6#7#8#9#10,1,247102002,2001#2002#2003#2004,,1012,500,0,0,100,30
8110,1,2,5,28022,1#2#3#4#5#6#7#8#9#10,1,247102002,2001#2002#2003#2004,,1012,500,0,0,100,30
