ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	GadgetID1	GadgetID2	GadgetID3	类型ID1	类型ID2	可配置表面	限制摆放数	特殊家具类型	室内场景ID	舒适度	堆叠上限	Cost	打折Cost	灯光合并	阶数	JSON名称	图文教程	浮空箭头类型ID	屏蔽乐高文本	存档类型
369101	6		2900		0			成品家具	77303005			9002	9001	12				100	9999	500	500		3					
369102	6		2900		0			成品家具	77303004			9002	9001	12				100	9999	500	500		3					
369103	6		2900		0			成品家具	77303001			9002		12				100	9999	500	500		3					
369104	6		2900		0			成品家具	77303003			9002		12				100	9999	500	500		3					
369105	6		2900		0			成品家具	77303009			9002	9001	12				100	9999	500	500		3					
369106	6		2900		0			成品家具	77303010			9002	9001	12				100	9999	500	500		3					
369107	6		2900		0			成品家具	77303011			9002	9001	12				100	9999	500	500		3					
369108	6		2900		0			成品家具	77303006			9002	9001	12				100	9999	500	500		3					
369109	6		2900		0			成品家具	77303007			9002	9001	12				100	9999	500	500		3					
369110	6		2900		0			成品家具	77303008			9002	9001	12				100	9999	500	500		3					
368101	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368102	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368103	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368104	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368105	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368106	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368107	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368108	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368109	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368110	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368111	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368112	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368113	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368114	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368115	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368116	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368117	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368118	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368119	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368120	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368121	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368122	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368123	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368124	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368125	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368126	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368127	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368128	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368129	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368130	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368131	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368132	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368133	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368135	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368136	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368137	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368138	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368139	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368140	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368141	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368142	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368143	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368144	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368145	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368146	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368147	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368148	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368149	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368150	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368151	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368152	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368153	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368154	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368155	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368156	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368157	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368158	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368159	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368160	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
368161	6				0			成品家具	77015009			8001	8002	11		5		300	9999	1200	1200		1					
360101	6		200		0			成品家具				1001		7		1		30	9999	0	0		3					
360102	6		200		0			成品家具				1001		7		1		30	9999	0	0		3					
360201	6		300		0			成品家具				1002		6		1		30	9999	0	0		3					
360202	6		300		0			成品家具				1002		6		1		30	9999	0	0		3					
360301	6		400		0			成品家具				1003		2		1		30	9999	0	0		3					
360302	6		400		0			成品家具				1003		2		1		30	9999	0	0		3					
360401	6		500		0			成品家具	77108001			1004		5		1		60	9999	305	305		3					
360402	6		500		0			成品家具	77108007			1004		5		1		60	9999	220	220		3					
360403	6		500		0			成品家具	77108008			1004		5		1		60	9999	220	220		3					
360404	6		500		0			成品家具	77108002			1004		5		1		60	9999	305	305		3					
360405	6		500		0			成品家具	77108010			1004		5		1		90	9999	220	220		4					
364301	6		600		0			成品家具	77101053			1005		4		1		30	9999	0	0		3					
364302	6		600		0			成品家具	77101054			1005		4		1		30	9999	0	0		3					
