configID	家具ID	单次建造数量	首次获得经验	所需材料1ID	所需材料1数量	所需材料2ID	所需材料2数量	所需材料3ID	所需材料3数量	建造时长	可被加速时长	瞬发道具消耗数	天赋不返回ID
38	360101	1	60	101307	8	101002	4	0	0	50400	14400	1	
39	360102	1	60	101308	4	101002	4	101402	4	50400	14400	1	
40	360201	1	60	101307	4	101402	8	0	0	50400	14400	1	
41	360202	1	60	101002	4	101404	4	101402	4	50400	14400	1	
42	360301	1	60	101307	4	101404	4	101402	4	50400	14400	1	
43	360302	1	60	101308	4	101404	4	101402	4	50400	14400	1	
44	360401	1	60	101301	4	101001	8	0	0	50400	14400	1	
45	360402	1	60	101304	4	101401	4	101402	4	50400	14400	1	
46	360403	1	60	101304	8	101401	4	0	0	50400	14400	1	
47	360404	1	60	101301	4	101401	4	101403	4	50400	14400	1	
48	360405	1	90	101304	12	101401	3	101402	3	57600	14400	1	
56	361301	1	60	101302	12	0	0	0	0	50400	14400	1	
57	361302	1	60	101302	12	0	0	0	0	50400	14400	1	
58	361303	1	60	101302	12	0	0	0	0	50400	14400	1	
59	361101	1	60	101301	12	0	0	0	0	50400	14400	1	
60	361304	1	90	101001	4	101002	4	0	0	57600	14400	1	
61	361305	1	60	101001	12	0	0	0	0	50400	14400	1	
62	361306	1	60	101303	8	101401	4	0	0	50400	14400	1	
63	361307	1	30	101303	4	0	0	0	0	43200	14400	1	
64	361308	1	60	101307	12	0	0	0	0	50400	14400	1	
65	361309	1	60	101303	8	101403	2	101402	2	50400	14400	1	
66	361501	1	60	101303	12	0	0	0	0	50400	14400	1	
67	361310	1	60	101307	8	0	0	101402	4	50400	14400	1	
68	362201	1	60	101002	12	0	0	0	0	50400	14400	1	
69	363301	1	60	101302	12	0	0	0	0	50400	14400	1	
70	364201	1	30	101308	4	0	0	101404	4	43200	14400	1	
71	362202	1	90	101303	12	101401	3	101402	3	57600	14400	1	
72	362203	1	90	101307	12	101401	6	0	0	57600	14400	1	
73	362101	1	90	101303	12	101401	6	0	0	57600	14400	1	
74	362102	1	60	101302	8	0	0	101404	4	50400	14400	1	
75	362103	1	60	101301	8	0	0	101404	4	50400	14400	1	
76	362104	1	30	101303	4	0	0	0	0	43200	14400	1	
77	362105	1	60	101303	8	0	0	101402	4	50400	14400	1	
78	362106	1	60	101303	8	0	0	101402	4	50400	14400	1	
79	364202	1	60	101001	8	0	0	0	0	50400	14400	1	
80	363101	1	60	101001	8	0	0	0	0	50400	14400	1	
81	363102	1	60	101304	4	101401	4	101402	4	50400	14400	1	
82	363103	1	60	101304	4	101401	4	101402	4	50400	14400	1	
83	361311	1	60	101301	12	0	0	0	0	50400	14400	1	
84	361201	1	90	101302	16	0	0	101402	8	57600	14400	1	
85	361202	1	90	101302	16	0	0	101402	8	57600	14400	1	
86	361203	1	90	101302	16	0	0	101402	8	57600	14400	1	
87	361204	1	90	101301	16	101404	4	101402	4	57600	14400	1	
88	361205	1	90	101301	16	0	0	101402	8	57600	14400	1	
89	361102	1	60	101308	12	0	0	0	0	50400	14400	1	
90	361103	1	60	101308	12	0	0	0	0	50400	14400	1	
91	361104	1	60	101308	12	0	0	0	0	50400	14400	1	
92	361206	1	60	101307	12	0	0	101402	6	50400	14400	1	
93	361207	1	60	101307	12	0	0	101402	6	50400	14400	1	
94	361208	1	60	101307	12	0	0	0	0	50400	14400	1	
95	362301	1	60	101401	8	0	0	101402	4	50400	14400	1	
96	362302	1	60	101401	8	0	0	101404	4	50400	14400	1	
97	362303	1	60	101401	8	101403	2	101404	2	50400	14400	1	
98	362304	1	60	101401	8	101402	2	101403	2	50400	14400	1	
99	364203	1	30	101308	4	101001	4	0	0	43200	14400	1	
100	364204	1	30	101308	4	101001	4	0	0	43200	14400	1	
101	364205	1	30	101308	4	101001	4	0	0	43200	14400	1	
102	364101	1	90	101303	8	101404	8	101403	8	57600	14400	1	
103	364102	1	90	101303	8	101404	8	101403	8	57600	14400	1	
104	364103	1	90	101303	8	101403	8	101402	8	57600	14400	1	
105	364206	1	60	101301	4	101401	4	101402	4	50400	14400	1	
106	364207	1	60	101301	4	101401	4	101403	4	50400	14400	1	
107	364208	1	90	101002	12	101404	6	101403	6	57600	14400	1	
108	364209	1	30	101308	4	0	0	101404	4	43200	14400	1	
109	364210	1	30	101308	4	0	0	101404	4	43200	14400	1	
110	364104	1	90	101305	8	101404	8	101403	8	57600	14400	1	
111	364105	1	90	101305	8	101404	8	101402	8	57600	14400	1	
112	364106	1	90	101305	8	101404	8	101403	8	57600	14400	1	
113	363302	1	60	101303	4	0	0	101402	4	50400	14400	1	
114	363303	1	60	101303	4	0	0	101404	4	50400	14400	1	
115	363304	1	60	101303	4	0	0	0	0	50400	14400	1	
116	363305	1	60	101002	4	0	0	101404	4	50400	14400	1	
117	363201	1	60	101002	8	0	0	0	0	50400	14400	1	
118	363202	1	60	101002	4	0	0	101404	4	50400	14400	1	
119	363203	1	60	101303	4	0	0	101402	4	50400	14400	1	
120	363204	1	60	101303	4	0	0	101404	4	50400	14400	1	
