套装ID	JSON名称	名称$text_name_FurnitureSuitName	图纸ID	喜爱的角色列表	角色传送点	类型ID1	类型ID2	图标	地图标记	交互范围
1	Home_Suite_Camp_01	冒险家的临时营地				771		UI_Home_Suite_Camp_01		
2	Home_Suite_Exterior_03	远驻前哨的生活				771		UI_Home_Suite_Exterior_03		
3	Home_Suite_Exterior_08	自在的岩石与草木				771		UI_Home_Suite_Exterior_08		
4	Home_Suite_Interior_Liyue_Bedroom_01	简朴的璃月睡房				671		UI_Home_Suite_Interior_Liyue_Bedroom_01		
5	Home_Suite_Interior_Liyue_Diningroom_01	茶馆一隅				671		UI_Home_Suite_Interior_Liyue_Diningroom_01		
6	Home_Suite_Exterior_12	郊野的灯影				771		UI_Home_Suite_Exterior_12		
7	Home_Suite_Interior_Liyue_Diningroom_02	万用的桌椅				671		UI_Home_Suite_Interior_Liyue_Diningroom_02		
8	Home_Suite_Interior_Liyue_Kitchen_01	忙碌的厨房				671		UI_Home_Suite_Interior_Liyue_Kitchen_01		
9	Home_Suite_Interior_Liyue_Livingroom_01	闲时茶话				671		UI_Home_Suite_Interior_Liyue_Livingroom_01		
10	Home_Suite_Interior_Liyue_Study_01	万卷书斋				671		UI_Home_Suite_Interior_Liyue_Study_01		
11	Home_Suite_Interior_Mond_Bedroom_01	家具完备的蒙德卧室				671		UI_Home_Suite_Interior_Mond_Bedroom_01		
12	Home_Suite_Interior_Mond_Diningroom_01	「关键六人」会议室				671		UI_Home_Suite_Interior_Mond_Diningroom_01		
13	Home_Suite_Interior_Mond_Diningroom_02	聚会与痛饮之时				671		UI_Home_Suite_Interior_Mond_Diningroom_02		
14	Home_Suite_Interior_Mond_Kitchen_01	店员们的午间工作餐				671		UI_Home_Suite_Interior_Mond_Kitchen_01		
15	Home_Suite_Interior_Mond_Livingroom_01	会客室的温暖防线				671		UI_Home_Suite_Interior_Mond_Livingroom_01		
16	Home_Suite_Interior_Mond_Study_01	设施完备的书房				671		UI_Home_Suite_Interior_Mond_Study_01		
