类型ID,1级分类,所属场景,背包筛选,大类限制家具数
1001,1,0,1,
1002,1,0,1,
1003,1,0,1,
1004,1,0,1,
1005,1,0,1,
1006,1,0,1,
3001,2,0,1,
3002,2,0,1,
3003,2,0,1,
3005,2,0,1,
3006,2,0,1,
3007,2,0,1,
4001,3,0,1,
4002,3,0,1,
4004,3,0,1,
11003,4,0,1,
11001,4,0,1,
11002,4,0,1,
5003,5,0,1,
5005,5,0,1,
5006,5,0,1,
6002,6,1,1,
6003,6,1,1,
13001,7,1,1,
13002,7,1,1,
13003,7,1,1,
6005,7,1,1,
6006,7,1,1,
13004,7,1,1,
13005,7,1,1,
10001,8,1,1,
10002,8,1,1,
10003,8,1,1,
10004,8,1,1,
10005,8,1,1,
10006,8,1,1,
7001,9,1,1,
7003,9,1,1,
7005,9,1,1,
7008,9,1,1,
7011,9,1,1,
8001,10,1,,
8002,10,0,,
8003,10,1,,
8004,10,0,,
9001,11,0,1,
9002,11,1,1,
12001,12,1,1,
7006,13,1,1,
7007,13,1,1,
7002,13,1,1,
7004,13,1,1,
7009,13,1,1,
7010,13,1,1,
7012,13,1,1,
7013,13,1,1,
771,14,1,0,
772,14,1,0,
671,15,0,0,
672,15,0,0,
14001,11,1,1,
14002,9,1,1,
14003,9,1,1,
14004,9,1,1,
14005,9,1,1,
14006,9,1,1,
14007,9,1,1,
