ID	卡牌类型	[卡牌标签列表]1	[卡牌标签列表]2	[卡牌标签列表]3	[卡牌标签列表]4	[卡牌标签列表]5	[卡牌变量]1类型	[卡牌变量]1值	[卡牌变量]2类型	[卡牌变量]2值	卡牌技能列表	可进构筑	示数变量	取对象类型	[取对象规则]1	[取对象规则]2	[出牌费用]1类型	[出牌费用]1值	[出牌费用]2类型	[出牌费用]2值	AI优先级修正	阻塞出牌AI的卡牌ID	AI取对象排除卡牌标签	出牌AI允许最小骰子数	出牌AI允许最大骰子数	是否引发预览
81	2										81				110											
82	2										82				110											
83	2										83				110											
84	2										84				110											
85	2										85				110											
86	2										86				110											
87	2										87				110											
100	4											0			0											
106	4	5					6	1			1061	0			0											
111	7	10					8	1			10	0	8		0											
115	3	601					8	1			1151	0	8		0											
116	7	601					8	1			1161	0	8		0											
117	7	601					8	3			1171	0	8		0											
100001	4	5					6	1				0	6		0											
100002	4						8	2			53	0			0											
100003	4						8	2			54	0			0											
100004	4						8	2			55	0			0											
100011	4						8	2			201	0			0											
100012	4						8	2			202	0			0											
100013	4						8	2			203	0			0											
100014	4						8	2			204	0			0											
100015	4						8	2			205	0			0											
100016	4						8	2			206	0			0											
100017	4						8	2			207	0			0											
101001	7										71	0			0											
101002	7										72	0			0											
101003	7										73	0			0											
101012	7										71	0			0											
101013	7										72	0			0											
101014	7										73	0			0											
101015	7										74	0			0											
101022	7										75	0			0											
101024	7										76	0			0											
1301011	7										13010111	0			0											
1301021	7										13010211	0			0											
1301031	7										13010311	0			0											
1301041	7										13010411	0			0											
1301051	7										13010511	0			0											
111011	3						8	2			1110111	0	8		0								0			
111012	7						8	2			13	0	8		0								0			
211011	2	6	2								2110111	1			11101		11	5					6			1
111021	7	10					8	1			10	0	8		0								10			0
111022	7	10					8	2			10	0	8		0								10			0
111023	3						8	2			1110231	0	8		0								0			0
211021	2	6	2								2110211	1			11102		11	4					6			1
111031	7						8	3			1110311	0	8		0								0			0
211031	2	6	2								2110311; 2110312	1			11103		11	4					6			1
111041	7						6	2			1110411	0	6		0								0			0
111042	7						6	3			1110421;1110411	0	6		0								0			0
211041	2	6	2								2110411	1			11104		11	4					6			1
111051	3						8	2			1110511	0	8		0								0			0
111052	4						6	1			1110521; 1110522	0	6		0								0			0
211051	2	6	2								2110511	1			1002		11	2					6			1
112011	3						8	2			1120111	0	8		0								0			0
212011	2	6	2								2120111; 2120112	1			11201		12	4				112011	6			1
112021	7						8	2			15	0	8		0								0			0
112022	7						8	3			1120221	0	8		0								0			0
112023	7						8	3			15	0	8		0								0			0
212021	2	6	2								2120211	1			11202		12	4				112021	6			1
112031	3						7	1	8	1	1120311; 12	0	7		0								0			0
112032	7						8	1			1120321	0			0								0			0
212031	2	6	2								2120311; 2120312	1			11203		12	3	1	3			6			1
113011	4	0					6	2			1130111	0	6		0								0			0
213011	2	6	2								2130111; 2130112	1			11301		13	3					6			1
113021	3	0					8	2			1130211	0	8		0								0			0
113022	7	0					8	2			1130221	0	8		0								0			0
213021	2	6	2								2130211	1			11302		13	3				113021	6			1
113031	7						6	2			1130311; 1130312	0	6		0								0			0
113032	7											0			0								0			0
213031	2	6	2								2130311	1			11303		13	4	1	2		113031	6			1
113051	4						8	2			1130511; 1130512; 1130513	0	8		0								0			0
113052	7	0					6	2			1130521	0	6		0								0			0
213051	2	6	2								2130511	1			11305		13	2				113051	6			1
113061	4						8	1			1130611; 1130612	0	8		0								0			0
113062	4	0					8	3			1130611; 1130612	0	8		0								0			0
113063	7	0					8	2			1130631	0	8		0								0			0
213061	2	6	2								2130611	1			11306		13	4				113061	6			1
114011	3	0					8	2			1140111	0	8		0								0			0
114012	3	0					8	3			1140121; 1140111	0	8		0								0			0
214011	2	6	2								2140111	1			11401		14	3				114011	6			1
