ID	类型	参数1	参数2	参数3	参数4	是否达成后失败	进度
1	1						1
2	11					1	1
3	11					1	2
13	12					1	4
14	12					1	5
15	12					1	6
16	12					1	7
17	12					1	8
101	16	GCG_TAG_WEAPON	GCG_CARD_MODIFY				1
102	16	GCG_TAG_ARTIFACT	GCG_CARD_MODIFY				1
103	16	GCG_TAG_PLACE	GCG_CARD_ASSIST				1
104	16	GCG_TAG_FOOD	GCG_CARD_EVENT				1
105	16		GCG_CARD_EVENT				2
201	14						1
202	14						2
203	14						3
211	5						1
212	5						2
213	5						3
901	5						1
902	6	8					1
903	7						1
904	8						1
905	9	3					1
906	3						1
907	4						1
908	10	2					1
