ID	难度1普通关卡	难度1牌手等级	难度2普通关卡	难度2牌手等级	难度3普通关卡	难度3牌手等级	普通关卡	困难关卡	是否首次开启消耗货币	货币ID	数量	前置任务	竞争任务组
5	140201	1	140202	3	140203	5	140201	140204	1	107020	1		
6	110101	1	110102	3	110103	5	110101	110104	1	107020	1		
7	110201	1	110202	3	110203	5	110201	110204	1	107020	1		
8	110301	1	110302	3	110303	5	110301	110304					
9	110401	1	110402	3	110403	5	110401	110404	1	107020	1		
10	110501	1	110502	3	110503	5	110501	110504	1	107020	1		
11	120201	1	120202	3	120203	5	120201	120204	1	107020	1		
12	120301	1	120302	3	120303	5	120301	120304	1	107020	1		
13	130101	1	130102	3	130103	5	130101	130104					
14	130201	1	130202	3	130203	5	130201	130204	1	107020	1		
15	130301	1	130302	3	130303	5	130301	130304	1	107020	1		
16	130501	1	130502	3	130503	5	130501	130504	1	107020	1		
17	140101	1	140102	3	140103	5	140101	140104					
18	140301	1	140302	3	140303	5	140301	140304	1	107020	1		
20	150101	1	150102	3	150103	5	150101	150104					
21	150201	1	150202	3	150203	5	150201	150204	1	107020	1		
22	160101	1	160102	3	160103	5	160101	160104	1	107020	1		
23	160201	1	160202	3	160203	5	160201	160204	1	107020	1		
24	170101	1	170102	3	170103	5	170101	170104	1	107020	1		
25	120101	1	120102	3	120103	5	120101	120104	1	107020	1		
