ID	可选对象类型	可选对象阵营	[可选对象标签]1	[可选对象标签]2	[可选对象标签]3	[可选对象]1条件	[可选对象]1值	[可选对象]2条件	[可选对象]2值	[可选对象]3条件	[可选对象]3值	[可选对象]4条件	[可选对象]4值	[排序规则]1条件	[排序规则]1取大	[排序规则]1卡牌标签参数	[排序规则]2条件	[排序规则]2取大	[排序规则]2卡牌标签参数
101	1	1				10	1	4	303300					3	1				
102	1	1				10	1	2	1										
103	1	1				10	1	4	303300					2	0				
104	1	1				10	1	2	0										
105	1	1				10	0												
110	1	1				10	1							3	1				
111	1	1	202			10	1							3	1				
112	1	1	204			10	1							3	1				
113	1	1	203			10	1							3	1				
114	1	1	205			10	1							3	1				
115	1	1	201			10	1							3	1				
121	1	1				10	1							5	1	301	3	1	
122	1	1				10	1							5	1	302	3	1	
123	1	1				10	1							5	1	303	3	1	
124	1	1				10	1							5	1	304	3	1	
125	1	1				10	1							5	1	307	3	1	
126	1	1				10	1							5	1	305	3	1	
127	1	1				10	1							5	1	306	3	1	
151	1	1				10	1	5	3	8	1			2	1		3	1	
152	1	1				10	1	7	1					2	1		3	1	
153	1	1				10	1	5	4	9	1			2	1		3	1	
154	1	1				10	1							2	1		3	1	
501	3	1												1	0		4	1	
502	3	2												1	1		4	0	
1001	1	1				10	1	1	1403	6	5								
1002	1	1				10	1	1	1105										
11101	1	1				10	1	1	1101	6	5	2	1						
11102	1	1				10	1	1	1102	6	5	2	1						
11103	1	1				10	1	1	1103	6	5	2	1						
11104	1	1				10	1	1	1104	6	5	2	1						
11105	1	1				10	1	1	1105	6	5	2	1						
11201	1	1				10	1	1	1201	6	5	2	1						
11202	1	1				10	1	1	1202	6	5	2	1						
11203	1	1				10	1	1	1203	6	5	2	1						
11301	1	1				10	1	1	1301	6	5	2	1						
11302	1	1				10	1	1	1302	6	5	2	1						
11303	1	1				10	1	1	1303	6	5	2	1						
11305	1	1				10	1	1	1305	6	5	2	1						
11401	1	1				10	1	1	1401	6	5	2	1						
11402	1	1				10	1	1	1402	6	5	2	1						
11403	1	1				10	1	1	1403	6	5	2	1						
11404	1	1				10	1	1	1404	6	5	2	1						
11501	1	1				10	1	1	1501	6	5	2	1						
11502	1	1				10	1	1	1502	6	5	2	1						
11601	1	1				10	1	1	1601	6	5	2	1						
11602	1	1				10	1	1	1602	6	5	2	1						
11701	1	1				10	1	1	1701	6	5	2	1						
12201	1	1				10	1	1	2201	6	5	2	1						
12202	1	1				10	1	1	2202	6	5	2	1						
12301	1	1				10	1	1	2301	6	5	2	1						
12501	1	1				10	1	1	2501	6	5	2	1						
12601	1	1				10	1	1	2601	6	5	2	1						
12701	1	1				10	1	1	2701	6	5	2	1						
