ID	角色列表	卡牌列表	角色初始附属卡牌	角色初始生命	角色初始充能	卡组行为树	冒险模式规则	[候补角色]1角色ID	[候补角色]1登场条件人数	[候补角色]2角色ID	[候补角色]2登场条件人数	[候补角色]3角色ID	[候补角色]3登场条件人数	[候补角色]4角色ID	[候补角色]4登场条件人数	[候补角色]5角色ID	[候补角色]5登场条件人数	[候补角色]6角色ID	[候补角色]6登场条件人数	保护优先级	角色牌是黄金卡	行动牌是黄金卡	是否允许非法牌组	牌背编号
1	1301; 1303; 1203	311302; 311302; 213011; 213011; 312302; 312302; 312301; 312301; 312201; 312201; 332007; 332007; 322001; 322001; 322007; 322007; 322010; 322010; 332008; 332008; 321003; 321003; 321006; 321006; 332001; 332001; 333006; 333006; 331301; 331301				ai_hard														2;0;1			0	
2	2201; 1302; 1401	222011; 222011; 213021; 213021; 322006; 322006; 312301; 312301; 312201; 312201; 312401; 312401; 322001; 332012; 332012; 322007; 321004; 321004; 332008; 332008; 321006; 321006; 321005; 321005; 321001; 321001; 333006; 333006; 332001; 332001				ai_hard														2;1;0			0	
3	1104; 1305; 1402	311301; 311301; 311302; 311302; 311201; 311201; 312301; 312301; 312101; 312101; 312401; 312401; 322001; 322001; 322007; 322007; 322010; 322010; 332008; 332008; 322002; 322002; 333004; 333004; 333001; 333001; 333006; 333006; 213051; 213051				ai_hard																	0	
4	2201; 2501; 1305	312201; 312201; 312501; 312501; 312301; 312301; 311201; 311201; 332004; 321001; 322011; 322011; 322001; 322001; 322007; 322007; 321005; 321005; 332008; 332008; 322002; 322002; 222011; 222011; 225011; 225011; 333006; 333006; 213051; 213051				ai_hard																	0	
5	1301; 1103; 1401	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332003; 332004; 332006; 332012; 332013; 332014; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_hard																	0	
6	1301; 1103; 1401	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332003; 332004; 332006; 332012; 332013; 332014; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_hard_nocard																	0	
7	1301; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 333008; 332004; 332006; 332012; 332013; 332014; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_hard																	0	
8	1101; 1302; 1401	311201; 311201; 311203; 311203; 312401; 312401; 312301; 312301; 312101; 312101; 322001; 322001; 321004; 321004; 321006; 321006; 332001; 333006; 332004; 332006; 332012; 332012; 332008; 332008; 332009; 333005; 332007; 332010; 332001; 332005				ai_hard														2;1;0			0	
9	1401; 1302; 1103	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 332003; 332004; 332006; 332012; 332013; 332014; 332008; 332009; 333005; 332007; 332010; 332011; 332005				ai_easy_3																	0	
10	1203	222011; 222011; 213021; 213021; 322006; 322006; 312301; 312301; 312201; 312201; 312401; 312401; 322001; 332012; 332012; 322007; 321004; 321004; 332008; 332008; 321006; 321006; 321005; 321005; 321001; 321001; 333006; 333006; 332001; 332001				ai_hard																	1	
100	3001; 3001; 3001					ai_hard	414200	3201	0	3301	1	2201	0										1	
101	3501; 3202; 3304; 3402					ai_hard	513300	3302	3														1	
102	3001; 3201; 3001; 3301					ai_hard	414200	3001	3														1	
103	2301; 2301; 3201		223011;223011;0			ai_hard	514200																1	
104	1101					ai_hard	414200																1	
105	3202; 3302; 3501					ai_hard	414200																1	
106	3303; 3401; 3303					ai_hard	414200																1	
107	3302; 3102; 3101; 3501					ai_hard	512200																1	
201	3001; 3002; 3001; 3002					ai_hard	414200																1	
202	3202; 3304; 3304; 3102					ai_hard	411200	3402	3														1	
203	3102; 3302; 3202; 3304					ai_hard	414200																1	
204	3304; 3202; 3501; 3302					ai_hard	514300																1	
205	3302; 3402; 3101; 3501					ai_hard	512200																1	
206	3304; 3301; 3102; 3201					ai_hard	514300	3102	3														1	
207	3304; 3001; 3102; 3501					ai_hard	514200	3304	3	3102	3	3304	3	3402	3								1	
208	3101; 3301; 3201; 3302					ai_hard	413200																1	
209	2301; 3501; 3201; 3101					ai_hard	412200																1	
210	3001; 3002; 3304; 3001					ai_hard	412200																1	
