GameID	groupID	[关卡挑战]1challengeID	[关卡挑战]1rewardId	[关卡挑战]2challengeID	[关卡挑战]2rewardId	[关卡挑战]3challengeID	[关卡挑战]3rewardId	条件1类型	条件1参数1	条件1参数2	条件2类型	条件2参数1	条件2参数2	牌桌	是否不分包下载
30101			0		0		0								1
30102			0		0		0								1
30104			0		0		0								1
30105			0		0		0								1
30111			0		0		0								1
30112			0		0		0								
11001		1	4210001		4210002		4210003							0	
11002		1	4210004	15	4210005	3	4210006	1	1					0	
11003		1	4210007	15	4210008	3	4210009	1	1					0	
11004		1	4210010	15	4210011	3	4210012	1	1					0	
11101		1	4210016	101	4210017	15	4210018	1	2					0	
11102		1	4210019	102	4210020	15	4210021	1	2					0	
11104		1	4210022	15	4210023	211	4210024	1	2					0	
11106		1	4210028	15	4210029	201	4210030	1	2					0	
11203		1	4210031	16	4210032	3	4210033	1	10					0	
12001		1	4211001	16	4211002	212	4211003	1	3					101	
12002		1	4211004	15	4211005	201	4211006	1	3					101	
12003		1	4211007	15	4211008	201	4211009	1	3					101	
12004		1	4211010	15	4211011	212	4211012	1	3					101	
12005		1	4211013	17	4211014	3	4211015	1	3					101	
12103		1	4211016	105	4211017	15	4211018	1	4					101	
12104		1	4211019	104	4211020	15	4211021	1	4					101	
12105		1	4211022	15	4211023	3	4211024	1	4					101	
12106		1	4211025	14	4211026	212	4211027	1	4					101	
12107		1	4211028	17	4211029	3	4211030	1	4					101	
12202		1	4211031	15	4211032	3	4211033	1	10					101	
13001		1	4212001	15	4212002	3	4212003	1	5					102	
13002		1	4212004	15	4212005	201	4212006	1	5					102	
13003		1	4212007	15	4212008	212	4212009	1	5					102	
13004		1	4212010	15	4212011	212	4212012	1	5					102	
13005		1	4212013	16	4212014	3	4212015	1	5					102	
13101		1	4212016	16	4212017	212	4212018	1	6					102	
13102		1	4212019	15	4212020	3	4212021	1	6					102	
13103		1	4212022	15	4212023	213	4212024	1	6					102	
13104		1	4212025	15	4212026	3	4212027	1	6					102	
13105		1	4212028	16	4212029	212	4212030	1	6					102	
13201		1	4212031	16	4212032	3	4212033	1	10					102	
14001		1	4213001	15	4213002	3	4213003	1	7					103	
14002		1	4213004	15	4213005	212	4213006	1	7					103	
14003		1	4213007	15	4213008	3	4213009	1	7					103	
14004		1	4213010	15	4213011	3	4213012	1	7					103	
14005		1	4213013	16	4213014	211	4213015	1	7					103	
14101		1	4213016	15	4213017	201	4213018	1	8					103	
14102		1	4213019	15	4213020	3	4213021	1	8					103	
14103		1	4213022	15	4213023	3	4213024	1	8					103	
14104		1	4213025	16	4213026	202	4213027	1	8					103	
14105		1	4213028	16	4213029	201	4213030	1	8					103	
14201		1	4213031	15	4213032	3	4213033	1	9					103	
14202		1	4213034	15	4213035	212	4213036	1	9					103	
14203		1	4213037	15	4213038	3	4213039	1	9					103	
14204		1	4213040	15	4213041	212	4213042	1	9					103	
14205		1	4213043	16	4213044	3	4213045	1	9					103	
14301		1	4213046	16	4213047	3	4213048	1	10					103	
14302		1	4213049	16	4213050	3	4213051	1	10					103	
14303		1	4213052	16	4213053	3	4213054	1	10					103	
110101	1101	1	4220001	16	4220002	3	4220003								
110102	1101		0		0		0								
110103	1101		0		0		0								
110104		1	4220004		0		0	1	7		2	110101	3		
110201	1102	1	4220005	16	4220006	3	4220007								
110202	1102		0		0		0								
110203	1102		0		0		0								
110204		1	4220008		0		0	1	7		2	110201	3		
110301	1103	1	4220009	16	4220010	3	4220011								
110302	1103		0		0		0								
110303	1103		0		0		0								
110304		1	4220012		0		0	1	7		2	110301	3		
110401	1104	1	4220013	16	4220014	3	4220015								
110402	1104		0		0		0								
110403	1104		0		0		0								
110404		1	4220016		0		0	1	7		2	110401	3		
110501	1105	1	4220017	16	4220018	3	4220019								
110502	1105		0		0		0								
110503	1105		0		0		0								
110504		1	4220020		0		0	1	7		2	110501	3		
120101	1201	1	4220021	16	4220022	3	4220023								
120102	1201		0		0		0								
120103	1201		0		0		0								
120104		1	4220024		0		0	1	7		2	120101	3		
120201	1202	1	4220025	16	4220026	3	4220027								
120202	1202		0		0		0								
120203	1202		0		0		0								
120204		1	4220028		0		0	1	7		2	120201	3		
120301	1203	1	4220029	16	4220030	3	4220031								
120302	1203		0		0		0								
120303	1203		0		0		0								
120304		1	4220032		0		0	1	7		2	120301	3		
130101	1301	1	4220033	16	4220034	3	4220035								
130102	1301		0		0		0								
130103	1301		0		0		0								
130104		1	4220036		0		0	1	7		2	130101	3		
130201	1302	1	4220037	16	4220038	3	4220039								
130202	1302		0		0		0								
130203	1302		0		0		0								
130204		1	4220040		0		0	1	7		2	130201	3		
130301	1303	1	4220041	16	4220042	3	4220043								
130302	1303		0		0		0								
130303	1303		0		0		0								
130304		1	4220044		0		0	1	7		2	130301	3		
130501	1305	1	4220049	16	4220050	3	4220051								
130502	1305		0		0		0								
130503	1305		0		0		0								
130504		1	4220052		0		0	1	7		2	130501	3		
140101	1401	1	4220053	16	4220054	3	4220055	1	3						
140102	1401		0		0		0	1	3						
140103	1401		0		0		0	1	3						
140104		1	4220056		0		0	1	7		2	140101	3		
140201	1402	1	4220057	16	4220058	3	4220059								
140202	1402		0		0		0								
140203	1402		0		0		0								
140204		1	4220060		0		0	1	7		2	140201	1		
140301	1403	1	4220061	16	4220062	3	4220063								
140302	1403		0		0		0								
140303	1403		0		0		0								
140304		1	4220064		0		0	1	7		2	140301	3		
140401		1	4220065	16	4220066	3	4220067								
140402		1	4220065		4220066		4220067								
140403		1	4220065		4220066		4220067								
140404		1	4220068		0		0	1	7		2	140401	3		
150101	1501	1	4220069	16	4220070	3	4220071	1	3						
150102	1501		0		0		0	1	3						
150103	1501		0		0		0	1	3						
150104		1	4220072		0		0	1	7		2	150101	3		
150201	1502	1	4220073	16	4220074	3	4220075								
150202	1502		0		0		0								
150203	1502		0		0		0								
150204		1	4220076		0		0	1	7		2	150201	3		
160101	1601	1	4220077	16	4220078	3	4220079								
160102	1601		0		0		0								
160103	1601		0		0		0								
160104		1	4220080		0		0	1	7		2	160101	3		
160201	1602	1	4220081	16	4220082	3	4220083								
160202	1602		0		0		0								
160203	1602		0		0		0								
160204		1	4220084		0		0	1	7		2	160201	3		
170101	1701	1	4220085	16	4220086	3	4220087								
170102	1701		0		0		0								
170103	1701		0		0		0								
170104		1	4220088		0		0	1	7		2	170101	3		
220101		1	4221001	15	4221002	3	4221003	1	3						
220102		1	4221004		0		0	1	7		2	220101	3		
230101		1	4221009	15	4221010	3	4221011	1	4						
230102		1	4221012		0		0	1	7		2	230101	3		
220201		1	4221005	15	4221006	2	4221007	1	5						
220202		1	4221008		0		0	1	7		2	220201	3		
260101		1	4221017	14	4221018	2	4221019	1	6						
260102		1	4221020		0		0	1	7		2	260101	3		
250101		1	4221013	15	4221014	3	4221015	1	7						
250102		1	4221016		0		0	1	7		2	250101	3		
270101		1	4221021	15	4221022	3	4221023	1	8						
270102		1	4221024		0		0	1	8		2	270101	3		
40001			0		0		0								
40002			0		0		0								
40003			0		0		0								
40004			0		0		0								
40005			0		0		0								
20001			0		0		0								
20002			0		0		0								
20003			0		0		0								
20004			0		0		0								
2011		1	4230051		0		0								
2012		1	4230052		0		0								
2013		1	4230053		0		0								
2014		1	4230054		0		0								
2015		1	4230055		0		0								
2021		1	4230056		0		0								
2022		1	4230057		0		0								
2023		1	4230058		0		0								
2024		1	4230059		0		0								
2025		1	4230060		0		0								
2031		1	4230061		0		0								
2032		1	4230062		0		0								
2033		1	4230063		0		0								
2034		1	4230064		0		0								
2035		1	4230065		0		0								
2041		1	4230066		0		0								
2042		1	4230067		0		0								
2043		1	4230068		0		0								
2044		1	4230069		0		0								
2045		1	4230070		0		0								
2051		1	4230071		0		0								
2052		1	4230072		0		0								
2053		1	4230073		0		0								
2054		1	4230074		0		0								
2055		1	4230075		0		0								
2061		1	4230076		0		0								
2062		1	4230077		0		0								
2063		1	4230078		0		0								
2064		1	4230079		0		0								
2065		1	4230080		0		0								
2071		1	4230081		0		0								
2072		1	4230082		0		0								
2073		1	4230083		0		0								
2074		1	4230084		0		0								
2075		1	4230085		0		0								
2081		1	4230086		0		0								
2082		1	4230087		0		0								
2083		1	4230088		0		0								
2084		1	4230089		0		0								
2085		1	4230090		0		0								
2091		1	4230091		0		0								
2092		1	4230092		0		0								
2093		1	4230093		0		0								
2094		1	4230094		0		0								
2095		1	4230095		0		0								
2101		1	4230096		0		0								
2102		1	4230097		0		0								
2103		1	4230098		0		0								
2104		1	4230099		0		0								
2105		1	4230100		0		0								
2111		1	4230101		0		0								
2112		1	4230102		0		0								
2113		1	4230103		0		0								
2114		1	4230104		0		0								
2115		1	4230105		0		0								
2121		1	4230106		0		0								
2122		1	4230107		0		0								
2123		1	4230108		0		0								
2124		1	4230109		0		0								
2125		1	4230110		0		0								
2131		1	4230111		0		0								
2132		1	4230112		0		0								
2133		1	4230113		0		0								
2134		1	4230114		0		0								
