ID	分数段准入下限	匹配最大随机延迟	[匹配相邻段位时间]1	[匹配相邻段位时间]2	[匹配相邻段位时间]3	只能匹配AI对手	匹配AI对手时间	连败匹配AI对手局数	AI使用卡组	战胜AI提升隐藏分	输给AI降低隐藏分	战胜人类提升隐藏分	输给人类降低隐藏分	战胜强度修正乘数	战胜强度修正下限	战胜强度修正上限	战败强度修正乘数	战败强度修正下限	战败强度修正上限	连胜得分修正序列	连败失分修正序列
101	0	3				1	5		501;502;503;504;505;506;507;508	30	10	30	10	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
102	1030	6	30				75	1	501;502;503;504;505;506;507;508	30	10	30	10	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
103	1150	7	20	40			90	1	501;502;503;504;505;506;507;508;601;602;603;604;605;606;607;608	30	10	30	10	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
104	1300	8	20	40	60		120	1	501;502;503;504;505;506;507;508;601;602;603;604;605;606;607;608	30	12	30	12	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
105	1450	8	20	40	60		120	2	501;502;503;504;505;506;507;508;601;602;603;604;605;606;607;608	30	14	30	14	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
106	1600	8	20	40	60		120	2	511;512;513;514;515;516;517;508;611;612;613;614;615;616;617;618	30	16	30	16	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
107	1900	8	20	40	60		120	2	511;512;513;514;515;516;517;508;611;612;613;614;615;616;617;618	30	18	30	18	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
108	2200	8	20	40	60		120	2	611;612;613;614;615;616;617;618;701;702;703;704;705;706;707;708	30	20	30	20	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
109	2500	3	20	40	60		120	3	611;612;613;614;615;616;617;618;701;702;703;704;705;706;707;708	30	22	30	22	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
110	2800	6	20	40	60		120	3	611;612;613;614;615;616;617;618;701;702;703;704;705;706;707;708	30	24	30	24	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
111	3400	7	20	40	60		120		621;622;623;624;625;626;627;628;711;712;713;714;715;716;717;718	30	26	30	26	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
112	4000	8	20	40	60		120		621;622;623;624;625;626;627;628;711;712;713;714;715;716;717;718	30	28	30	28	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
113	4600	8	20	40	60					30	30	30	30	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
114	5200	8	20	40	60					30	30	30	30	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
115	5800	8	20	40	60					30	30	30	30	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
116	6400	8	20	40	60					30	30	30	30	0.025	-8	10	0.025	-10	8	0;10;20;30	0;10;20;30
