CardID	[熟练度]1熟练度	[熟练度]1奖励	[熟练度]2熟练度	[熟练度]2奖励	[熟练度]3熟练度	[熟练度]3奖励
1101	10	4202001				
1102	10	4202024				
1103	10	4202002				
1104	10	4202003				
1105	10	4202004				
1201	10	4202026				
1202	10	4202005				
1203	10	4202006				
1301	10	4202007				
1302	10	4202008				
1303	10	4202009				
1305	10	4202011				
1401	10	4202012				
1402	10	4202013				
1403	10	4202014				
1404	10	4202025				
1501	10	4202015				
1502	10	4202016				
1601	10	4202017				
1602	10	4202018				
1701	10	4202019				
2201	10	4202020				
2202	10	4202027				
2301	10	4202021				
2501	10	4202022				
2601	10	4202023				
2701	10	4202028				
