商品ID,商店类型,对应物品ID,轮替商品ID,对应物品数量,消耗金币,消耗水晶,消耗创世结晶,[消耗物品]1ID,[消耗物品]1数量,[消耗物品]2ID,[消耗物品]2数量,[消耗物品]3ID,[消耗物品]3数量,[消耗物品]4ID,[消耗物品]4数量,限购数量,[限购条件]1类型,[限购条件]1参数,[限购条件]1数量,刷新类型,刷新参数,提前预览天数,上架时间,下架时间,是否终身限购,前置条件,前置条件参数,条件参数1,条件参数2,前置条件屏蔽显示,最小可见等级,最小队伍等级,最大队伍等级,排序等级,二级页签ID,n选1组ID,显示平台
217024,2000,331000,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217025,2000,331001,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217026,2000,331002,,1,,,,107021,1000,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217027,2000,331003,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217028,2000,331004,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217029,2000,331005,,1,,,,107021,1000,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217030,2000,331006,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217031,2000,331007,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217032,2000,331008,,1,,,,107021,1000,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217033,2000,331009,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217034,2000,331010,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217035,2000,331011,,1,,,,107021,1000,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217036,2000,331012,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217037,2000,331013,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217038,2000,331014,,1,,,,107021,1000,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217039,2000,331015,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217040,2000,331016,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217041,2000,331017,,1,,,,107021,300,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217042,2000,331018,,1,,,,107021,300,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217043,2000,331019,,1,,,,107021,300,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217044,2000,331020,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217045,2000,331021,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217046,2000,331022,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217047,2000,331023,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217048,2000,331024,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217049,2000,331025,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217050,2000,331026,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217051,2000,331027,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217052,2000,331028,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
