等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值
1	1	2	5.367859	2	2	2.02052	12	2	1.01	17	2	2.02052	16	2	1	20	2	1	23	2	5.404888	24	2	2.020524
2	1	2	6.818905	2	2	2.32577	12	2	1.02	17	2	2.32577	16	2	2	20	2	1	23	2	6.867565	24	2	2.32577
3	1	2	8.421231	2	2	2.65371	12	2	1.03	17	2	2.65371	16	2	3	20	2	1	23	2	8.483289	24	2	2.653707
4	1	2	10.17484	2	2	3.00456	12	2	1.04	17	2	3.00456	16	2	4	20	2	1	23	2	10.252208	24	2	3.004556
5	1	2	12.07987	2	2	3.37863	12	2	1.05	17	2	3.37863	16	2	5	20	2	1	23	2	12.174544	24	2	3.378627
6	1	2	14.13796	2	2	3.77619	12	2	1.06	17	2	3.77619	16	2	6	20	2	1	23	2	14.251988	24	2	3.776185
7	1	2	16.34828	2	2	4.19745	12	2	1.07	17	2	4.19745	16	2	7	20	2	1	23	2	16.483804	24	2	4.197452
8	1	2	17.50736	2	2	4.58077	12	2	1.08	17	2	4.58077	16	2	8	20	2	1	23	2	17.65636	24	2	4.580768
9	1	2	19.26782	2	2	4.98102	12	2	1.09	17	2	4.98102	16	2	9	20	2	1	23	2	19.436101	24	2	4.981024
10	1	2	21.09865	2	2	5.39831	12	2	1.1	17	2	5.39831	16	2	10	20	2	1	23	2	21.287471	24	2	5.39831
11	1	2	24.06383	2	2	5.95895	12	2	1.11	17	2	5.95895	16	2	11	20	2	1	23	2	24.350191	24	2	5.958953
12	1	2	27.14657	2	2	6.54609	12	2	1.12	17	2	6.54609	16	2	12	20	2	1	23	2	27.538501	24	2	6.54609
13	1	2	30.34872	2	2	7.16003	12	2	1.13	17	2	7.16003	16	2	13	20	2	1	23	2	30.854608	24	2	7.160032
14	1	2	33.90172	2	2	7.829	12	2	1.14	17	2	7.829	16	2	14	20	2	1	23	2	34.542476	24	2	7.828999
15	1	2	37.58709	2	2	8.5272	12	2	1.15	17	2	8.5272	16	2	15	20	2	1	23	2	38.372718	24	2	8.527203
16	1	2	41.4068	2	2	9.255	12	2	1.16	17	2	9.255	16	2	16	20	2	1	23	2	42.347909	24	2	9.254998
17	1	2	46.00103	2	2	10.24456	12	2	1.17	17	2	10.24456	16	2	17	20	2	1	23	2	47.130227	24	2	10.244559
