ID,名称$text_name_Name,Prefab路径,Prefab_Remote路径,Controller路径,Controller_Remote路径,默认阵营,类型,描述,JSON名称,能否移动,是否有音响,是否能装备,能否交互,视距等级,服务器脚本,ItemJSON名称,联机动态属性ID,ChainID,编辑器可用,是否含有动态屏障
44000001,LevelEntity_TowerBuff_SprintAreaAttack,ART/Others/SkillObj/SkillObj_EmptyGadget_Rigid,,,,1001,18,使用冲刺后会在原地留下一个n秒后爆炸的能量波,SkillObj_LevelEntity_TowerBuff_SprintAreaAttack,1,,,,,,Default_Item,,,,
44000002,GlidingChallenge_AirDash_Forward,ART/Others/SkillObj/SkillObj_GlidingChallenge_AirDash_Forward,,,,1001,19,飞行挑战玩法：空中冲刺 前冲,SkillObj_GlidingChallenge_AirDash_Forward,,,,,,,Default_Item,,,,
44000003,GlidingChallenge_AirDash_Upward1,ART/Others/SkillObj/SkillObj_GlidingChallenge_AirDash_Upward1,,,,1001,19,飞行挑战玩法：空中冲刺 上冲1,SkillObj_GlidingChallenge_AirDash_Upward1,,,,,,,Default_Item,,,,
44000004,GlidingChallenge_AirDash_Upward2,ART/Others/SkillObj/SkillObj_GlidingChallenge_AirDash_Upward2,,,,1001,19,飞行挑战玩法：空中冲刺 上冲2,SkillObj_GlidingChallenge_AirDash_Upward2,1,,,,,,Default_Item,,,,
44000005,LevelEntity_TowerBuff_AreaAttackLowHP,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,1001,18,使用冲刺后会在原地留下一个n秒后爆炸的能量波,SkillObj_LevelEntity_TowerBuff_AreaAttackLowHP,,,,,,,Default_Item,,,,
44000006,SceneObj_ChargeEfficiency_RecoverAllState,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,1001,18,范围内回复生命、能量、复活,SceneObj_ChargeEfficiency_RecoverAllState,,,,,,,Default_Item,,,1,
44000007,ActivityAbility_Challenge_SprintAreaAttack_Gadget,ART/Others/SkillObj/SkillObj_EmptyGadget_Rigid,,,,1001,18,使用冲刺后会在原地留下一个n秒后爆炸的能量波,SceneObj_ActivityAbility_Challenge_SprintAreaAttack_Gadget,1,,,,,,Default_Item,,,,
44000008,LevelEntity_TowerBuff_AreaNoEnemyAttackUp,ART/Others/SkillObj/SkillObj_EmptyGadget_Rigid,,,,1001,18,没有敌人时提升输出,LevelEntity_TowerBuff_AreaNoEnemyAttackUp,1,,,,,,Default_Item,,,,
44000009,LevelEntity_EffigyChallenge2_WindLv3,ART/Others/SkillObj/SkillObj_EmptyGadget_Rigid,,,,1001,18,没有敌人时提升输出,LevelEntity_EffigyChallenge2_WindLv3,,,,,,,Default_Item,,,,
44000010,LevelEntity_TowerBuff_SwirlDoField,ART/Others/SkillObj/SkillObj_EmptyGadget_Rigid,,,,1001,18,范围伤害,LevelEntity_TowerBuff_SwirlDoField,,,,,,,Default_Item,,,,
44000100,Activity_Endora,ART/Others/SkillObj/SkillObj_Activity_Endora,,,,1001,19,备用02,Activity_Endora,1,1,,,,,Default_Item,,,,
44000101,Activity_Endora_Bubble_Bullet_01,ART/Others/SkillObj/SkillObj_Endora_BubbleBullet,,,,1001,3,吐泡泡子弹（远）,Activity_Endora_Bubble_Bullet_01,1,1,,,,,Default_Item,,,,
44000102,Activity_Endora_Bubble_Bullet_01_Short,ART/Others/SkillObj/SkillObj_Endora_BubbleBullet,,,,1001,3,吐泡泡子弹（近）,Activity_Endora_Bubble_Bullet_01_Short,1,1,,,,,Default_Item,,,,
44000103,Activity_Endora_Bubble_Bullet_02,ART/Others/SkillObj/SkillObj_Endora_BubbleField,,,,1001,3,备用02,Activity_Endora_Bubble_Bullet_02,1,1,,,,,Default_Item,,,,
44000104,Activity_Endora_Bubble_Bullet_Area,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,1001,18,备用02,Activity_Endora_Bubble_Bullet_Area,1,1,,,,,Default_Item,,,,
44000105,Activity_HideSeek_Property_Prop_SeekerBattery_01,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,1001,18,捉迷藏能量球,Activity_HideSeek_Property_Prop_SeekerBattery_01,1,1,,,2,,Default_Item,,,,
