ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID	编辑器可用	是否含有动态屏障
40000001	SteamBangField	ART/Others/Gadget/Gadget_SteamField				9999	25	蒸汽桶炮	SteamBangField							Default_Item			1	
40000002	ThunderFistField	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	18	电光拳	ThunderFistField							Default_Item			0	
40000003	GrassDart	ART/Others/Bullet/Bullet_GrassDart				1001	3	草飞镖	GrassDart	1						Default_Item			0	
40000004	SharkTorpedo	ART/Others/Bullet/Bullet_SharkTorpedo				1001	3	鲨鱼雷	SharkTorpedo	1						Default_Item			0	
40000005	SharkTorpedo_Spurt	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	18	鲨鱼雷喷泉	SharkTorpedo_Spurt	1						Default_Item			0	
40000006	SharkTorpedo_Spurt_2	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	18	鲨鱼雷喷泉2	SharkTorpedo_Spurt_2	1						Default_Item			0	
40000007	CreationLimit_Dummy	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	19	岩属性创生物超限替换物	CreationLimit_Dummy										1	
40000104	FrostSpear	ART/Others/Bullet/Bullet_LightningBoltSpear				1001	3	大冰枪	FrostSpear	1						Default_Item			0	
40000115	IceSpine_1	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	18	绫华-冰刺（左）	IceSpine_Old							Default_Item			0	
40000116	IceSpine_2	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	18	绫华-冰刺（中）	IceSpine_Old							Default_Item			0	
40000117	IceSpine_3	ART/Others/SkillObj/SkillObj_EmptyGadget				1001	18	绫华-冰刺（右）	IceSpine_Old							Default_Item			0	
