ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID	编辑器可用	是否含有动态屏障
77002001	乐高1	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_01				5001	19	乐高1								Default_Item			0	
77002002	乐高2	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_02				5001	19	乐高2								Default_Item			0	
77002003	乐高3	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_03				5001	19	乐高3								Default_Item			0	
77002004	乐高4	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_04				5001	19	乐高4								Default_Item			0	
77002005	乐高5	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_05				5001	19	乐高5								Default_Item			0	
77002006	乐高6	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_06				5001	19	乐高6								Default_Item			0	
77002007	浮空石1	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_07				5001	19	浮空石1								Default_Item			0	
77002008	浮空石2	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_08				5001	19	浮空石2								Default_Item			0	
77002009	浮空石3	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_09				5001	19	浮空石3								Default_Item			0	
77002010	浮空石4	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_10				5001	19	浮空石4								Default_Item			0	
77002011	街道地基乐高	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Ly_Rockery_Stone_Floor_01				5001	19	街道地基乐高								Default_Item			0	
77002012	街道楼梯浮空石	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Ly_Rockery_Stone_Stairs_01				5001	19	街道楼梯浮空石								Default_Item			0	
77002013	须弥沙漠乐高1	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Xm_Rockery_Stone_Cwsm_01				5001	19	须弥沙漠乐高1								Default_Item			0	
77002014	须弥沙漠乐高2	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Xm_Rockery_Stone_Cwsm_02				5001	19	须弥沙漠乐高2								Default_Item			0	
77002015	须弥木桥其一	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Xm_Rockery_Bridge_Qiao_01				5001	19	木桥浮空石1								Default_Item			0	
77002016	须弥木桥其二	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Xm_Rockery_Bridge_Qiao_02				5001	19	木桥浮空石2								Default_Item			0	
77015001	常驻壶灵Lv1	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_01				5001	19	常驻壶灵Lv1	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_01	1	1		1			Default_Item			0	
77015002	常驻壶灵Lv2	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_02				5001	19	常驻壶灵Lv2	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_02	1	1		1			Default_Item			0	
77015003	常驻壶灵Lv3	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_03				5001	19	常驻壶灵Lv3	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_03	1	1		1			Default_Item			0	
77015004	常驻壶灵Lv4	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_04				5001	19	常驻壶灵Lv4	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_04	1	1		1			Default_Item			0	
77015005	周末壶灵	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_02				5001	19	周末壶灵	SceneObj_Homeworld_NPCObj_Ani_Djinn_02	1	1		1			Default_Item			0	
77015006	家园室外进入室内点					0	13						1			Default_Item			0	
77015007	家园室内进入室外点					0	13						1			Default_Item			0	
77015008	套装用Prefab	ART/Others/Homeworld/SceneObject/Thing/SceneObj_Homeworld_General_Common_Thing_Bundle_01				5001	19	套装用Prefab	SceneObj_Homeworld_Standard_Bundle				1			Default_Item			0	
77015009	NPC摆放用Prefab	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_PlacePoint_01				5001	19	NPC摆放用Prefab								Default_Item			0	
77015010	灌木用Prefab					9001	37	灌木用Prefab	SceneObj_Homeworld_Standard_Bush		1					Default_Item			0	
77015011	家园安全传送点					5001	19	占位								Default_Item			0	
77089001	占位	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_06				5001	19	占位								Default_Item			0	
77090001	占位	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_06				5001	19	占位								Default_Item			0	
