ID,名称$text_name_Name,Prefab路径,Prefab_Remote路径,Controller路径,Controller_Remote路径,默认阵营,类型,描述,JSON名称,能否移动,是否有音响,是否能装备,能否交互,视距等级,服务器脚本,ItemJSON名称,联机动态属性ID,ChainID,编辑器可用,是否含有动态屏障
42001001,Slime_IceCone_AimPoint,ART/Others/SkillObj/SkillObj_Monster_Slime_Ice_AimPoint,,,,4001,19,史莱姆-冰锥-目标点,Slime_IceCone_AimPoint,,,,,,,Default_Item,,,0,
42001002,Slime_RockThrow,ART/Others/Bullet/Bullet_Slime_ThrowObject,,,,4001,3,史莱姆岩锥,Slime_RockThrow,1,,,,,,Default_Item,,,0,
42001003,Slime_Bubble,ART/Others/Bullet/Bullet_Abyss_Bubble_Missile,,,,4001,3,史莱姆气泡-弹道,Slime_Bubble,1,,,,,,Default_Item,,,0,
42001004,Slime_IceCone,ART/Others/Bullet/Bullet_Slime_ThrowObject,,,,4001,3,史莱姆-冰锥,Slime_IceCone,1,,,,,,Default_Item,,,0,
42001005,Slime_IceFog,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,4001,19,史莱姆-冰雾,Slime_IceFog,,,,,,,Default_Item,,,0,
42001006,Slime_Current,ART/Others/Bullet/Bullet_Slime_ThrowObject,,,,4001,3,史莱姆-电流,Slime_Current,1,,,,,,Default_Item,,,0,
42001007,Slime_AirAtk,ART/Others/Bullet/Bullet_Slime_ThrowObject,,,,4001,3,史莱姆-空气炮,Slime_AirAtk,1,,,,,,Default_Item,,,0,
42001010,Slime_WindZone_02,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,4001,19,史莱姆-风场虚拟体,Slime_WindZone_02,,,,,,,Default_Item,,,0,
42001011,Slime_WindZone_03,ART/Others/SkillObj/SkillObj_EmptyGadget,,,,4001,19,史莱姆-风场虚拟体,Slime_WindZone_03,,,,,,,Default_Item,,,0,
42001012,Slime_Seed,ART/Others/Bullet/Bullet_Slime_ThrowObject,,,,4001,3,史莱姆-种子（召唤）,Slime_Seed,1,,,,,,Default_Item,,,0,
42001013,Slime_SeedAtk,ART/Others/Bullet/Bullet_Slime_ThrowObject,,,,4001,3,史莱姆-种子（攻击）,Slime_SeedAtk,1,,,,,,Default_Item,,,0,
42001014,Slime_SeedGrow,ART/Others/Bullet/Bullet_Slime_GrassSeed,,,,4001,19,史莱姆-生根发芽,Slime_SeedGrow,,,,,,,Default_Item,,,0,
