配置ID	执行类型	执行参数1	执行参数2	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	客机能否交互	备注	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	消耗道具5ID	消耗道具5数量	消耗道具6ID	消耗道具6数量	[交互条件]1类型	[交互条件]1参数1	[交互条件]1参数2	[交互条件]2类型	[交互条件]2参数1	[交互条件]2参数2	[交互条件]组合	联机模式下能否交互
1	1	201		1	201						测试	100001	1																		1
2	1	201		1	201						古代神庙-蒙德	107006	1																		1
3	1	201		1	201						古代神庙-璃月	107007	1																		1
4	1	901		1	901						萍奶奶种花任务（播种）	100526	1																		1
5	1	201		1	201						萍奶奶种花任务（浇水）	100527	1																		1
6	1	201		1	201						盗宝团笼子	100528	1																		1
7	1	201		1	201						靖世九柱锁孔	100533	1																		1
8	1	201		1	201						任务-美味的珍珠翡翠白玉汤	108088	1																		1
9	1	201		1	201						任务-美味的摩拉肉	108094	1																		1
10	1	201		1	201						任务-美味的松茸酿肉卷	108091	1																		1
11	1	201		1	201						盗宝团笼子——璃月主线三用	100604	1																		1
12	1	201		1	201						（test）狗喂食盆	100064	1																		1
13	1	201		1	201						（test）给盗宝团的密信	100630	1																		1
14	1	201		1	201						雪山古代王国秘事交付	100620	1	100621	1	100622	1														1
15	1	201		1	201						雪山喂食小狐狸	100051	2																		1
16	1	201		1	201						1.4风花节献上蒲公英	100057	1																		1
17	1	201		1	201						1.4风花节献上风车菊	100024	1																		1
18	1	201		1	201						1.4风花节献上塞西莉亚花	100023	1																		1
19	1	201		1	201						1.4风花节献上小灯草	100055	1																		1
20	1	201		1	201						1.4风花节献上甜甜花	100012	1																		1
21	1	201		1	201						1.4风花节献上钩钩果	100021	1																		1
22	1	201		1	201						「镇物」	100768	1																		1
23	1	201		1	201						「镇物」	100769	1																		1
24	1	201		1	201						五百藏交给你的「镇物」	100770	1																		1
25	1	201		1	201						卷形的「镇物」	100771	1																		1
26	1	201		1	201						钥形的「镇物」	100772	1																		1
27	1	201		1	201						（test）铁锁钥匙	100774	1																		1
28	1	201		1	201						(test)遗迹石板	100775	1																		1
29	1	201		1	201						(test)遗迹石板	100776	1																		1
30	1	201		1	201						(test)遗迹石板	100777	1																		1
31	1	201		1	201						(test)遗迹石板	100778	1																		1
32	1	201		1	201						1.6羽球节放置水晶	100820	1	100821	1	100822	1														1
33	1	201		1	201						「堇鬼」的刀	100866	1																		1
34	1	201		1	201						「赤鬼」的刀	100867	1																		1
35	1	201		1	201		2			1	（test）雷樱枝条																				1
36	1	201		1	201						流寇营地笼子	100880	1																		1
37	1	201		1	201						流寇营地狗笼子	100881	1																		1
38	1	201		1	201						1.6羽球节放置鳞片	100823	1																		1
39	1	201		1	201						1.6羽球节放置鳞片	100824	1																		1
40	1	201		1	201						1.6羽球节放置鳞片	100825	1																		1
41	1	201		1	201						1.6羽球节放入零件	100819	1																		1
42	1	201		1	201						古代神庙-稻妻	107008	1																		1
43	1	201		1	201						（test）移动墙																				1
44	1	201		1	201						2.0御影炉心密室门	100946	1	100947	1	100948	1														1
45	1	201		1	201						荒神社井下钥匙	100864	1																		1
46	1	201		1	201						鹤管壁画	100976	1																		1
47	1	201		1	201						鹤管符文碑	100977	1																		1
48	1	201		1	201						农民的宝藏铁栅栏交付台	100985	1																		1
49	1	201		1	201						（test）猫喂食盆	100084	1																		1
50	1	201		1	201						（test）猫喂食盆-喂猫饭	108320	1																		1
51	1	201		1	201						(test)2.3 开启班尼特的笼子	100999	1																		1
