ID,血量,血量成长曲线,攻击,攻击成长曲线,防御,防御成长曲线
70220001,1358.4,1,12.56,2,500,12
70220002,1358.4,1,12.56,2,500,12
70220003,1358.4,1,2.512,2,500,12
70220004,1358.4,1,6.792,1,500,12
70220005,1358.4,1,6.792,1,500,12
70220007,1358.4,1,2.512,2,500,12
70220023,1358.4,1,12.56,2,500,12
70220035,1358.4,1,6.792,1,500,12
70220075,1358.4,1,28.9792,1,500,12
70310001,1358.4,1,12.56,2,500,12
70310002,1358.4,1,12.56,2,500,12
70310003,1358.4,1,12.56,2,500,12
70310004,1358.4,1,12.56,2,500,12
70320001,1358.4,1,125.6,2,500,12
70320002,1358.4,1,125.6,2,500,12
70380004,600,1,49.3,2,500,12
70900006,1358.4,1,0,2,500,12
70900007,1358.4,1,0,2,500,12
70900008,1358.4,1,0,2,500,12
70900009,1358.4,1,0,2,500,12
70900010,1358.4,1,0,2,500,12
70900011,1358.4,1,0,2,500,12
70900012,1358.4,1,125.6,2,500,12
70900013,1358.4,1,125.6,2,500,12
70900020,1358.4,1,0,2,500,12
70900021,1358.4,1,0,2,500,12
70510001,1358.4,1,5.024,2,500,12
70510002,1358.4,1,5.024,2,500,12
70510003,1358.4,1,5.024,2,500,12
70510004,1358.4,1,5.024,2,500,12
70510005,1358.4,1,5.024,2,500,12
70510006,1358.4,1,5.024,2,500,12
70510007,1358.4,1,5.024,2,500,12
70300055,200,1,0,2,500,12
70900238,1358.4,1,5.024,2,500,12
70900239,1358.4,1,5.024,2,500,12
70900244,1358.4,1,5.024,2,500,12
70900245,1358.4,1,5.024,2,500,12
70220020,1358.4,1,12.56,2,500,12
70220028,1358.4,1,5.024,2,500,12
70380006,1358.4,1,37.68,2,500,12
70900037,1358.4,1,125.6,2,500,12
70900207,1358.4,1,12.56,2,500,12
70900208,1358.4,1,6.28,2,500,12
70900230,1358.4,1,6.28,2,500,12
70900248,13.584,1,12.56,2,500,12
70900249,1358.4,1,6.28,2,500,12
70900281,1358.4,1,2.512,2,500,12
70900301,1358.4,1,12.56,2,500,12
70300075,35.86176,1,0,2,500,12
70300076,35.86176,1,0,2,500,12
70300077,6.792,1,0,2,500,12
70300078,6.792,1,0,2,500,12
70300079,400,1,49.3,2,500,12
70300091,12.2256,1,0,2,500,12
70300101,12.2256,1,0,2,500,12
70300083,20,1,0,2,500,12
70300087,20,1,0,2,500,12
70300111,1,12,0,2,500,12
70300113,1,12,0,2,500,12
70220034,1358.4,1,6.792,1,500,12
70360016,1358.4,1,1.256,2,500,12
70360017,1358.4,1,1.256,2,500,12
70360018,1358.4,1,1.256,2,500,12
70360020,6.792,1,1.256,2,500,12
70360021,1358.4,1,25.12,2,500,12
70360022,1358.4,1,25.12,2,500,12
70350021,1358.4,1,12.56,2,500,12
70350027,1358.4,1,12.56,2,500,12
70900275,1358.4,1,37.68,2,500,12
70900269,1358.4,1,2.512,2,500,12
70350023,565.2,17,2.512,2,500,12
70350019,1358.4,1,12.56,2,500,12
70350035,565.2,17,2.512,2,500,12
70350036,452.16,17,0,2,500,12
70360066,1358.4,1,7.607,1,500,12
70360069,565.2,17,2.512,2,500,12
70220036,4.523472,1,7.536,2,500,12
70710116,791.28,17,0,2,500,12
70380019,678.24,17,0,2,500,12
72000007,678.24,17,0,2,500,12
70360100,1358.4,1,150.72,2,500,12
72000008,1358.4,1,100.48,2,500,12
70350086,791.28,17,0,2,500,12
70310028,565.2,17,0,2,500,12
70220054,10.8672,1,11.304,2,500,12
70360108,0.95088,1,0,2,0,12
70220043,1358.4,1,6.792,1,500,12
70220045,1358.4,1,5.434,1,500,12
70220055,1358.4,1,6.792,1,500,12
70310021,169.56,17,0,2,500,12
70360132,1358.4,1,12.56,2,500,12
70220061,4.523472,1,7.536,2,500,12
70350201,27.168,1,0,2,500,12
70350099,1000,1,250,20,500,12
70350100,1000,1,500,20,500,12
70350101,1000,1,100,20,500,12
70350102,1000,1,300,20,500,12
70350103,1000,1,200,20,500,12
70350108,1000,1,300,20,500,12
70350111,1000,1,800,20,500,12
70350139,1358.4,1,82.896,2,500,12
45001001,282.6,17,2.717,1,0,12
45001002,282.6,17,2.717,1,0,12
70710408,12.2256,1,0,2,500,12
70710438,678.24,17,0,2,500,12
70220074,10.8672,1,11.304,2,500,12
70900388,1358.4,1,6.792,1,500,12
70290067,203.76,1,5.024,2,500,12
70290068,1358.4,1,5.024,2,500,12
70290106,1358.4,1,62.8,2,500,12
70310107,226.08,17,0,2,500,12
70310085,1358.4,1,37.68,2,500,12
70800047,282.6,17,0,2,500,12
70310100,1358.4,1,6.792,1,500,12
70310101,1358.4,1,6.792,1,500,12
70310112,135.648,17,0,2,500,12
70310113,169.56,17,0,2,500,12
70310123,169.56,17,0,2,500,12
70360308,67.92,1,0,2,500,12
70300205,17.93088,1,0,2,500,12
42601027,1358.4,1,25.12,2,500,12
70800105,1358.4,1,17.6592,1,500,12
71700332,1290.48,1,0,2,500,12
70800057,1358.4,1,17.6592,1,500,12
70290254,40.752,1,0,2,500,12
70290296,81.504,1,0,2,500,12
70290297,122.256,1,0,2,500,12
70290308,1358.4,1,6.792,1,500,12
70290323,1358.4,1,4.0752,1,500,12
70290324,1358.4,1,5.4336,1,500,12
70290214,4.523472,1,7.536,2,500,12
70290394,1358.4,1,6.792,1,500,12
70350450,1130.4,17,2.512,2,500,12
70290309,1358.4,1,6.792,1,500,12
70800189,1130.4,17,0,2,500,12
70350452,1130.4,17,0,2,500,12
70380220,395.64,17,0,2,500,12
70380221,395.64,17,0,2,500,12
70380222,395.64,17,0,2,500,12
70380223,395.64,17,0,2,500,12
70380307,13.584,1,0,2,500,12
70380308,13.584,1,15.072,2,500,12
70380309,13.584,1,0,2,500,12
70380310,13.584,1,0,2,500,12
72000019,40.752,1,100.48,2,500,12
70220107,1358.4,1,6.792,1,500,12
70220108,1358.4,1,6.792,1,500,12
70220109,1358.4,1,6.792,1,500,12
70220125,1358.4,1,6.792,1,500,12
70220126,1358.4,1,6.792,1,500,12
70350462,452.16,17,0,2,500,12
70330449,1358.4,1,5.024,2,500,12
