挂节点类型	ID	区域ID	采集物ID	获得物品ID	额外获得物品ID	挂接位置	刷新CD	刷新优先级	刷新ID	[区块]1ID	[区块]1数量	初始不可交互	禁止客机交互	存档类型	禁止联机模式下交互	是否为多态采集物	能否被草神扫描
1001	3003001	998	70520001	101001		0	10	10	999930	3003	35	1		1			
1002	3003003	998	70520002	101002		0	10	20	999931	3003	5	1		2			
1003	3003004	998	70520003	101003		0	10	30	999932	3003	4	1		3			
1004	3003005	002	70520018	100028		0	10	30	999921	3003	4	1		4			
1005	3003006	998	70520019	101004		0	10	30	0	3003	4	1		0			
1006	3003007	998	70590027	101006		0	10	30	999931	3003	4	1		2			
1008	3003008	998	70590036	101008		0	10	30	999932	3003	4	1		3			
1009	3003011	002	70540032	100028		0	10	30	999921	3003	4	1		4			
1010	3003012	998	70540031	101003		0	10	30	999932	3003	4	1		3			
1011	3003013	004	70520018	101224		0	10	30	999921	3003	4	1		4			
2001	3003009	999	70520009	100016		0	10	10	999900	3003	60			1			1
2002	3003010	999	70520004	100011		0	10	5	999900	3003	40			1			1
2003	3003015	999	70520006	100013		0	10	5	999900	3003	5			1			1
2019	3003016	999	70520007	100014		0	10	5	999900	3003	5			1			1
2004	3003017	999	70520005	100012		0	10	10	999900	3003	60			1			1
2005	3003019	999	70520008	100015		0	10	10	999900	3003	40			1			1
2006	3003021	999	70540003	100001		0	5	20	999900	3003	30			1			1
2007	3003022	999	70540005	100020		0	10	10	999900	3003	50			1			1
2008	3003034	001	70590013	100056		0	10	10	999921	3003	20			4			1
2009	3003036	999	70520013	100063		0	10	10	999900	3003	20			1			1
3001	3003023	999	70540003	100001		1	5	20	999900	3003	80			1			1
3002	3003024	999	70540001	100051		1	10	10	999900	3003	70			1			1
3003	3003025	999	70540004	100062		1	10	10	999900	3003	20			1			1
3005	3003031	999	70510006	100053		0	10	10	999920	3003	20	1		2			
3006	3003032	999	70510005	100054		0	10	10	999920	3003	20	1		2			
3007	3003033	001	70510004	100055		0	10	10	999921	3003	80			4			1
3008	3003035	999	70510007	100052		0	10	10	999920	3003	20	1		2			
3009	3003037	001	70510009	100057		0	10	10	999921	3003	20	1		4			
3010	3003038	002	70510012	100058		0	10	10	999921	3003	20	1		4			
3011	3003039	999	70540021	100002		1	10	10	999900	3003	20			1			1
3012	3003040	999	70330449	100053		0	10	10	999920	3003	20	1		2			
2010	3003100	001	70540013	100021		1	10	10	999921	3003	20			4			1
2011	3003101	001	70540022	100022		0	10	10	999921	3003	20			4			1
2012	3003102	001	70540018	100023		0	10	10	999921	3003	20			4			1
2013	3003103	001	70540019	100024		0	10	10	999921	3003	20			4			1
2014	3003104	001	70540020	100025		0	10	10	999921	3003	20			4			1
2015	3003105	999	70540014	100026		0	10	10	999900	3003	20			1			1
2016	3003106	002	70540008	100027		0	10	10	999921	3003	20			4			1
2023	3003112	002	70540015	100029		0	10	10	999921	3003	20			4			1
2025	3003114	002	70540012	100030		0	10	10	999921	3003	20			4			1
2026	3003115	002	70540026	100034		1	10	10	999921	3003	20			4			1
2027	3003116	999	70540027	100032		0	10	10	999900	3003	20			1			1
2028	3003117	002	70540029	100031		0	10	10	999921	3003	20			4			1
2029	3003118	002	70540028	100033		0	10	10	999921	3003	20			4			1
2030	3003120	999	70590024	100091		0	10	10	999900	3003	20			1			1
1007	3003121	998	70590025	101005		0	10	20	999920	3003	5	1		2			
2031	3003122	999	70520024	100016		0	10	10	999900	3003	60			1			1
2032	3003123	999	70590030	100618		0	10	10	999920	3003	60		1	2			
2033	3003124	003	70520025	101206		0	10	10	999921	3003	20			4			1
2034	3003125	999	70520026	101211		0	10	10	999900	3003	20			1			1
2035	3003126	003	70520027	101203		0	10	10	999921	3003	20			4			
2036	3003127	003	70520028	101201		0	10	10	999921	3003	20			4			1
2037	3003128	999	70520029	101210		0	10	10	999900	3003	20			1			1
2038	3003129	003	70520030	101204		0	10	10	999921	3003	20			4			1
2039	3003130	003	70520031	101207		0	10	10	999921	3003	20			4			1
2040	3003131	003	70520033	101205		0	10	10	999921	3003	20			4			1
2041	3003132	003	70520034	101202		0	10	10	999921	3003	20	1		4			
2042	3003133	003	70520035	101208		0	10	10	999921	3003	20			4			1
2043	3003134	003	70520037	101209		0	10	10	999921	3003	20			4			1
2044	3003135	999	70520038	101212	101713	0	10	10	999900	3003	20			1			1
2045	3003136	999	70330221	101212		0	10	10	999900	3003	20			1		1	1
2046	3003137	004	70540034	101213		0	10	10	999921	3003	20			4			1
