ID	npcID	是否仅使用站点	类型	周常1难度关卡ID	周常1牌手等级	周常2难度关卡ID	周常2牌手等级	周常3难度关卡ID	周常3牌手等级	周常4难度关卡ID	周常4牌手等级	周常5难度关卡ID	周常5牌手等级	占用任务	开启任务	开启牌手等级
201	9510		2	2011	1	2012	3	2013	5	2014	7	2015	10			
202	9508		2	2021	1	2022	3	2023	5	2024	7	2025	10			
203	9511		2	2031	1	2032	3	2033	5	2034	7	2035	10			
204	9512		2	2041	1	2042	3	2043	5	2044	7	2045	10			
205	9513		2	2051	1	2052	3	2053	5	2054	7	2055	10			
206	9522		2	2061	1	2062	3	2063	5	2064	7	2065	10			
207	9516		2	2071	1	2072	3	2073	5	2074	7	2075	10			
208	9517		2	2081	1	2082	3	2083	5	2084	7	2085	10			
209	9504		2	2091	1	2092	3	2093	5	2094	7	2095	10			
210	9505		2	2101	1	2102	3	2103	5	2104	7	2105	10			
211	9507		2	2111	1	2112	3	2113	5	2114	7	2115	10			
212	9509		2	2121	1	2122	3	2123	5	2124	7	2125	10			
213	9501	1	2	2131	1	2132	3	2133	5	2134	7	2135	10			
214	9502		2	2141	1	2142	3	2143	5	2144	7	2145	10			
215	9503		2	2151	1	2152	3	2153	5	2154	7	2155	10			
217	9518		2	2171	1	2172	3	2173	5	2174	7	2175	10			
218	9519		2	2181	1	2182	3	2183	5	2184	7	2185	10			
219	9514		2	2191	1	2192	3	2193	5	2194	7	2195	10			
220	9515		2	2201	1	2202	3	2203	5	2204	7	2205	10			
221	9520		2	2211	1	2212	3	2213	5	2214	7	2215	10			
101	9700		1	1011	1	1012	3	1013	5	1014	7	1015	10			3
102	9701		1	1021	1	1022	3	1023	5	1024	7	1025	10			
103	9704		1	1031	1	1032	3	1033	5	1034	7	1035	10			
104	9708		1	1041	1	1042	3	1043	5	1044	7	1045	10			3
105	9706		1	1051	1	1052	3	1053	5	1054	7	1055	10			3
106	9705		1	1061	1	1062	3	1063	5	1064	7	1065	10			
107	9709		1	1071	1	1072	3	1073	5	1074	7	1075	10			
108	9710		1	1081	1	1082	3	1083	5	1084	7	1085	10			3
109	9713		1	1091	1	1092	3	1093	5	1094	7	1095	10			3
110	9715		1	1101	1	1102	3	1103	5	1104	7	1105	10			
