序号,npcID,关卡ID,解锁条件,条件参数
3,1437,11001,,
15,1605,11002,,
21,1567,11003,,
22,1567,11203,,
9,1435,11004,,
7,1467,11104,,
13,1423,11106,,
17,1417,11101,,
19,1587,11102,,
27,2016,12001,,
35,2148,12002,,
36,2148,12202,,
31,2456,12004,,
32,2456,12005,,
33,2010,12003,,
29,2045,12104,,
30,1625,12105,,
37,2003,12103,,
25,2054,12106,,
26,2054,12107,,
50,3084,13005,2,2013
51,3081,13001,2,2013
52,3191,13002,2,2013
53,3079,13003,2,2013
54,3082,13004,2,2013
55,3173,13102,2,2013
56,3005,13105,2,2013
57,3003,13101,2,2013
58,3029,13103,2,2013
59,3042,13104,2,2013
60,4307,14001,,
61,4302,14002,,
62,4310,14004,,
63,4309,14003,,
64,4301,14005,,
65,4046,14102,,
66,4042,14101,,
67,4018,14103,,
68,4069,14104,,
69,4314,14105,,
70,4157,14201,,
71,4154,14202,,
72,4155,14203,,
73,4141,14204,,
74,4136,14205,,
75,3029,13201,,
76,4057,14301,,
77,4050,14302,,
78,4060,14303,,
