ID	对话ID	错误提示	是否重复	交付方式	[精确]道具1ID	[精确]道具1数量	[精确]道具2ID	[精确]道具2数量	[精确]道具3ID	[精确]道具3数量	精准交付完台词	组交付ID	组交付数量	是否删除道具	是否重置	是否允许联机交付	交付类型	是否可取回
1	614230406	614230409	0	1	100001	5					614230401			1			1	
2	614230407	614230409	1	2								1	5	1			1	
3	614230408	614230409	1	3								1,2	3	1			1	
4	4890001	4890004	0	1	100012	3	100064	3			4890201			0			1	
5	4890001	4890004	0	3								3,4	1	1			1	
6	4890001	4890004	0	3								5,6	1	1			1	
7	210092009	210092010	0	2								7	1	1			1	
8	110051301	110051307	1	2								8	1	1			1	
2005124	200511803	200511807	1	3								200512401,200512402,200512403,200512404,200512405,200512406,200512407	1	1			1	
2101105			0	1	100349	1					210110302			1			1	
2101106			0	1	100349	1					210110303			1			1	
2101107			0	1	100349	1					210110304			1			1	
2101108			0	1	100349	1					210110305			1			1	
2101109			0	1	100349	1					210110306			1			1	
2101110			0	1	100349	1					210110307			1			1	
2006006			1	1	100012	3					200600505			1			1	
2006008	200600704	200600705	1	1	100012	3					200600706			1			1	
10	614230406	614230409	1	2								10	10	1			1	
11	614230406	614230409	1	2								11	10	1			1	
12	614230406	614230409	1	2								12	10	1			1	
13	614230406	614230409	1	2								13	10	1			1	
2005920	2005904002	2005904010	1	3								200592001,200592002,200592003	1	1			1	
2230002	223000201	223000204	1	3								223000201,223000202,223000203,223000204	1	1			1	
2230103	223010203	223010205	1	3								223010301,223010302,223010303,223010304,223010305,223010306	1	1			1	
2200302	220030205		1	1	100026	1	100027	1						1			1	
2230302	223030202	223030203	1	1	100057	1								1			1	
2200802	220080301	220080303	1	2								2200802	1	1			1	
2006802			1	1	100025	3					2006804			1			1	
2051705	205170599	205170598	1	1	100024	3					205170597			1			1	
2102113			0	1	100457	1	100458	1	100459	1				1			1	
2102115	210211501	210211502	0	1	100467	1					210211503			1			1	
1050105	105010306		1	3								105010501,105010502	1	1			1	
2070103	207010501		1	3								207010301,207010302,207010303	1	1			1	
2102408			1	1	100028	3								1			1	
2074002	207400502		1	2								2074002	10	1			1	
7100601			0	3								710060101,710060201	1	1			1	
7100602			0	3								710060102,710060202	1	1			1	
2060405			1	3								206040501,206040502,206040503	1	1			1	
2220001			1	3								222000101,222000102,222000103,222000104	1	1			1	
2220002			1	3								222000201,222000202,222000203,222000204	1	1			1	
2220003			1	3								222000301,222000302,222000303,222000304	1	1			1	
2220004			1	3								222000401,222000402,222000403,222000404	1	1			1	
2250120	225011601		1	1	100029	3								1			1	
2250121	225011701		1	1	100052	3								1			1	
7101604	710160405	710160406	0	1	100530	1								1			1	
7101605	710160505	710160506	0	1	100531	1								1			1	
7101606	710160605	710160606	0	1	100532	1								1			1	
7101607	710160705	710160706	0	1	100530	1	100531	1						1			1	
7101608	710160805	710160806	0	1	100531	1	100532	1						1			1	
7101609	710160905	710160906	0	1	100530	1	100532	1						1			1	
7101610	710161005	710161006	0	1	100530	1	100531	1	100532	1				1			1	
7101802			1	3								710180201,710180202,710180203	3	1			1	
80201	8020102	8020105	1	1	100028	3								1			1	
7010227			1	1	100618	1								1			1	
7010230			0	1	100619	1	101006	50	101105	1				1			1	
7010610			1	3								701061001	1	1			1	
7010104			0	1	100023	3								1			1	
7012601			1	1	100672	3								1			1	
7012602			1	1	100673	3								1			1	
7012603			1	1	100674	3								1			1	
7011001			1	1	100618	4								1			1	
4112609	4112609		0	1	100626	1								1			1	
4111311			1	3								411131101	1	1			1	
7070001			1	1	100012	10								1			1	
7070101			1	1	100057	3								1			1	
7070201			1	1	100017	10								1			1	
7070301			1	1	100057	3								1			1	
7070401			1	1	100053	3								1			1	
7070501			1	1	100052	3								1			1	
7070601			1	1	100017	10								1			1	
7070701			1	1	100024	3								1			1	
7070801			1	1	100023	3								1			1	
7070901			1	2								7070901	3	1			1	
7071001			1	2								7071001	2	1			1	
7071101			1	2								7071101	3	1			1	
7071201			1	1	100023	3								1			1	
7071301			1	1	100061	6								1			1	
7071401			1	1	100064	6								1			1	
7170001			1	1	100029	3								1			1	
7170101			1	1	100031	3								1			1	
7170201			1	1	100034	3								1			1	
7170301			1	1	100012	10								1			1	
7170401			1	1	100016	10								1			1	
7170501			1	1	110011	2								1			1	
7170601			1	1	110005	2								1			1	
7170701			1	1	110010	2								1			1	
7170801			1	1	101001	10								1			1	
7170901			1	2								7170901	2	1			1	
7171001			1	2								7171001	3	1			1	
7171101			1	2								7171101	2	1			1	
7171201			1	2								7171201	2	1			1	
7171301			1	1	101001	10								1			1	
7171401			1	2								7171401	1	1			1	
7180405			0	1	100632	1								1			1	
7180406			1	3								718040601,718040602,718040603	1	1			1	
7180407			1	3								718040701,718040702	1	1			1	
7180408			1	1	100633	1								1			1	
4112242	411224203		0	1	100667	1								0			1	
4112244	411224411		0	1	100667	1								0			1	
4112246	411224603		0	1	100667	1								0			1	
1111202			1	1	100027	1								1			1	
1111207			1	1	100684	1								1			1	
2007004			1	1	100690	1								1			1	
1800008			0	1	100695	1								1			1	
1104414	110440531		1	3								110441401,110441402	1	1			1	
2007301			1	1	101909	1								1			1	
2007302			1	1	101909	1								1			1	
2007303			1	1	101909	1								1			1	
2007304			1	1	101909	1								1			1	
2052006			1	1	108021	1								1			1	
7181401			1	1	108157	1								1			1	
4140201			1	1	220019	1								1			1	
4133301			1	3								4133301,4133302,4133303	1	1			1	
1906802			1	3								190680201,190680202,190680203	1	1			1	
1902401			1	1	100052	1	100031	1						1			1	
1902402			1	1	100022	1	100002	1						1			1	
1902403			1	1	100027	1	112002	1						1			1	
1902501			1	1	100011	3	100061	2	110001	2				1			1	
4133105			1	1	100061	3	100064	3						1			1	
4134009			1	1	200004	1								1			1	
4133406			1	1	200001	2	200002	2						1			1	
4133601			1	1	200004	3								1			1	
4134301			1	1	200004	1								1			1	
4134302			1	1	100057	1								1			1	
1904401			1	1	112002	1	100014	1	100016	1				1			1	
7181606			1	1	200004	1								1			1	
7181508			1	1	200001	3	200002	3	200003	3				1			1	
7181710			1	3								7181710	2	1			1	
7181707			1	1	100737	1								1			1	
7181711			1	1	100738	1								1			1	
7181714			1	1	100088	3	100089	3	100092	3				1			1	
7181716			1	1	200004	1								1			1	
7181718			1	1	200004	1								1			1	
7181809			1	1	200001	1	200002	1	200003	1				1			1	
4133201			1	1	200004	1								1			1	
7182001			1	1	100031	1	100058	1						1			1	
4133507			1	1	100748	1								1			1	
4133701			1	1	100031	1								1			1	
4134201			1	1	100729	1								1			1	
4134202			1	1	100756	2								1			1	
4134203			1	1	200004	1								1			1	
7080001			1	1	100057	1								1			1	
7080002			1	1	100057	1	112002	1						1			1	
1908405			1	3								190840501,190840502,190840503	1	1			1	
1908406			1	1	112023	1								1			1	
1908603			1	3								190860301,190860302	1	1			1	
1908604			1	3								190860401,190860402	1	1			1	
1908605			1	3								190860501,190860502	1	1			1	
7000602			1	3								700060201,700060202	1	1			1	
7001202			1	3								700120201,700120202	1	1			1	
7001502			1	3								700150201,700150202	1	1			1	
7001802			1	3								700180201,700180202	1	1			1	
7001902			1	3								700190201,700190202	1	1			1	
7002102			1	3								700210201,700210202	1	1			1	
7002302			1	3								700230201,700230202	1	1			1	
1910604			1	1	100846	2								1			1	
1910607			1	1	100840	2								1			1	
1910703			1	1	100829	1								1			1	
7000808			1	3								700080801,700080802	3	1			1	
7000810			1	3								700081001,700081002	1	1			1	
7211101		721110601	0	3								721110101	1	1			1	
7211102		721110601	0	3								721110201	1	1			1	
7211103		721110601	0	3								721110301	1	1			1	
7210616			0	3								7210616	1	1			1	
7900404	7900412		1	1	100841	4								1			1	
7212906			1	1	100958	1	100959	1						1			1	
7213006			0	1	100960	1	100961	1						1			1	
7213106			0	1	100962	1	100963	1						1			1	
7213204			0	1	100964	1	100965	1						1			1	
7113204			0	3								721110101	1	1			1	
7213802			1	1	101205	12								1			1	
200915			1	3								20091501,20091502	1	1			1	
7215312			1	1	100084	1	101210	1	100092	1				1			1	
7211401			1	1	100852	1								1			1	
7211601			1	1	101203	3								1			1	
7211801			1	1	100853	1	100854	1						1			1	
7211901			1	1	101201	3								1			1	
7212201			1	1	100956	3								1			1	
7212401			1	1	100855	1								1			1	
7212402			1	1	100856	1								1			1	
7212403			1	1	100857	1								1			1	
7212501			1	1	100858	1								1			1	
7212701			1	1	100012	3								1			1	
7212801			1	1	100859	3								1			1	
7214001			1	1	101203	12								1			1	
7214008			1	1	100064	4	110001	2	100062	2				1			1	
7214009			1	3								721400901,721400902,721400903	1	1			1	
7214010			1	1	108280	1								1			1	
