ID	对话ID	错误提示	是否重复	交付方式	[精确]道具1ID	[精确]道具1数量	[精确]道具2ID	[精确]道具2数量	[精确]道具3ID	[精确]道具3数量	精准交付完台词	组交付ID	组交付数量	是否删除道具	是否重置	是否允许联机交付	交付类型	是否可取回
6900212	6900212		1	3								690020101,690020102,690020103	1	1	1	1	1	
6900317	6900317		1	3								690031701,690031702,690031703	1	1	1	1	1	
6900615	6900615		1	3								690061501,690061502,690061503	1	1	1	1	1	
6901415	6901415		1	3								690141501,690141502,690141503	1	1	1	1	1	
6901515	6901515		1	3								690151501,690151502,690151503	1	1	1	1	1	
6901615	6901615		1	3								690161501,690161502,690161503	1	1	1	1	1	
6902015	6902015		1	3								690201501,690201502,690201503	1	1	1	1	1	
6902110	6902110		1	3								690211001,690211002,690211003	1	1	1	1	1	
6902210	6902210		1	3								690221001,690221002,690221003	1	1	1	1	1	
6902310	6902310		1	3								690231001,690231002,690231003	1	1	1	1	1	
6902410	6902410		1	3								690241001,690241002,690241003	1	1	1	1	1	
6902510	6902510		1	3								690251001,690251002,690251003	1	1	1	1	1	
6902610	6902610		1	3								690261001,690261002,690261003	1	1	1	1	1	
6902710	6902710		1	3								690271001,690271002,690271003	1	1	1	1	1	
6902910	6902910		1	3								690291001,690291002,690291003	1	1	1	1	1	
6903010	6903010		1	3								690301001,690301002,690301003	1	1	1	1	1	
6903110	6903110		1	3								690311001,690311002,690311003	1	1	1	1	1	
6903210	6903210		1	3								690321001,690321002,690321003	1	1	1	1	1	
6903310	6903310		1	3								690331001,690331002,690331003	1	1	1	1	1	
6903410	6903410		1	3								690341001,690341002,690341003	1	1	1	1	1	
6903510	6903510		1	3								690351001,690351002,690351003	1	1	1	1	1	
6903610	6903610		1	3								690361001,690361002,690361003	1	1	1	1	1	
6903710	6903710		1	3								690371001,690371002,690371003	1	1	1	1	1	
6903810	6903810		1	3								690381001,690381002,690381003	1	1	1	1	1	
6903910	6903910		1	3								690391001,690391002,690391003	1	1	1	1	1	
6904110	6904110		1	3								690411001,690411002,690411003	1	1	1	1	1	
6904210	6904210		1	3								690421001,690421002,690421003	1	1	1	1	1	
6904310	6904310		1	3								690431001,690431002,690431003	1	1	1	1	1	
6904410	6904410		1	3								690441001,690441002,690441003	1	1	1	1	1	
6904510	6904510		1	3								690451001,690451002,690451003	1	1	1	1	1	
6904610	6904610		1	3								690461001,690461002,690461003	1	1	1	1	1	
6904712	6904712		1	3								690471201,690471202,690471203	1	1	1	1	1	
6904810	6904810		1	3								690481001,690481002,690481003	1	1	1	1	1	
6904912	6904912		1	3								690491201,690491202,690491203	1	1	1	1	1	
6905012	6905012		1	3								690501201,690501202,690501203	1	1	1	1	1	
6905110	6905110		1	3								690511001,690511002,690511003	1	1	1	1	1	
6905213	6905213		1	3								690521301,690521302,690521303	1	1	1	1	1	
6905217	6905217		1	3								690521701,690521702,690521703	1	1	1	1	1	
6905312	6905312		1	3								690531201,690531202,690531203	1	1	1	1	1	
6905412	6905412		1	3								690541201,690541202,690541203	1	1	1	1	1	
6905512	6905512		1	3								690551201,690551202,690551203	1	1	1	1	1	
6905612	6905612		1	3								690561201,690561202,690561203	1	1	1	1	1	
6905712	6905712		1	3								690571201,690571202,690571203	1	1	1	1	1	
6905812	6905812		1	3								690581201,690581202,690581203	1	1	1	1	1	
6906312	6906312		1	3								690631201,690631202,690631203	1	1	1	1	1	
6906412	6906412		1	3								690641201,690641202,690641203	1	1	1	1	1	
6906612	6906612		1	3								690661201,690661202,690661203	1	1	1	1	1	
6900812	6900812		1	3								690081201,690081202,690081203	1	1	1	1	1	
6900912	6900912		1	3								690091201,690091202,690091203	1	1	1	1	1	
