ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	[断言条件]1类型	[断言条件]1参数1	[断言条件]1参数2	[断言条件]2类型	[断言条件]2参数1
1001	1	LevelAbility_Combat_Watcher:watcher_test_modifier				1		1	35101			
1002	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Wet				1		1	35403			
1003	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Ice				1						
1004	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Fire				1		1	35403			
1005	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_StickRock				1						
1006	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Frozen				1		1	35403			
1007	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_FreezeWater				1						
1008	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Stream_ByModifierAdd				1		1	35403			
1009	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Stream_ByHit				1		1	35403			
1010	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Shock				1		1	35403			
1011	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_ConductShock				1		1	35403			
1012	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Electrified_Water				1		1	35403			
1013	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Explode				1		1	35403			
1014	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Superconductor				1		1	35403			
1015	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Burning				1		1	35403			
1016	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Swirl				2		1	35403			
1018	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Use_ElementalBurst				1		1	35311			
1019	101					1		1	35311			
1020	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Hit_Ore				1						
1021	1	LevelAbility_Combat_Watcher:Watcher_Avatar_AddShield				1						
1022	1	LevelAbility_Combat_Watcher:Watcher_Avatar_HitHead				1		2	2	12		
1023	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Weakness				1		2	2	12		
1025	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Use_ElementalArt				1		2	1	10000021		
1026	5					1		1	35725			
1027	1	LevelAbility_Combat_Watcher:Watcher_Avatar_HP_Change				1						
1028	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Melt_ByModifierAdd				1		1	35403			
1029	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Melt_ByHit				1		1	35403			
1030	1	LevelAbility_Combat_Watcher:Watcher_GetFirstWindBullet				1						
1031	1	LevelAbility_Combat_Watcher:Watcher_GetSecondWindBullet				1						
1032	1	LevelAbility_Combat_Watcher:Watcher_SpawnWindFieldByWindBullet				1						
1033	110	70710010				1						
1034	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Crystallize				1		1	35403			
1035	1	LevelAbility_Combat_Watcher:Watcher_Avatar_FallingAnthem				1						
1036	1	LevelAbility_Combat_Watcher:Watcher_WeaponElementOverride				1						
1037	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Overdose				1		1	35403			
1038	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Overgrow				1		1	35403			
1100	110	70720214				1						
1101	504	101005				1						
1102	1	LevelAbility_Combat_Watcher:Watcher_SnowMountain_1102				1						
1103	1	LevelAbility_Combat_Watcher:Watcher_SnowMountain_1103				1						
1104	504	100671				1						
1105	336	2	1			1						
1106	706	72182				1						
1107	121	8				1						
1108	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1108				1						
1109	111	7001,3,1				1						
1110	111	7001,3,1				1						
1111	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1111				1						
1112	706	72168				1						
1113	706	72168				1						
1114	706	72176				1						
1115	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1115				1						
1116	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1116				1						
1117	1	LevelAbility_Combat_Watcher:Watcher_Inazuma_Gadget_1117				1						
