挑战营地ID	GroupLinkID	ChallengeID	WatcherID
1	20150101	99	12015101
2	20150102	99	12015102
3	20150103	99	12015103
4	20150104	99	12015104
5	20150105	99	12015105
6	20150106	99	12015106
7	20150107	99	12015107
8	20150108	99	12015108
9	20150109	99	12015109
10	20150110	99	12015110
11	20150111	99	12015111
12	20150112	99	12015112
13	20150113	99	12015113
14	20150114	99	12015114
15	20150115	99	12015115
16	20150116	99	12015116
17	20150117	99	12015117
18	20150118	99	12015118
19	20150119	99	12015119
20	20150120	99	12015120
