SetBundleListID	LinkType	GroupList	提示Group	提示半径	领奖方式	掉落组ID	动态等级ID	默认Activate	active后自动追踪	默认显示mark	是否大地图显示黄圈	始终显示黄圈
20070101	0	133104288	133104288	70	1	200701	20	1		1		
20070102	0	133104297,133104295	133104295	70	1	200702	20	1		1		
20070103	0	133104306,133104296	133104296	70	1	200703	20	1		1		
20070104	0	133104308,133108187	133108187	70	1	200704	20	1		1		
20070105	0	133108190,133108188	133108188	70	1	200705	20	1		1		
20070106	0	133108191,133108189	133108189	70	1	200706	20	1		1		
20070201	0	133001043	133001043	60	1	200707	21	1		1		
20070202	0	133001044,133001047	133001047	60	1	200708	21	1		1		
20070203	0	133001045,133001049	133001049	60	1	200709	21	1		1		
20070204	0	133003038,133003041	133003041	60	1	200710	21	1		1		
20070205	0	133003039,133003042	133003042	60	1	200711	21	1		1		
20070206	0	133003040,133003048	133003048	60	1	200712	21	1		1		
20070301	0	133008210	133008210	60	1	200713	22	1		1		
20070302	0	133008586,133002045	133008586	60	1	200714	22	1		1		
20070303	0	133008578,133002048	133008578	60	1	200715	22	1		1		
20070304	0	133008654,133002049	133008654	60	1	200716	22	1		1		
20070305	0	133008659,133002050	133008659	60	1	200717	22	1		1		
20070306	0	133008660,133002052	133008660	60	1	200718	22	1		1		
50490001	0	133225015	133225015	0	1			1		1		
50490101	0	133007082	133007082	50	1	200719		1		1		
50490102	0	133105048	133105048	50	1	200720		1		1		
50490103	0	133106028	133106028	50	1	200721		1		1		
50490104	0	133212576	133212576	50	1	200722		1		1		
50490201	0	133007088	133007088	0	1			1		1		
50490202	0	133105052	133105052	0	1			1		1		
50490203	0	133106029	133106029	0	1			1		1		
50490204	0	133212585	133212585	0	1			1		1		
50490301	0	133225009	133225009	0	1			1		1		
50490302	0	133223271	133223271	0	1			1		1		
50490401	0	133008668	133008668	50	1			1		1		
50490402	0	133008669	133008669	0	1			1		1		
50490403	0	133108193	133108193	50	1			1		1		
50490404	0	133108194	133108194	0	1			1		1		
20090101	0	133001058	133001058	75	1	2009101		1		1		
20090102	0	133001061	133001061	75	1	2009102		1		1		
20090104	0	133001063	133001063	75	1	2009103		1		1		
20090105	0	133001064	133001064	75	1	2009104		1		1		
20090108	0	133008678	133008678	75	1	2009105		1		1		
20090109	0	133008679	133008679	75	1	2009106		1		1		
20090110	0	133008680	133008680	75	1	2009107		1		1		
20090111	0	133008681	133008681	75	1	2009108		1		1		
20090201	0	133001060	133001060	40	1	2009201		1		1		
20090202	0	133008117	133008117	60	1	2009202		1		1		
20090203	0	133008674	133008674	50	1	2009203		1		1		
20090204	0	133008675	133008675	50	1	2009204		1		1		
20090205	0	133008676	133008676	50	1	2009205		1		1		
20090206	0	133105060	133105060	55	1	2009206		1		1		
20090207	0	133002083	133002083	50	1	2009207		1		1		
20090208	0	133002088	133002088	50	1	2009208		1		1		
20090301	0	133008672	133008672	0	1			1		1		
20090302	0	133008673	133008673	0	1			1		1		
20090303	0	133008670	133008670	0	1			1		1		
20090304	0	133008671	133008671	0	1			1		1		
20090401	0	133001059	133001059	0				1		1		
20104101	0	133108226	133108226	30	1	2010401		1		0		
20104102	0	133108225	133108225	30	1	2010401		1		0		
20104103	0	133108231	133108231	30	1	2010401		1		0		
20104104	0	133108228	133108228	30	1	2010401		1		0		
20104105	0	133108229	133108229	30	1	2010401		1		0		
20104106	0	133108230	133108230	30	1	2010401		1		0		
20104201	0	133108246	133108246	45	1	2010402		1		0		
20104202	0	133108247	133108247	45	1	2010402		1		0		
20104203	0	133108240	133108240	0	1	2010402		1		0		
20104204	0	133108234	133108234	45	1	2010402		1		0		
20104205	0	133108239	133108239	45	1	2010402		1		0		
20104206	0	133108242	133108242	0	1	2010402		1		0		
20104207	0	133108243	133108243	0	1	2010402		1		0		
20104208	0	133108236	133108236	45	1	2010402		1		0		
20104209	0	133108237	133108237	45	1	2010402		1		0		
20104210	0	133108238	133108238	45	1	2010402		1		0		
20104211	0	133108248	133108248	45	1	2010402		1		0		
20104212	0	133108249	133108249	45	1	2010402		1		0		
20104213	0	133108250	133108250	45	1	2010402		1		0		
20104301	0	133108202	133108202	0	1	2010403		1		1		
20104302	0	133108203	133108203	0	1	2010403		1		1		
20104401	0	133108201	133108201	0	1	2010404		1		1		
20104402	0	133108253	133108253	0	1	2010404		1		1		
20104501	0	133108198	133108198	0	1	2010405		1		1		
20111001	0	177005155	177005155	50				0		1		
20111002	0	177005156	177005156	50				0		1		
20111003	0	177006001	177006001	50				0		1		
20111004	0	177006002	177006002	50				0		1		
20111005	0	177008080	177008080	50				0		1		
20111006	0	177008081	177008081	50				0		1		
20112001	0	177005075	177005075	100				0		1		
50680101	0	133004066	133004066	20				0		1		
50680102	0	133001078	133001078	20				0		1		
50680103	0	133104823	133104823	20				0		1		
50680104	0	133104824	133104824	20				0		1		
50680105	0	133002135	133002135	20				0		1		
50680106	0	133102221	133102221	20				0		1		
50680107	0	133106485	133106485	20				0		1		
50680108	0	133107250	133107250	20				0		1		
50680109	0	133103360	133103360	20				0		1		
50680110	0	133101019	133101019	20				0		1		
50680111	0	133106487	133106487	20				0		1		
50680112	0	133106488	133106488	20				0		1		
50680113	0	133221076	133221076	20				0		1		
50680114	0	133209083	133209083	20				0		1		
50800101	0	133001079	133001079	60				1		1		
50800201	0	133105077	133105077	60				1		1		
50800301	0	133213557	133213557	60				1		1		
50790101	0	166001606	166001606	0				1		1		
50790102	0	166001581	166001581	0				1		1		
50790103	0	166001630	166001630	0				1		1		
50790104	0	166001582	166001582	0				1		1		
50790105	0	166001574	166001574	0				1		1		
20140101	0	199003065	199003065	0				0		1		
20140201	0	199004061	199004061	0				0		1		
20140301	0	199003025	199003025	0				0		1		
20140401	0	199001094	199001094	0				0		1		
20140501	0	199001098	199001098	0				0		1		
20140601	0	199002079	199002079	0				0		1		
20150101	0	133302136	133302136	50				1		1		
20150102	0	133302137	133302137	50				1		1		
20150103	0	133302095	133302095	50				1		1		
20150104	0	133302138	133302138	50				1		1		
20150105	0	133302121	133302121	50				1		1		
20150106	0	133302140	133302140	50				1		1		
20150107	0	133302141	133302141	50				1		1		
20150108	0	133302143	133302143	50				1		1		
20150109	0	133302144	133302144	50				1		1		
20150110	0	133302145	133302145	50				1		1		
20150111	0	133302146	133302146	50				1		1		
20150112	0	133302147	133302147	50				1		1		
20150113	0	133302149	133302149	50				1		1		
20150114	0	133302150	133302150	50				1		1		
20150115	0	133302151	133302151	50				1		1		
20150116	0	133302152	133302152	50				1		1		
20150117	0	133302154	133302154	50				1		1		
20150118	0	133302155	133302155	50				1		1		
20150119	0	133302156	133302156	50				1		1		
20150120	0	133302157	133302157	50				1		1		
20150121	0	133302061	133302061					1		1		
20150122	0	133302185	133302185					1		1		
20150123	0	133302056	133302056					1		1		
20150124	0	133302062	133302062					1		1		
20150125	0	133302060	133302060					1		1		
