掉落组ID	RewardPreviewID	DropID
200701	32401	
200702	32402	
200703	32403	
200704	32404	
200705	32405	
200706	32406	
200707	32407	
200708	32408	
200709	32409	
200710	32410	
200711	32411	
200712	32412	
200713	32413	
200714	32414	
200715	32415	
200716	32416	
200717	32417	
200718	32418	
200719		21600002
200720		21600004
200721		21600005
200722		21600006
2009101	33102	
2009102	33101	
2009103	33103	
2009104	33104	
2009105	33105	
2009106	33106	
2009107	33107	
2009108	33108	
2009201	33201	
2009202	33202	
2009203	33203	
2009204	33204	
2009205	33205	
2009206	33206	
2009207	33207	
2009208	33208	
2010401	33306	21601001
2010402	33307	21601002
2010403	33308	
2010404	33309	
2010405	33310	
