ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	[触发条件]参数5	进度	已废弃	活动ID	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	是否每日刷新
5001001	501						1		1001	1	3	1			1
5001002	301						4		1001	1	3	1			1
5001003	309	1;3					20		1001	1	3	1			0
5001004	212	100021;100022;100023;100024;100025;100055;100057;100056					10		1001	1	3	1			1
5001005	212	100027;100028;100029;100030;100031;100033;100034;100058					10		1001	1	3	1			1
5001006	502	106					200		1001	1	3	1			0
5001007	502	106					500		1001	1	3	1			0
5001008	502	106					900		1001	1	3	1			0
5001009	502	202					200000		1001	1	3	1			0
5001010	931						10		1001	1	3	1			0
5001011	701	7165403,7165408,7165411					1		1001	1	3	1			0
5001012	118	21020101,21020201,21020301,21020601,21020601,21010401,21010501,21010901,21011001,21010101,21010201,21010301,21010601,21010701,21011201,21011301,21011401,21030101,21030201,21030301,21030401,21030501,21020501,21020401					99		1001	1	3	1			0
5001013	118	21030101,21030201,21030301,21030401,21030501					99		1001	1	3	1			0
5001014	118	21020101,21020201,21020301,21020601					99		1001	1	3	1			0
5001015	118	20040501					5		1001	1	3	1			0
5002001	502	106					40		1002	1	3	1			1
5002002	301						2		1002	1	3	1			1
5002003	501						1		1002	1	3	1			1
5002004	401	1					5		1002	1	3	1			1
5002005	215						1		1002	1	3	1			1
5002006	212	100027;100028;100029;100030;100031;100033;100034;100058					6		1002	1	3	1			1
5002007	212	100021;100022;100023;100024;100025;100055;100057;100056					6		1002	1	3	1			1
5003001	501						1		1003	1	3	1			0
5003002	1019						1		1003	1	3	1			0
5003003	212	100028					3		1003	1	3	1			0
5003004	303						1		1003	1	3	1			0
5003005	501						2		1003	1	3	1			0
5003006	212	100085					3		1003	1	3	1			0
5003007	1018						1		1003	1	3	1			0
5003008	335	100,101,102,103	10201,10202,10203,10206				3		1003	1	3	1			0
5003009	501						3		1003	1	3	1			0
5003010	212	204					1		1003	1	3	1			0
5003011	502	104001;104002;104003					1		1003	1	3	1			0
5003012	335	100,101,102,103	20101,20102,20103				1		1003	1	3	1			0
5003013	501						4		1003	1	3	1			0
5003014	948						1		1003	1	3	1			0
5003015	225						1		1003	1	3	1			0
5003016	335	100,101,102,103	60101,60102				3		1003	1	3	1			0
5003017	501						5		1003	1	3	1			0
5003018	118	25090101					1		1003	1	3	1			0
5003019	215						1		1003	1	3	1			0
5003020	335	100,101,102,103	00101,00102,00103,00104,00105,00106,00107,00108,00109,00110,00111,00112,00113,00114,00115				3		1003	1	3	1			0
5003021	501						6		1003	1	3	1			0
5003022	335	100,101,102,103	10301,10302,10303,10304,10305				3		1003	1	3	1			0
5003023	501						7		1003	1	3	1			0
5003024	335	100,101,102,103	10104,10105,10109,10110				3		1003	1	3	1			0
5005001	301						2		1005	1	3	1			1
5005002	501						1		1005	1	3	1			1
