BgmID	是否默认解锁	室内是否可用	室外是否可用
101		1	1
102		1	1
103		1	1
104		1	1
105	1	1	1
106		1	1
107		1	1
108		1	1
109		1	1
110	1	1	1
111		1	1
112		1	1
113		1	1
114		1	1
115		1	1
116		1	1
117		1	1
118		1	1
119		1	1
120		1	1
121	1	1	1
122		1	1
123		1	1
124		1	1
125		1	1
126		1	1
201	1	1	1
202	1	1	1
203		1	1
204		1	1
205		1	1
206		1	1
207		1	1
208		1	1
209		1	1
210		1	1
211		1	1
212		1	1
213		1	1
214		1	1
215		1	1
216		1	1
217		1	1
218		1	1
219		1	1
220		1	1
221		1	1
222		1	1
223		1	1
224		1	1
225	1	1	1
226		1	1
301		1	1
302		1	1
303		1	1
304		1	1
305		1	1
306		1	1
307		1	1
308		1	1
309		1	1
310		1	1
311		1	1
312		1	1
313		1	1
314		1	1
315		1	1
316		1	1
317		1	1
318		1	1
319		1	1
320		1	1
321		1	1
322		1	1
323		1	1
324		1	1
325		1	1
326		1	1
401		1	1
402		1	1
403		1	1
404		1	1
405		1	1
406		1	1
407		1	1
408		1	1
409		1	1
410		1	1
411		1	1
412		1	1
413		1	1
414		1	1
415		1	1
416		1	1
417		1	1
418		1	1
419		1	1
420		1	1
421		1	1
422		1	1
423		1	1
424		1	1
425		1	1
426		1	1
