等级	升到下一级所需经验	舒适度上限	家园币储存上限	好感度储存上限	奖励ID	建造槽位	室外解锁区域个数	免费解锁模组个数	入住角色个数	壶灵形态GadgetID	限时商店商品数	限时商店大随机个数	等级解锁功能文本
1	300	999999999	300	50	4100001	1	1	1	1	77015001	6	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_AREAUNLOCK,UI_HOMEWORLD_LEVELFUNCTION_BUILDSLOT,UI_HOMEWORLD_LEVELFUNCTION_MODULENUM,UI_HOMEWORLD_LEVELFUNCTION_LIMITSHOPGOODS,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
2	600	999999999	600	100	4100002	2	1	1	2	77015001	6	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_BUILDSLOT,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
3	1000	999999999	900	150	4100003	2	1	1	3	77015001	6	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
4	1500	999999999	1200	200	4100004	3	1	1	4	77015002	7	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_BUILDSLOT,UI_HOMEWORLD_LEVELFUNCTION_DJINNCHANGE,UI_HOMEWORLD_LEVELFUNCTION_LIMITSHOPGOODS,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
5	1500	999999999	1400	250	4100005	3	2	1	5	77015002	7	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_AREAUNLOCK,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
6	1500	999999999	1600	300	4100006	4	2	1	6	77015002	7	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_BUILDSLOT,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
7	1500	999999999	1800	350	4100007	4	3	1	7	77015003	8	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_AREAUNLOCK,UI_HOMEWORLD_LEVELFUNCTION_DJINNCHANGE,UI_HOMEWORLD_LEVELFUNCTION_LIMITSHOPGOODS,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
8	1500	999999999	2000	400	4100008	4	3	2	7	77015003	8	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_MODULENUM
9	1500	999999999	2200	450	4100009	5	4	2	8	77015003	8	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_BUILDSLOT,UI_HOMEWORLD_LEVELFUNCTION_AREAUNLOCK,UI_HOMEWORLD_LEVELFUNCTION_NPCNUM
10	0	999999999	2400	500	4100010	5	4	3	8	77015004	8	0	UI_HOMEWORLD_LEVELFUNCTION_HOMECOIN,UI_HOMEWORLD_LEVELFUNCTION_CAMPANIONSHIP,UI_HOMEWORLD_LEVELFUNCTION_MODULENUM,UI_HOMEWORLD_LEVELFUNCTION_DJINNCHANGE,UI_HOMEWORLD_LEVELFUNCTION_SHOPLIMITSADD
