商品ID,物品ID,所属池ID,[条件]1类型,[条件]1参数,限购数量,[消耗物品]1ID,[消耗物品]1数量,[消耗物品]2ID,[消耗物品]2数量,[消耗物品]3ID,[消耗物品]3数量,权重
214101,369101,1,,,1,204,100,,,,,1
214102,369102,1,,,1,204,100,,,,,1
214103,369103,1,,,1,204,100,,,,,1
214104,369104,1,,,1,204,100,,,,,1
214105,369105,1,,,1,204,100,,,,,1
214106,369106,1,,,1,204,100,,,,,1
214107,369107,1,,,1,204,100,,,,,1
214108,369108,1,,,1,204,100,,,,,1
214109,369109,1,,,1,204,100,,,,,1
214110,369110,1,,,1,204,100,,,,,1
214111,372101,2,,,6,204,40,,,,,1
214112,372102,2,,,6,204,40,,,,,1
214113,372103,2,,,6,204,40,,,,,1
214114,372104,2,,,6,204,40,,,,,1
214115,372105,2,,,6,204,40,,,,,1
214116,372106,2,,,6,204,40,,,,,1
214117,141002,3,,,1,204,100,,,,,1
214118,141005,3,,,1,204,100,,,,,1
214119,141006,3,,,1,204,100,,,,,1
214120,141007,3,,,1,204,100,,,,,1
214121,141008,3,,,1,204,100,,,,,1
214122,141009,3,,,1,204,100,,,,,1
214123,141010,3,,,1,204,100,,,,,1
214124,141012,3,,,1,204,100,,,,,1
214125,141013,3,,,1,204,100,,,,,1
214126,141017,3,,,1,204,100,,,,,1
214127,141025,3,,,1,204,100,,,,,1
214128,141029,3,,,1,204,100,,,,,1
214129,141030,3,,,1,204,100,,,,,1
214130,141031,3,,,1,204,100,,,,,1
214131,141033,3,,,1,204,100,,,,,1
214132,141035,3,,,1,204,100,,,,,1
214133,141036,3,,,1,204,100,,,,,1
214134,141037,3,,,1,204,100,,,,,1
214135,141040,3,,,1,204,100,,,,,1
214136,141041,3,,,1,204,100,,,,,1
214137,141051,3,2,201310,1,204,100,,,,,1
214138,141055,3,2,201310,1,204,100,,,,,1
214139,141057,3,2,201310,1,204,100,,,,,1
214140,141058,3,2,201310,1,204,100,,,,,1
214141,141059,3,2,201310,1,204,100,,,,,1
214142,141060,3,2,201310,1,204,100,,,,,1
214143,141061,3,2,201310,1,204,100,,,,,1
214144,141062,3,2,201310,1,204,100,,,,,1
214145,141063,3,2,201310,1,204,100,,,,,1
214146,141064,3,2,201310,1,204,100,,,,,1
214147,141065,3,2,7217320,1,204,100,,,,,1
214148,141066,3,2,7217320,1,204,100,,,,,1
214149,141067,3,2,7217320,1,204,100,,,,,1
214150,141068,3,2,201310,1,204,100,,,,,1
214151,141069,3,2,201310,1,204,100,,,,,1
214152,141070,3,2,201310,1,204,100,,,,,1
214153,141071,3,2,201310,1,204,100,,,,,1
214154,141072,3,2,201310,1,204,100,,,,,1
214155,141018,3,,,1,204,100,,,,,1
214156,141020,3,,,1,204,100,,,,,1
214157,141021,3,,,1,204,100,,,,,1
214158,141022,3,,,1,204,100,,,,,1
214159,141023,3,,,1,204,100,,,,,1
214160,141042,3,,,1,204,100,,,,,1
214161,141043,3,,,1,204,100,,,,,1
214162,141044,3,,,1,204,100,,,,,1
214163,141045,3,,,1,204,100,,,,,1
214164,141046,3,,,1,204,100,,,,,1
