家具ID	avatarID	npcID	对话ID	是否npc
368101	10000047	9047	6904702,6904703,6904704	
368102	10000048	9048	6904802,6904803,6904804	
368103	10000051	9051	6905102,6905103,6905104	
368104	10000003	9003	6900302,6900303,6900304	
368105	10000006	9006	6900602,6900603,6900604	
368106	10000014	9014	6901402,6901403,6901404	
368107	10000015	9015	6901502,6901503,6901504	
368108	10000016	9016	6901602,6901603,6901604	
368109	10000020	9020	6902002,6902003,6902004	
368110	10000021	9021	6902102,6902103,6902104	
368111	10000022	9022	6902202,6902203,6902204	
368112	10000023	9023	6902302,6902303,6902304	
368113	10000024	9024	6902402,6902403,6902404	
368114	10000025	9025	6902502,6902503,6902504	
368115	10000026	9026	6902602,6902603,6902604	
368116	10000027	9027	6902702,6902703,6902704	
368117	10000029	9029	6902902,6902903,6902904	
368118	10000030	9030	6903002,6903003,6903004	
368119	10000031	9031	6903102,6903103,6903104	
368120	10000032	9032	6903202,6903203,6903204	
368121	10000033	9033	6903302,6903303,6903304	
368122	10000034	9034	6903402,6903403,6903404	
368123	10000035	9035	6903502,6903503,6903504	
368124	10000036	9036	6903602,6903603,6903604	
368125	10000037	9037	6903702,6903703,6903704	
368126	10000038	9038	6903802,6903803,6903804	
368127	10000039	9039	6903902,6903903,6903904	
368128	10000041	9041	6904102,6904103,6904104	
368129	10000042	9042	6904202,6904203,6904204	
368130	10000043	9043	6904302,6904303,6904304	
368131	10000044	9044	6904402,6904403,6904404	
368132	10000045	9045	6904502,6904503,6904504	
368133	10000046	9046	6904602,6904603,6904604	
368134	0	9900		1
368135	10000049	9049	6904907,6904908,6904909	
368136	10000053	9053	6905307,6905308,6905309	
368137	10000002	9002	6900207,6900208,6900209	
368138	10000052	9052	6905208,6905209,6905210	
368139	10000054	9054	6905407,6905408,6905409	
368140	10000056	9056	6905607,6905608,6905609	
368141	10000062	9062	6906207,6906208,6906209	
368142	10000050	9050	6905009,6905010,6905011	
368143	10000055	9055	6905509,6905510,6905511	
368144	10000057	9057	6905709,6905710,6905711	
368145	10000063	9063	6906309,6906310,6906311	
368146	10000064	9064	6906409,6906410,6906411	
368147	10000058	9058	6905809,6905810,6905811	
368148	10000066	9066	6906609,6906610,6906611	
368149	10000060	9008	6900809,6900810,6900811	
368150	10000065	9009	6900909,6900910,6900911	
368151	10000059	9059	6905909,6905910,6905911	
368152	10000069	9069	6906907,6906908,6906909	
368153	10000067	9067	6906707,6906708,6906709	
368154	10000068	9068	6906807,6906808,6906809	
368155	10000070	9070	6907007,6907008,6907009	
368156	10000071	9071	6907107,6907108,6907109	
368157	10000072	9072	6907207,6907208,6907209	
368158	10000073	9073	6907309,6907310,6907311	
368159	10000074	9074	6907409,6907410,6907411	
