种子ID	采集物ID	家园采集物ID	BundleID	DropID	家园采集物1ID	家园采集物1BundleID	家园采集物1DropID	家园采集物1权重	家园采集物2ID	家园采集物2BundleID	家园采集物2DropID	家园采集物2权重	家园采集物3ID	家园采集物3BundleID	家园采集物3DropID	家园采集物3权重	田ID	养成时间	转苗时间	转化数量	苗物件ID
130001	2023	7001	150001	21310001	7001	150001	21310001	20									372502	252000	86400	1	77215019
130002	2004,2058	7002		21310002	7002		21310002	20									372501	252000	86400	1	77215019
130003	2012	7003		21310003	7003		21310003	20									372502	252000	86400	1	77215019
130004	2025	7004		21310004	7004		21310004	20									372502	252000	86400	1	77215019
130005	2013	7005		21310005	7005		21310005	20									372502	252000	86400	1	77215019
130006	2028	7006		21310006	7006		21310006	20									372502	252000	86400	1	77215019
130007	2026	7007		21310007	7007		21310007	20									372502	252000	86400	1	77215019
130008	2011	7008	150002	21310008	7008	150002	21310008	20									372501	252000	86400	1	77215019
130009	3007	7009		21310009	7009		21310009	20									372501	252000	86400	1	77215019
130010	2016	7010	150003	21310010	7010	150003	21310010	20									372501	252000	86400	1	77215019
130011	2003	7011		21310011	7011		21310011	20									372501	252000	86400	1	77215019
130012	2019	7012		21310012	7012		21310012	20									372501	252000	86400	1	77215019
130013	2001,2031	7013		21310013	7013		21310013	20									372501	252000	86400	1	77215019
130014	2002	7014		21310014	7014		21310014	20									372501	252000	86400	1	77215021
130015	2040	7015		21310015	7015		21310015	20									372502	252000	86400	1	77215019
130016	2027	7016		21310016	7016		21310016	20									372503	252000	86400	1	77215019
130017	2005	7017		21310017	7017		21310017	20									372503	252000	86400	1	77215019
130018	2015	7018	150004	21310018	7018	150004	21310018	20									372503	252000	86400	1	77215020
130019	2008	7019		21310019	7019		21310019	20									372503	252000	86400	1	77215019
130020	2037	7020		21310020	7020		21310020	20									372503	252000	86400	1	77215020
130021	2033	7021		21310021	7021		21310021	20									372503	252000	86400	1	77215020
130022					7022		21311001	20	7023		21311002	20	7024		21311003	20	372502	600	180	1	77215019
130023					7025		21311004	20	7026		21311005	20	7027		21311006	20	372502	600	180	1	77215019
130024					7028		21311007	20	7029		21311008	20	7030		21311009	20	372502	600	180	1	77215019
130025	2049	7031	150005	21310022	7031	150005	21310022	20									372501	252000	86400	1	77215019
130026	2051	7032	150006	21310023	7032	150006	21310023	20									372501	252000	86400	1	77215019
130027	2052	7033		21310024	7033		21310024	20									372502	252000	86400	1	77215019
