木材ID	限量数量	刷新类型	兑换素材1	兑换素材2	兑换素材3	兑换素材4	兑换素材5
101301	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101302	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101303	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101304	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101305	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101307	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101308	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101309	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101310	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101311	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101312	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101313	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101314	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101315	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101316	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
101317	50	1	101001;3;1	101002;2;1	101003;1;1	101004;1;1	101008;1;1
