家具ID,怪物ID,是否复生,复生CD
369101,28220502,1,5
369102,28220401,1,5
369103,28220301,1,5
369104,28230101,1,5
369105,28220402,1,5
369106,28220403,1,5
369107,28220404,1,5
369108,28220504,1,5
369109,28220505,1,5
369110,28220506,1,5
379001,28240201,1,5
379002,28240202,1,5
379003,28240203,1,5
379004,28240204,1,5
379005,28240205,1,5
379006,28240206,1,5
379007,28240301,1,5
379008,28240302,1,5
379009,28240303,1,5
379010,28240304,1,5
379011,28240305,1,5
379012,28240401,1,5
379013,28240402,1,5
379014,28240501,1,5
379015,28240502,1,5
379016,28240503,1,5
379017,28240504,1,5
379018,28240505,1,5
379019,28240506,1,5
379020,28240601,1,5
379021,28240602,1,5
379022,28240701,1,5
379023,28240702,1,5
379024,28240801,1,5
379025,28240802,1,5
379026,28240803,1,5
379027,28240804,1,5
379028,28240901,1,5
379029,28240902,1,5
369111,28220901,1,5
369112,28220303,1,5
369113,28210101,1,5
369114,28210102,1,5
369115,28210103,1,5
369116,28210104,1,5
369117,28210105,1,5
369118,28220101,1,5
369119,28220102,1,5
369120,28220201,1,5
369121,28220501,1,5
369122,28220503,1,5
369123,28220601,1,5
369124,28220602,1,5
369125,28220603,1,5
369126,28220701,1,5
369127,28230102,1,5
369128,28250101,1,5
369129,28250102,1,5
369130,28250103,1,5
369131,28250104,1,5
369132,28210201,1,5
369133,28210202,1,5
369134,28210203,1,5
369135,28210204,1,5
369136,28210205,1,5
369137,28210206,1,5
369138,28210207,1,5
369139,28210301,1,5
369140,28210302,1,5
369141,28210303,1,5
369142,28210401,1,5
369143,28210403,1,5
369144,28230301,1,5
369145,28230302,1,5
369146,28230303,1,5
369147,28230304,1,5
369148,28230305,1,5
369149,28230306,1,5
369150,28230401,1,5
369151,28230402,1,5
369152,28230403,1,5
369153,28230404,1,5
369154,28210402,1,5
369155,28250105,1,5
369156,28250301,1,5
369157,28220605,1,5
369158,28250106,1,5
369159,28210304,1,5
369160,28210208,1,5
369161,28220314,1,5
369162,28220313,1,5
369163,28230313,1,5
369164,28230104,1,5
369165,28220604,1,5
369166,28250401,1,5
369167,28210404,1,5
369168,28220108,1,5
