GroupID	RegionId	线索点类型	索引表ID	线索点特征
133003613	101	3		1
133003614	101	3		1
133003615	101	3		1
133003618	101	1	1001,1002,1003,1004,1005	
133003619	101	1	1001,1002,1003,1004,1005	
133003620	101	1	1001,1002,1003,1004,1005	
133003621	101	1	1001,1002,1003,1004,1005	
133003622	101	1	1001,1002,1003,1004,1005	
133003623	101	1	1001,1002,1003,1004,1005	
133003624	101	1	1001,1002,1003,1004,1005	
133003625	101	1	1001,1002,1003,1004,1005	
133003680	101	1	1001,1002,1003,1004,1005	
133003681	101	1	1001,1002,1003,1004,1005	
133003682	101	1	1001,1002,1003,1004,1005	
133003683	101	1	1001,1002,1003,1004,1005	
133003684	101	1	1001,1002,1003,1004,1005	
133003685	101	1	1001,1002,1003,1004,1005	
133003686	101	1	1001,1002,1003,1004,1005	
133003626	101	2	2001,2002,2003	
133003627	101	2	2001,2002,2003	
133003628	101	2	2001,2002,2003	
133003630	101	2	2001,2002,2003	
133003631	101	2	2001,2002,2003	
133003670	101	2	2001,2002,2003	
133003671	101	2	2001,2002,2003	
133003672	101	2	2001,2002,2003	
133003673	101	2	2001,2002,2003	
133003674	101	2	2001,2002,2003	
133003675	101	2	2001,2002,2003	
133003676	101	2	2001,2002,2003	
133003677	101	2	2001,2002,2003	
133003678	101	2	2001,2002,2003	
133003679	101	2	2001,2002,2003	
133003640	101	0		
133003641	101	0		
133003642	101	0		
133003643	101	0		
133003644	101	0		
133003645	101	0		
133003646	101	0		
133003647	101	0		
133003648	101	0		
133003649	101	0		
133003650	101	0		
133003651	101	0		
133003652	101	0		
133003653	101	0		
133003654	101	0		
133003655	101	0		
133003656	101	0		
133003657	101	0		
133003658	101	0		
133003659	101	0		
133003660	101	0		
133003661	101	0		
133003662	101	0		
133003663	101	0		
133003664	101	0		
133003665	101	0		
133003666	101	0		
133003667	101	0		
133003668	101	0		
133003669	101	0		
133104714	201	2	2001,2002,2003	
133104715	201	2	2001,2002,2003	
133104716	201	2	2001,2002,2003	
133104717	201	2	2001,2002,2003	
133104718	201	2	2001,2002,2003	
133104719	201	2	2001,2002,2003	
133104720	201	2	2001,2002,2003	
133104721	201	2	2001,2002,2003	
133104722	201	2	2001,2002,2003	
133104723	201	2	2001,2002,2003	
133104724	201	2	2001,2002,2003	
133104725	201	2	2001,2002,2003	
133104726	201	2	2001,2002,2003	
133104727	201	2	2001,2002,2003	
133104729	201	2	2001,2002,2003	
133104694	201	3		1
133104695	201	3		1
133104696	201	3		1
133104697	201	3		1
133104698	201	3		1
133104700	201	1	1001,1002,1003,1004,1005	
133104701	201	1	1001,1002,1003,1004,1005	
133104702	201	1	1001,1002,1003,1004,1005	
133104703	201	1	1001,1002,1003,1004,1005	
133104704	201	1	1001,1002,1003,1004,1005	
133104705	201	1	1001,1002,1003,1004,1005	
133104706	201	1	1001,1002,1003,1004,1005	
133104707	201	1	1001,1002,1003,1004,1005	
133104708	201	1	1001,1002,1003,1004,1005	
133104709	201	1	1001,1002,1003,1004,1005	
133104710	201	1	1001,1002,1003,1004,1005	
133104711	201	1	1001,1002,1003,1004,1005	
133104712	201	1	1001,1002,1003,1004,1005	
133104713	201	1	1001,1002,1003,1004,1005	
133104730	201	0		
133104731	201	0		
133104732	201	0		
133104733	201	0		
133104734	201	0		
133104735	201	0		
133104736	201	0		
133104737	201	0		
133104738	201	0		
133104739	201	0		
133104740	201	0		
133104741	201	0		
133104743	201	0		
133104744	201	0		
133104745	201	0		
133104746	201	0		
133104747	201	0		
133104748	201	0		
133104749	201	0		
133104750	201	0		
133104751	201	0		
133104752	201	0		
133104753	201	0		
133104754	201	0		
133104755	201	0		
133104756	201	0		
133104757	201	0		
133104758	201	0		
133104759	201	0		
133104760	201	0		
133001434	102	3		2
133001436	102	3		1
133001437	102	3		
133001438	102	1	1001,1002,1003,1004,1005	
133001439	102	1	1001,1002,1003,1004,1005	
133001440	102	1	1001,1002,1003,1004,1005	
133001441	102	1	1001,1002,1003,1004,1005	
133001442	102	1	1001,1002,1003,1004,1005	
133001443	102	1	1001,1002,1003,1004,1005	
133001444	102	1	1001,1002,1003,1004,1005	
133001445	102	1	1001,1002,1003,1004,1005	
133001446	102	1	1001,1002,1003,1004,1005	
133001447	102	1	1001,1002,1003,1004,1005	
133001448	102	1	1001,1002,1003,1004,1005	
133001449	102	1	1001,1002,1003,1004,1005	
133001450	102	1	1001,1002,1003,1004,1005	
133001451	102	1	1001,1002,1003,1004,1005	
133001452	102	1	1001,1002,1003,1004,1005	
133001453	102	2	2001,2002,2003	
133001454	102	2	2001,2002,2003	
133001455	102	2	2001,2002,2003	
133001456	102	2	2001,2002,2003	
133001457	102	2	2001,2002,2003	
133001458	102	2	2001,2002,2003	
133001459	102	2	2001,2002,2003	
133001460	102	2	2001,2002,2003	
133001461	102	2	2001,2002,2003	
133001462	102	2	2001,2002,2003	
133001463	102	2	2001,2002,2003	
133001464	102	2	2001,2002,2003	
133001465	102	2	2001,2002,2003	
133001466	102	2	2001,2002,2003	
133001467	102	2	2001,2002,2003	
133001468	102	0		
133001469	102	0		
133001470	102	0		
133001471	102	0		
133001472	102	0		
133001473	102	0		
133001474	102	0		
133001475	102	0		
133001476	102	0		
133001477	102	0		
133001478	102	0		
133001479	102	0		
133001480	102	0		
133001481	102	0		
133001482	102	0		
133001483	102	0		
133001484	102	0		
133001485	102	0		
133001486	102	0		
133001487	102	0		
133001488	102	0		
133001489	102	0		
133001490	102	0		
133001491	102	0		
133001492	102	0		
133001493	102	0		
133001494	102	0		
133001495	102	0		
133001496	102	0		
133001497	102	0		
133104002	202	0		
133104007	202	0		
133104009	202	0		
133104013	202	0		
133104014	202	0		
133104015	202	0		
133104016	202	0		
133104017	202	0		
133104018	202	0		
133104019	202	0		
133104020	202	0		
133104021	202	0		
133104023	202	0		
133104024	202	0		
133104025	202	0		
133104027	202	0		
133104028	202	0		
133104762	202	3		2
133104763	202	1	1001,1002,1003,1004,1005	
133104764	202	1	1001,1002,1003,1004,1005	
