ID	生效改名ID	[不合适名称]1	[不合适名称]2	[不合适名称]3	[不合适名称]4	[不合适名称]5	[不合适名称]6	[不合适名称]7	[不合适名称]8	[不合适名称]9	[不合适名称]10	[不合适名称]11	[不合适名称]12	[不合适名称]13	[不合适名称]14	[不合适名称]15
1	1	丑角英语	丑角	丑角繁体中文	丑角法语	丑角德语	丑角西班牙语	丑角葡萄牙语	丑角俄语	丑角日语	丑角韩语	丑角泰文	丑角越南语	丑角印尼语	丑角土耳其语	丑角意大利语
2	1	队长英语	队长	队长繁体中文	队长法语	队长德语	队长西班牙语	队长葡萄牙语	队长俄语	队长日语	队长韩语	队长泰文	队长越南语	队长印尼语	队长土耳其语	队长意大利语
3	1	博士英语	博士	博士繁体中文	博士法语	博士德语	博士西班牙语	博士葡萄牙语	博士俄语	博士日语	博士韩语	博士泰文	博士越南语	博士印尼语	博士土耳其语	博士意大利语
4	1	少女英语	少女	少女繁体中文	少女法语	少女德语	少女西班牙语	少女葡萄牙语	少女俄语	少女日语	少女韩语	少女泰文	少女越南语	少女印尼语	少女土耳其语	少女意大利语
5	1	仆人英语	仆人	仆人繁体中文	仆人法语	仆人德语	仆人西班牙语	仆人葡萄牙语	仆人俄语	仆人日语	仆人韩语	仆人泰文	仆人越南语	仆人印尼语	仆人土耳其语	仆人意大利语
6	1	公鸡英语	公鸡	公鸡繁体中文	公鸡法语	公鸡德语	公鸡西班牙语	公鸡葡萄牙语	公鸡俄语	公鸡日语	公鸡韩语	公鸡泰文	公鸡越南语	公鸡印尼语	公鸡土耳其语	公鸡意大利语
7	1	木偶英语	木偶	木偶繁体中文	木偶法语	木偶德语	木偶西班牙语	木偶葡萄牙语	木偶俄语	木偶日语	木偶韩语	木偶泰文	木偶越南语	木偶印尼语	木偶土耳其语	木偶意大利语
8	1	女士英语	女士	女士繁体中文	女士法语	女士德语	女士西班牙语	女士葡萄牙语	女士俄语	女士日语	女士韩语	女士泰文	女士越南语	女士印尼语	女士土耳其语	女士意大利语
9	1	富人英语	富人	富人繁体中文	富人法语	富人德语	富人西班牙语	富人葡萄牙语	富人俄语	富人日语	富人韩语	富人泰文	富人越南语	富人印尼语	富人土耳其语	富人意大利语
10	1	公子英语	公子	公子繁体中文	公子法语	公子德语	公子西班牙语	公子葡萄牙语	公子俄语	公子日语	公子韩语	公子泰文	公子越南语	公子印尼语	公子土耳其语	公子意大利语
11	1	皮耶罗英语	皮耶罗	皮耶罗繁体中文	皮耶罗法语	皮耶罗德语	皮耶罗西班牙语	皮耶罗葡萄牙语	皮耶罗俄语	皮耶罗日语	皮耶罗韩语	皮耶罗泰文	皮耶罗越南语	皮耶罗印尼语	皮耶罗土耳其语	皮耶罗意大利语
12	1	卡皮塔诺英语	卡皮塔诺	卡皮塔诺繁体中文	卡皮塔诺法语	卡皮塔诺德语	卡皮塔诺西班牙语	卡皮塔诺葡萄牙语	卡皮塔诺俄语	卡皮塔诺日语	卡皮塔诺韩语	卡皮塔诺泰文	卡皮塔诺越南语	卡皮塔诺印尼语	卡皮塔诺土耳其语	卡皮塔诺意大利语
13	1	多托雷英语	多托雷	多托雷繁体中文	多托雷法语	多托雷德语	多托雷西班牙语	多托雷葡萄牙语	多托雷俄语	多托雷日语	多托雷韩语	多托雷泰文	多托雷越南语	多托雷印尼语	多托雷土耳其语	多托雷意大利语
14	1	哥伦比娅英语	哥伦比娅	哥伦比娅繁体中文	哥伦比娅法语	哥伦比娅德语	哥伦比娅西班牙语	哥伦比娅葡萄牙语	哥伦比娅俄语	哥伦比娅日语	哥伦比娅韩语	哥伦比娅泰文	哥伦比娅越南语	哥伦比娅印尼语	哥伦比娅土耳其语	哥伦比娅意大利语
15	1	阿蕾奇诺英语	阿蕾奇诺	阿蕾奇诺繁体中文	阿蕾奇诺法语	阿蕾奇诺德语	阿蕾奇诺西班牙语	阿蕾奇诺葡萄牙语	阿蕾奇诺俄语	阿蕾奇诺日语	阿蕾奇诺韩语	阿蕾奇诺泰文	阿蕾奇诺越南语	阿蕾奇诺印尼语	阿蕾奇诺土耳其语	阿蕾奇诺意大利语
