词条ID,页面ID,默认解锁,是否可解读,[解读执行]1类型,[解读执行]1参数,[解读执行]2类型,[解读执行]2参数,是否可联想,联想词条ID,[联想执行]1类型,[联想执行]1参数,[联想执行]2类型,[联想执行]2参数
100101,1001,1,1,,,,,1,100104,1,100106,,
100102,1001,1,1,,,,,,,,,,
100103,1001,1,1,,,,,,,,,,
100104,1001,1,1,,,,,,,,,,
100105,1001,1,1,,,,,,,,,,
100106,1001,0,1,,,,,,,,,,
100201,1002,1,1,,,,,,,,,,
100202,1002,1,1,,,,,,,,,,
100203,1002,1,1,,,,,,,,,,
100204,1002,1,1,,,,,,,,,,
100301,1003,1,1,,,,,,,,,,
100302,1003,1,1,,,,,,,,,,
100303,1003,1,1,,,,,,,,,,
100304,1003,1,1,,,,,,,,,,
100401,1004,1,1,,,,,,,,,,
100402,1004,1,1,,,,,1,100403,1,100406,,
100403,1004,1,1,,,,,,,,,,
100404,1004,1,1,,,,,,,,,,
100405,1004,1,1,,,,,,,,,,
100406,1004,0,1,,,,,,,,,,
100501,1005,1,1,,,,,,,,,,
100502,1005,1,1,,,,,,,,,,
100503,1005,1,1,,,,,,,,,,
100601,1006,1,1,,,,,,,,,,
100602,1006,1,1,,,,,,,,,,
100603,1006,1,1,1,100606,,,,,,,,
100604,1006,1,1,,,,,,,,,,
100605,1006,1,1,,,,,1,100606,1,100607,,
100606,1006,0,1,,,,,,,,,,
100607,1006,0,1,,,,,,,,,,
100701,1007,1,1,,,,,,,,,,
100702,1007,1,1,,,,,,,,,,
100703,1007,1,1,,,,,,,,,,
100704,1007,1,1,,,,,,,,,,
100801,1008,1,1,,,,,,,,,,
100802,1008,1,1,1,100806,,,,,,,,
100803,1008,1,1,,,,,,,,,,
100804,1008,1,1,,,,,,,,,,
100805,1008,1,1,,,,,,,,,,
100806,1008,0,1,,,,,1,100805,1,100807,,
100807,1008,0,0,,,,,,,,,,
100901,1009,1,1,,,,,,,,,,
100902,1009,1,1,,,,,,,,,,
100903,1009,1,1,,,,,,,,,,
101001,1010,1,1,,,,,,,,,,
101002,1010,1,1,,,,,,,,,,
101003,1010,1,1,,,,,,,,,,
101101,1011,1,1,,,,,,,,,,
101102,1011,1,1,,,,,,,,,,
101103,1011,1,1,,,,,,,,,,
101104,1011,1,1,,,,,,,,,,
101201,1012,1,1,1,101206,,,,,,,,
101202,1012,1,1,1,101206,,,,,,,,
101203,1012,1,1,,,,,,,,,,
101204,1012,1,1,1,101206,,,,,,,,
101205,1012,1,1,,,,,,,,,,
101206,1012,0,0,,,,,,,,,,
101301,1013,1,1,,,,,,,,,,
101302,1013,1,1,,,,,,,,,,
101303,1013,1,1,,,,,,,,,,
101304,1013,1,1,,,,,,,,,,
101305,1013,1,1,,,,,,,,,,
101306,1013,1,1,,,,,,,,,,
101401,1014,1,1,,,,,,,,,,
101402,1014,1,1,,,,,,,,,,
101403,1014,1,1,,,,,,,,,,
101404,1014,1,1,,,,,,,,,,
101405,1014,1,1,,,,,,,,,,
101406,1014,1,1,,,,,,,,,,
101501,1015,1,1,,,,,,,,,,
101502,1015,1,1,,,,,,,,,,
101503,1015,1,1,,,,,,,,,,
101504,1015,1,1,,,,,,,,,,
101505,1015,1,1,,,,,,,,,,
101506,1015,1,1,,,,,,,,,,
101601,1016,1,1,,,,,,,,,,
101602,1016,1,1,,,,,,,,,,
101603,1016,1,1,,,,,,,,,,
101604,1016,1,1,,,,,,,,,,
101605,1016,1,1,,,,,,,,,,
101606,1016,1,1,,,,,,,,,,
101701,1017,1,1,,,,,,,,,,
