索引ID	AbilityGroupName	SGV
1	ActivityAbility_InstableSpray_GrassDamageUp	SGV_GRASS_BUFF
2	ActivityAbility_InstableSpray_ElecDamageUp	SGV_ELEC_BUFF
3	ActivityAbility_InstableSpray_WaterDamageUp	SGV_WATER_BUFF
4	ActivityAbility_InstableSpray_FireDamageUp	SGV_FIRE_BUFF
5	ActivityAbility_InstableSpray_IceDamageUp	SGV_ICE_BUFF
6	ActivityAbility_InstableSpray_ElemMasteryUp	SGV_ElEMMASTERY_UP
7	ActivityAbility_InstableSpray_AttackUp	SGV_ATK_UP
8	ActivityAbility_InstableSpray_NormalAttack	SGV_NORMAL_ATTACK
9	ActivityAbility_InstableSpray_ExtraAttack	SGV_EXTRA_ATTACK
10	ActivityAbility_InstableSpray_SpeedUp	SGV_SPEED_UP
11	ActivityAbility_InstableSpray_CriticalHurtUp	SGV_CRITICAL_HURT_UP
12	ActivityAbility_InstableSpray_FallingAttack_Impact	SGV_FALL_IMPACT
13	ActivityAbility_InstableSpray_ElecReaction_ReviveEnergy	SGV_REVIVE_ENERGY
14	ActivityAbility_InstableSpray_GrassReaction_ElemResistance_Down	SGV_ELEM_DOWN
15	ActivityAbility_InstableSpray_Frozen_DefenceDown	SGV_FROZEN_DEFDOWN
16	ActivityAbility_InstableSpray_Frozen_DamageUp	SGV_FROZEN_DAMAGEUP
17	ActivityAbility_InstableSpray_Steam_Impact	SGV_STEAM_IMPACT
18	ActivityAbility_InstableSpray_ElemAddHurt_Up	SGV_ElEM_UP
19	ActivityAbility_InstableSpray_CriticalUp	SGV_CRITICAL_UP
20	ActivityAbility_InstableSpray_ElementalArt	SGV_ELEMENTAL_ART
21	ActivityAbility_InstableSpray_PhysicalDamageUp	SGV_PHYISICAL_BUFF
