关卡ID	galleryID	Buff池子	Buff概率权重	试用角色池	怪物预览
101	23001	1,2,6,14	35,35,15,15	6047,6029,6005,6048	25310101:50,25310301:50,25210103:20,25210203:20,25210302:20,25210402:20,25210501:20
102	23002	1,3,6,14	35,35,15,15	6047,6033,6010,6048	26010201:60,26010101:60,26010301:60,26120101:40,26120201:40,26090401:15,26090701:15,26090801:15,26090501:15,26090901:15
103	23003	1,4,6,14	35,35,15,15	6047,6017,6018,6048	24010301:250,24010101:100,24020101:45,24020201:45,24020401:45
104	23004	21,2,13,7	35,35,15,15	6026,6012,6035,6011	23010501:60,23010401:45,25310201:50,25310301:50,25210103:20,25210203:20,25210302:20,25210501:20,25060101:20,25030201:20,25010301:20
105	23005	2,4,13,6	35,35,15,15	6044,6029,6018,6005	21020401:250,22010201:50,21020601:35,20010904:25,21011301:15
106	23006	2,3,13,6	35,35,15,15	6029,6037,6005,6010	22050201:100,22040201:30
107	23007	3,5,15,16	35,35,15,15	6001,6002,6011,6010	26040104:120,26040102:120,26030101:40,20010601:25,20011301:25
108	23008	3,4,17,19	35,35,15,15	6001,6045,6010,6018	23030101:60,23040102:60,23020101:60,25030201:20,25060101:20,25070101:20,25020201:20,25010201:20,25010501:20,25010601:20
109	23009	4,5,17,19	35,35,15,15	6002,6045,6011,6018	24030201:180,24020101:45,24020201:45,24020401:45
110	23010	8,9,10,11	35,35,15,15	6037,6036,6031,6003	21020501:250,21020301:35,21020703:35,21020202:35,21010701:15
111	23011	8,20,18,7	35,35,15,15	6037,6017,6031,6019	26120101:40,26120201:40,26120301:40,26090201:15,26090401:15,26090501:15,26090701:15,26090901:15
112	23012	8,12,19,7	35,35,15,15	6037,6000,6031,6051	23050101:80,23020101:60,23010501:60,25210103:20,25210203:20,25210302:20,25210501:20,25010401:20,25010601:20
