调查ID	所属城市ID	后续调查ID	解锁OpenState	解锁等级	是否没有奖励	奖励ID	调查类型
10001	1	10002	1101			450001	0
10002	1	10003				450002	0
10003	1	10004				450003	0
10004	1	10005				450004	0
10005	1	10006				450005	0
10006	1	10007				450006	0
10007	1	10008				450007	0
10008	1	10009				450008	0
10009	1					450009	0
20001	1	20002	1500			4100100	1
20002	1	20003				4100200	1
20003	1	20004				4100300	1
20004	1					4100400	1
30001	1			20	1		2
30002	1			25	1		2
30003	1			30	1		2
30004	1			35	1		2
40001	1	40002				4200028	3
40002	1	40003				4200029	3
40003	1	40004				4200030	3
40004	1					4200031	3
