ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	所属调查ID	奖励ID
63001	405	2000	42		5	1	40001	4200001
63002	1301				1000	1	40001	4200002
63003	1314	2002	107020		1		40001	4200003
63004	1304				20		40001	4200004
63005	1303				1		40001	4200005
63006	1305	2			1		40001	4200006
63028	1315	2000	42		5		40001	4200001
63029	212	107021			3000		40001	4200002
63007	1300				70		40002	4200007
63008	1301				3000	1	40002	4200008
63009	1302				10		40002	4200009
63010	1304				40		40002	4200010
63011	1303				3		40002	4200011
63012	1312				1	1	40002	4200012
63030	212	107021			5000		40002	4200008
63033	1315	2000	42		10		40002	4200012
63013	1300				140		40003	4200013
63014	1301				5000	1	40003	4200014
63015	1302				15		40003	4200015
63016	1304				60		40003	4200016
63017	1307				1		40003	4200017
63018	1308	10			3		40003	4200018
63019	1310				3		40003	4200019
63031	212	107021			7000		40003	4200014
63020	1300				220		40004	4200020
63021	1301				10000	1	40004	4200021
63022	1302				25		40004	4200022
63023	1304				100		40004	4200023
63024	1307				3		40004	4200024
63025	1308	10			10		40004	4200025
63026	1309				15		40004	4200026
63027	1311				5		40004	4200027
63032	212	107021			10000		40004	4200021
