ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	所属调查ID	奖励ID
61100	1009	0			1		20001	4100101
61101	212	101301;101302;101303;101304;101305;101306;101307;101308;101309;101310;101311;101312;101313;101314;101315;101316;101317			30		20001	4100102
61102	1000				3		20001	4100103
61103	1012				1		20001	4100104
61110	437	8			1		20001	4100105
61120	437	7			1		20001	4100106
61130	1002				3		20001	4100107
61140	1003				3		20001	4100108
61150	1009	0			1	1	20001	4100109
61160	1005				100		20001	4100109
61161	1004	2			1		20001	4100110
61162	1006	2			1		20001	4100111
61201	212	101301;101302;101303;101304;101305;101306;101307;101308;101309;101310;101311;101312;101313;101314;101315;101316;101317			100		20002	4100201
61202	1000				5		20002	4100202
61210	1002				20		20002	4100203
61220	1003				20		20002	4100204
61230	1009	10002			10		20002	4100205
61240	1008				1		20002	4100206
61250	1005				500		20002	4100207
61260	1006	3			1		20002	4100208
61270	1004	3			1		20002	4100209
61300	1002				40		20003	4100301
61310	1003				80		20003	4100302
61320	1009	10003;10004			20		20003	4100303
61330	1008				3		20003	4100304
61340	1005				5000		20003	4100305
61350	1007				1		20003	4100306
61360	1006	5			1		20003	4100307
61370	1004	5			1		20003	4100308
61400	1002				80		20004	4100401
61410	1003				160		20004	4100402
61420	1008				10		20004	4100403
61430	1005				20000		20004	4100404
61440	1007				10		20004	4100405
61450	1006	7			1		20004	4100406
61460	1004	7			1		20004	4100407
